date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2006-06-20,World Cup,Paraguay,Trinidad and Tobago,2,0,1,True,2
2006-06-20,World Cup,Ecuador,Germany,0,3,-1,True,3
2006-06-20,World Cup,Costa Rica,Poland,1,2,-1,True,1
2006-06-21,World Cup,Iran,Angola,1,1,0,True,0
2006-06-21,World Cup,Portugal,Mexico,2,1,1,True,1
2006-06-21,World Cup,Ivory Coast,Serbia & Montenegro,3,2,1,True,1
2006-06-21,World Cup,Netherlands,Argentina,0,0,0,True,0
2006-06-22,World Cup,Czechia,Italy,0,2,-1,True,2
2006-06-22,World Cup,Ghana,United States,2,1,1,True,1
2006-06-22,World Cup,Croatia,Australia,2,2,0,True,0
2006-06-22,World Cup,Japan,Brazil,1,4,-1,True,3
2006-06-23,World Cup,Togo,France,0,2,-1,True,2
2006-06-23,World Cup,Switzerland,South Korea,2,0,1,True,2
2006-06-23,World Cup,Ukraine,Tunisia,1,0,1,True,1
2006-06-23,World Cup,Saudi Arabia,Spain,0,1,-1,True,1
2006-06-24,World Cup,Germany,Sweden,2,0,1,True,2
2006-06-24,World Cup,Argentina,Mexico,2,1,1,True,1
2006-06-25,World Cup,England,Ecuador,1,0,1,True,1
2006-06-25,World Cup,Portugal,Netherlands,1,0,1,True,1
2006-06-26,World Cup,Italy,Australia,1,0,1,True,1
2006-06-26,World Cup,Switzerland,Ukraine,0,0,0,True,0
2006-06-27,World Cup,Brazil,Ghana,3,0,1,True,3
2006-06-27,World Cup,Spain,France,1,3,-1,True,2
2006-06-30,World Cup,Italy,Ukraine,3,0,1,True,3
2006-06-30,World Cup,Germany,Argentina,1,1,0,True,0
2006-07-01,World Cup,England,Portugal,0,0,0,True,0
2006-07-01,World Cup,Brazil,France,0,1,-1,True,1
2006-07-04,World Cup,Germany,Italy,0,2,-1,True,2
2006-07-05,World Cup,Portugal,France,0,1,-1,True,1
2006-07-08,World Cup,Germany,Portugal,3,1,1,True,2
2006-07-09,World Cup,Italy,France,1,1,0,True,0
2010-06-11,World Cup,South Africa,Mexico,1,1,0,True,0
2010-06-11,World Cup,Uruguay,France,0,0,0,True,0
2010-06-12,World Cup,Argentina,Nigeria,1,0,1,True,1
2010-06-12,World Cup,England,United States,1,1,0,True,0
2010-06-12,World Cup,South Korea,Greece,2,0,1,True,2
2010-06-13,World Cup,Algeria,Slovenia,0,1,-1,True,1
2010-06-13,World Cup,Serbia,Ghana,0,1,-1,True,1
2010-06-13,World Cup,Germany,Australia,4,0,1,True,4
2010-06-14,World Cup,Netherlands,Denmark,2,0,1,True,2
2010-06-14,World Cup,Japan,Cameroon,1,0,1,True,1
2010-06-14,World Cup,Italy,Paraguay,1,1,0,True,0
2010-06-15,World Cup,Brazil,North Korea,2,1,1,True,1
2010-06-15,World Cup,New Zealand,Slovakia,1,1,0,True,0
2010-06-15,World Cup,Ivory Coast,Portugal,0,0,0,True,0
2010-06-16,World Cup,Spain,Switzerland,0,1,-1,True,1
2010-06-16,World Cup,South Africa,Uruguay,0,3,-1,True,3
2010-06-16,World Cup,Honduras,Chile,0,1,-1,True,1
2010-06-17,World Cup,Greece,Nigeria,2,1,1,True,1
2010-06-17,World Cup,France,Mexico,0,2,-1,True,2
2010-06-17,World Cup,Argentina,South Korea,4,1,1,True,3
2010-06-18,World Cup,Germany,Serbia,0,1,-1,True,1
2010-06-18,World Cup,Slovenia,United States,2,2,0,True,0
2010-06-18,World Cup,England,Algeria,0,0,0,True,0
2010-06-19,World Cup,Netherlands,Japan,1,0,1,True,1
2010-06-19,World Cup,Ghana,Australia,1,1,0,True,0
2010-06-19,World Cup,Cameroon,Denmark,1,2,-1,True,1
2010-06-20,World Cup,Slovakia,Paraguay,0,2,-1,True,2
2010-06-20,World Cup,Italy,New Zealand,1,1,0,True,0
2010-06-20,World Cup,Brazil,Ivory Coast,3,1,1,True,2
2010-06-21,World Cup,Spain,Honduras,2,0,1,True,2
2010-06-21,World Cup,Chile,Switzerland,1,0,1,True,1
2010-06-21,World Cup,Portugal,North Korea,7,0,1,True,7
2010-06-22,World Cup,France,South Africa,1,2,-1,True,1
