date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff,home_elo_pre,away_elo_pre,elo_diff,home_win_pct_10g,home_gf_avg_10g,home_ga_avg_10g,home_gd_avg_10g,away_win_pct_10g,away_gf_avg_10g,away_ga_avg_10g,away_gd_avg_10g,gd_diff_10g,win_pct_diff_10g,result_class
2002-06-15,World Cup,Denmark,England,0,3,-1,True,3,1940.6,1976.1,-35.5,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,0
2002-06-15,World Cup,Germany,Paraguay,1,0,1,True,1,2012.4,1808.6,203.80000000000018,0.6666666666666666,3.6666666666666665,0.3333333333333333,3.3333333333333335,0.3333333333333333,2.0,2.0,0.0,3.3333333333333335,0.3333333333333333,2
2002-06-16,World Cup,Sweden,Senegal,1,2,-1,True,1,1891.0,1865.2,25.799999999999955,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,0.0,0
2002-06-16,World Cup,Spain,Republic of Ireland,1,1,0,True,0,2016.0,1820.1,195.9000000000001,1.0,3.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666667,0.6666666666666667,1
2002-06-17,World Cup,Mexico,United States,0,2,-1,True,2,1906.2,1767.4,138.79999999999995,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.0,-0.3333333333333333,1.0,0.3333333333333333,0
2002-06-17,World Cup,Brazil,Belgium,2,0,1,True,2,2054.9,1918.6,136.30000000000018,1.0,3.6666666666666665,1.0,2.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,2.333333333333333,0.6666666666666667,2
2002-06-18,World Cup,Japan,Türkiye,0,1,-1,True,1,1890.0,1794.5,95.5,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0
2002-06-18,World Cup,South Korea,Italy,2,1,1,True,1,1888.1,1919.0,-30.90000000000009,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666667,0.3333333333333333,2
2002-06-21,World Cup,Germany,United States,1,0,1,True,1,2026.5,1829.5,197.0,0.75,3.0,0.25,2.75,0.5,1.75,1.5,0.25,2.5,0.25,2
2002-06-21,World Cup,Brazil,England,2,1,1,True,1,2083.1,2023.3,59.799999999999955,1.0,3.25,0.75,2.5,0.5,1.25,0.25,1.0,1.5,0.5,2
2002-06-22,World Cup,South Korea,Spain,0,0,0,True,0,1920.8,2000.7,-79.90000000000009,0.75,1.5,0.5,1.0,0.75,2.5,1.25,1.25,-0.25,0.0,1
2002-06-22,World Cup,Senegal,Türkiye,0,1,-1,True,1,1897.4,1832.6,64.80000000000018,0.5,1.75,1.25,0.5,0.5,1.5,0.75,0.75,-0.25,0.0,0
2002-06-25,World Cup,South Korea,Germany,0,1,-1,True,1,1927.6,2041.2,-113.60000000000014,0.6,1.2,0.4,0.8,0.8,2.6,0.2,2.4,-1.5999999999999999,-0.20000000000000007,0
2002-06-26,World Cup,Brazil,Türkiye,1,0,1,True,1,2108.0,1868.1,239.9000000000001,1.0,3.0,0.8,2.2,0.6,1.4,0.6,0.8,1.4000000000000001,0.4,2
2002-06-29,World Cup,South Korea,Türkiye,2,3,-1,True,1,1907.0,1856.1,50.90000000000009,0.5,1.0,0.5,0.5,0.5,1.1666666666666667,0.6666666666666666,0.5,0.0,0.0,0
2002-06-30,World Cup,Germany,Brazil,0,2,-1,True,2,2061.7,2120.0,-58.30000000000018,0.8333333333333334,2.3333333333333335,0.16666666666666666,2.1666666666666665,1.0,2.6666666666666665,0.6666666666666666,2.0,0.16666666666666652,-0.16666666666666663,0
2006-06-09,World Cup,Germany,Costa Rica,4,2,1,True,2,2036.7,1815.7,221.0,0.7142857142857143,2.0,0.42857142857142855,1.5714285714285714,0.3333333333333333,1.6666666666666667,2.0,-0.3333333333333333,1.9047619047619047,0.380952380952381,2
2006-06-09,World Cup,Poland,Ecuador,0,2,-1,True,2,1817.2,1800.5,16.700000000000045,0.3333333333333333,1.0,2.3333333333333335,-1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.0,0
2006-06-10,World Cup,England,Paraguay,1,0,1,True,1,1998.4,1794.4,204.0,0.4,1.2,0.6,0.6,0.25,1.5,1.75,-0.25,0.85,0.15000000000000002,2
2006-06-10,World Cup,Trinidad and Tobago,Sweden,0,0,0,True,0,1750.0,1858.8,-108.79999999999995,,,,,0.25,1.25,1.25,0.0,,,1
2006-06-10,World Cup,Argentina,Ivory Coast,2,1,1,True,1,1956.6,1750.0,206.5999999999999,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,,,,,,,2
2006-06-11,World Cup,Angola,Portugal,0,1,-1,True,1,1750.0,1897.6,-147.5999999999999,,,,,0.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,,,0
2006-06-11,World Cup,Serbia & Montenegro,Netherlands,0,1,-1,True,1,1750.0,1940.0,-190.0,,,,,,,,,,,0
2006-06-11,World Cup,Mexico,Iran,3,1,1,True,2,1864.8,1790.0,74.79999999999995,0.5,1.0,1.0,0.0,,,,,,,2
2006-06-12,World Cup,Italy,Ghana,2,0,1,True,2,1886.3,1800.0,86.29999999999995,0.25,1.25,1.25,0.0,,,,,,,2
2006-06-12,World Cup,United States,Czechia,0,3,-1,True,3,1814.9,1820.0,-5.099999999999909,0.4,1.4,1.4,0.0,,,,,,,0
2006-06-12,World Cup,Australia,Japan,3,1,1,True,2,1800.0,1851.9,-51.90000000000009,,,,,0.5,1.25,0.75,0.5,,,2
2006-06-13,World Cup,South Korea,Togo,2,1,1,True,1,1872.7,1750.0,122.70000000000005,0.42857142857142855,1.1428571428571428,0.8571428571428571,0.2857142857142857,,,,,,,2
2006-06-13,World Cup,France,Switzerland,0,0,0,True,0,1903.9,1850.0,53.90000000000009,0.0,0.0,1.0,-1.0,,,,,,,1
2006-06-13,World Cup,Brazil,Croatia,1,0,1,True,1,2157.5,1854.0,303.5,1.0,2.5714285714285716,0.5714285714285714,2.0,0.3333333333333333,0.6666666666666666,1.0,-0.3333333333333333,2.3333333333333335,0.6666666666666667,2
2006-06-14,World Cup,Germany,Poland,1,0,1,True,1,2056.4,1785.7,270.70000000000005,0.75,2.25,0.625,1.625,0.25,0.75,2.25,-1.5,3.125,0.5,2
