Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Cristian Javier,29,58,Maj-AL,Houston,3,3,,1.0,,9.1,13,13,13,9,4,2,2,12.54,37,1,0,0,4,0,1,0,0,48,176,0.56,0.1,0.09,0.33,0.18,0.09,2.357,0.355,3.9,0.44,664299
Griffin Jax,31,4,Maj-AL,Tampa Bay,18,7,1.0,4.0,,34.0,34,24,18,16,32,7,0,4.76,126,2,0,1,5,2,6,2,0,147,560,0.63,0.15,0.13,0.48,0.2,0.06,1.471,0.303,8.5,2.0,643377
Pierce Johnson,35,10,Maj-NL,Cincinnati,24,0,2.0,1.0,1.0,22.0,19,8,8,8,20,3,0,3.27,82,5,1,0,0,1,1,0,0,92,367,0.64,0.19,0.1,0.31,0.3,0.06,1.227,0.267,8.2,2.5,572955
Ryan Johnson,23,17,Maj-AL,Los Angeles,4,1,,1.0,,8.1,15,14,14,7,5,3,0,15.12,39,3,0,0,0,1,0,0,0,47,169,0.63,0.09,0.11,0.31,0.26,0.11,2.64,0.375,5.4,0.71,696270
Seth Johnson,27,46,Maj-NL,Philadelphia,3,0,,,,3.2,5,5,3,3,4,0,1,7.36,17,1,0,0,0,0,0,0,0,21,90,0.6,0.16,0.07,0.38,0.31,0.15,2.182,0.385,9.8,1.33,686751
Jared Jones,24,1,Maj-NL,Pittsburgh,2,2,1.0,,,9.1,11,5,5,4,10,2,0,4.82,38,2,0,0,1,0,0,0,0,42,151,0.64,0.13,0.17,0.36,0.21,0.07,1.607,0.346,9.6,2.5,683003
Hayden Juenger,25,2,Maj-AL,Toronto,2,0,,,,2.0,2,3,3,2,0,0,0,13.5,7,1,0,0,0,1,0,0,0,10,47,0.62,0.21,0.02,0.25,0.25,0.13,2.0,0.25,0.0,0.0,696522
Gage Jump,23,3,Maj-AL,Athletics,2,2,1.0,1.0,,12.0,12,5,5,2,10,0,2,3.75,43,2,0,0,1,2,1,2,0,49,173,0.69,0.17,0.09,0.34,0.31,0.11,1.167,0.343,7.5,5.0,695611
Jakob Junis,33,3,Maj-AL,Texas,23,1,,1.0,4.0,26.2,16,5,5,5,17,0,2,1.69,95,5,0,1,1,0,1,0,0,102,360,0.69,0.21,0.08,0.45,0.22,0.08,0.788,0.205,5.7,3.4,596001
Janson Junk,30,11,Maj-NL,Miami,11,11,3.0,5.0,,60.0,65,34,32,13,43,8,1,4.8,238,12,2,0,6,2,5,2,0,255,956,0.66,0.17,0.07,0.45,0.19,0.12,1.3,0.302,6.5,3.31,676083
Tommy Kahnle,36,1,Maj-AL,Boston,1,0,,,,2.0,2,0,0,2,1,0,0,0.0,7,0,0,0,0,0,0,0,0,9,34,0.56,0.12,0.06,0.17,0.67,0.17,2.0,0.333,4.5,0.5,592454
Anthony Kay,31,0,Maj-AL,Chicago,13,11,5.0,1.0,,61.1,63,32,30,26,46,10,10,4.4,238,9,2,0,4,4,6,2,0,279,1146,0.61,0.16,0.08,0.44,0.25,0.08,1.451,0.285,6.8,1.77,641743
Brad Keller,30,0,Maj-NL,Philadelphia,28,0,2.0,1.0,3.0,27.2,25,12,11,9,29,4,2,3.58,105,2,0,0,1,0,2,1,1,116,464,0.63,0.17,0.1,0.45,0.24,0.04,1.229,0.292,9.4,3.22,641745
Mitch Keller,30,0,Maj-NL,Pittsburgh,13,13,5.0,3.0,,73.0,67,39,39,23,55,5,4,4.81,276,16,1,0,5,2,7,2,1,305,1141,0.64,0.16,0.09,0.4,0.3,0.09,1.233,0.284,6.8,2.39,656605
Carson Kelly,31,0,Maj-NL,Chicago,1,0,,,,1.0,2,2,2,0,0,2,0,18.0,5,0,0,0,0,0,0,0,0,5,6,0.83,0.0,0.0,0.2,0.0,0.4,2.0,0.0,0.0,,608348
Kevin Kelly,28,5,Maj-AL,Tampa Bay,26,0,3.0,2.0,2.0,27.0,17,10,8,5,19,2,1,2.67,92,1,0,1,7,0,3,1,0,98,379,0.67,0.2,0.08,0.6,0.23,0.0,0.815,0.211,6.3,3.8,687330
Merrill Kelly,37,0,Maj-NL,Arizona,10,10,5.0,4.0,,58.1,62,37,37,25,37,13,2,5.71,229,15,2,2,2,1,2,2,2,259,942,0.62,0.14,0.11,0.37,0.29,0.04,1.491,0.272,5.7,1.48,518876
Michael Kelly,33,5,Maj-AL,Athletics,5,0,,,,5.0,12,9,9,6,6,1,0,16.2,26,1,2,0,0,0,3,1,0,32,121,0.65,0.21,0.09,0.2,0.45,0.15,3.6,0.579,10.8,1.0,547184
Zack Kelly,31,17,Maj-AL,Boston,17,0,,2.0,,16.1,14,8,6,7,14,1,1,3.31,60,1,0,0,1,2,1,0,0,71,283,0.6,0.17,0.08,0.47,0.31,0.04,1.286,0.277,7.7,2.0,677161
William Kempner,25,0,Maj-NL,Miami,4,0,,,,4.2,3,0,0,0,5,0,0,0.0,17,0,0,0,0,0,0,0,0,17,61,0.7,0.23,0.16,0.33,0.25,0.08,0.643,0.25,9.6,,687531
Buddy Kennedy,27,4,Maj-NL,San Francisco,1,0,,,,1.0,4,4,4,2,0,0,0,36.0,6,2,0,0,0,1,0,0,0,9,39,0.54,0.1,0.03,0.43,0.14,0.0,6.0,0.571,0.0,0.0,671083
Zak Kent,28,22,"Maj-AL,Maj-NL","Minnesota,Washington",6,0,,,,9.1,10,9,6,5,7,3,0,5.79,38,2,1,0,1,1,2,0,0,44,167,0.63,0.15,0.11,0.41,0.19,0.03,1.607,0.241,6.8,1.4,687849
Orion Kerkering,25,1,Maj-NL,Philadelphia,26,0,3.0,,1.0,23.1,18,7,6,10,25,2,1,2.31,88,4,1,0,0,0,1,0,0,100,403,0.63,0.19,0.1,0.38,0.2,0.09,1.2,0.262,9.6,2.5,689147
Yusei Kikuchi,35,37,Maj-AL,Los Angeles,7,7,,3.0,,31.0,35,20,20,14,33,3,1,5.81,124,11,0,0,0,3,1,1,0,142,567,0.63,0.15,0.1,0.39,0.26,0.11,1.581,0.352,9.6,2.36,579328
Caleb Kilian,29,1,Maj-NL,San Francisco,26,0,2.0,3.0,4.0,27.2,19,13,11,14,30,5,1,3.58,99,0,0,2,3,1,2,0,0,116,440,0.65,0.17,0.12,0.41,0.19,0.09,1.193,0.215,9.8,2.14,668873
Craig Kimbrel,38,10,"Maj-AL,Maj-NL","New York,Tampa Bay",15,0,,2.0,,16.0,17,12,10,6,17,3,0,5.63,60,3,1,1,1,1,0,1,1,68,260,0.64,0.11,0.13,0.33,0.27,0.07,1.438,0.341,9.6,2.83,518886
Bryan King,29,0,Maj-AL,Houston,24,0,,1.0,6.0,27.1,25,10,8,11,21,1,3,2.63,104,3,1,1,4,0,1,0,1,118,478,0.66,0.17,0.08,0.49,0.27,0.08,1.317,0.293,6.9,1.91,687911
John King,31,3,Maj-NL,Miami,28,1,2.0,1.0,1.0,26.2,10,7,7,8,20,3,3,2.36,87,1,0,1,2,1,4,0,0,99,360,0.64,0.2,0.08,0.53,0.19,0.07,0.675,0.108,6.8,2.5,667463
Michael King,31,0,Maj-NL,San Diego,13,13,4.0,5.0,,74.0,54,29,28,29,69,8,5,3.41,260,9,1,0,11,1,4,6,0,296,1182,0.62,0.17,0.11,0.48,0.2,0.08,1.122,0.25,8.4,2.38,650633
Tyler Kinley,35,2,Maj-NL,Atlanta,29,0,4.0,2.0,,26.2,22,11,10,9,30,5,1,3.38,101,4,0,1,1,0,6,0,0,111,426,0.64,0.19,0.11,0.32,0.23,0.14,1.163,0.258,10.1,3.33,641755
George Kirby,28,2,Maj-AL,Seattle,13,13,5.0,5.0,,78.0,82,38,35,18,64,7,2,4.04,302,13,0,0,12,1,9,1,1,323,1195,0.67,0.15,0.1,0.53,0.19,0.05,1.282,0.323,7.4,3.56,669923
