Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Germ\xc3\xa1n M\xc3\xa1rquez,31,35,Maj-NL,San Diego,6,6,3.0,2.0,,29.2,31,19,19,12,19,8,1,5.76,114,5,0,0,0,1,2,3,0,128,501,0.62,0.15,0.08,0.33,0.21,0.09,1.449,0.261,5.8,1.58,608566
Yunior Marte,31,7,Maj-NL,Cincinnati,1,0,,,,0.1,3,4,4,1,1,0,1,108.0,4,1,0,1,0,0,0,0,0,6,21,0.67,0.1,0.19,0.0,0.67,0.0,12.0,1.0,27.0,1.0,628708
Chris Martin,40,6,Maj-AL,Texas,12,0,1.0,1.0,,10.1,18,10,9,2,7,3,1,7.84,46,6,0,0,1,0,0,1,0,49,169,0.72,0.15,0.09,0.3,0.38,0.05,1.935,0.417,6.1,3.5,455119
Corbin Martin,30,30,Maj-NL,Chicago,7,0,,,1.0,5.0,5,6,6,5,4,2,0,10.8,20,0,0,0,0,0,0,0,1,25,111,0.59,0.12,0.16,0.38,0.19,0.19,2.0,0.214,7.2,0.8,656686
Davis Martin,29,3,Maj-AL,Chicago,12,12,8.0,2.0,,72.1,63,21,21,17,73,3,3,2.61,267,18,0,0,8,1,5,2,1,288,1098,0.66,0.17,0.13,0.46,0.29,0.06,1.106,0.313,9.1,4.29,663436
Riley Martin,28,43,Maj-NL,Chicago,8,1,,,,8.1,5,2,2,2,10,1,0,2.16,28,0,0,0,1,0,0,0,0,31,115,0.7,0.2,0.1,0.37,0.16,0.16,0.84,0.235,10.8,5.0,702303
Trevor Martin,25,4,Maj-AL,Tampa Bay,5,0,,,,10.1,13,8,5,4,6,4,2,4.35,44,2,0,0,1,0,2,0,0,50,166,0.61,0.13,0.1,0.45,0.18,0.0,1.645,0.265,5.2,1.5,694680
Nick Martinez,35,2,Maj-AL,Tampa Bay,12,12,5.0,2.0,,70.2,71,18,18,13,42,6,2,2.29,272,15,1,0,3,2,2,3,0,291,985,0.68,0.18,0.08,0.39,0.26,0.08,1.189,0.288,5.3,3.23,607259
Jorge Mateo,31,18,Maj-NL,Atlanta,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,4,11,0.55,0.18,0.0,0.0,0.25,0.0,1.0,0.25,0.0,,622761
Phil Maton,33,0,Maj-NL,Chicago,23,0,,1.0,,20.1,24,16,16,11,23,3,3,7.08,80,4,2,0,1,2,0,0,0,97,400,0.65,0.2,0.1,0.43,0.35,0.02,1.721,0.375,10.2,2.09,664208
Yuki Matsui,30,0,Maj-NL,San Diego,11,0,,,,17.0,7,1,1,9,19,0,1,0.53,53,2,0,0,0,3,1,2,1,66,247,0.63,0.16,0.19,0.46,0.08,0.22,0.941,0.189,10.1,2.11,673513
Zebby Matthews,26,0,Maj-AL,Minnesota,5,5,2.0,3.0,,30.1,25,14,14,8,26,5,2,4.15,112,5,0,0,2,0,3,0,0,122,471,0.63,0.18,0.1,0.37,0.22,0.08,1.088,0.247,7.7,3.25,805673
Isaac Mattson,30,19,Maj-NL,Pittsburgh,21,0,,,,19.2,19,9,9,10,15,0,1,4.12,75,6,0,0,0,1,0,0,1,87,357,0.64,0.15,0.08,0.21,0.34,0.08,1.475,0.311,6.9,1.5,676755
Steven Matz,35,3,Maj-AL,Tampa Bay,10,10,4.0,3.0,,46.0,44,28,28,17,37,9,1,5.48,175,8,2,0,4,2,3,0,0,195,783,0.64,0.16,0.1,0.34,0.31,0.06,1.326,0.267,7.2,2.18,571927
Brycen Mautz,24,11,Maj-NL,St. Louis,1,0,,,,3.0,4,2,2,2,2,0,0,6.0,12,1,0,0,0,0,0,0,0,14,59,0.56,0.17,0.07,0.3,0.3,0.0,2.0,0.4,6.0,1.0,802408
Zach Maxwell,25,0,Maj-NL,Cincinnati,5,0,,,,5.0,10,9,9,5,4,2,0,16.2,25,1,0,0,0,0,1,0,0,30,137,0.61,0.18,0.07,0.19,0.38,0.14,3.0,0.421,7.2,0.8,687209
Dustin May,28,3,Maj-NL,St. Louis,12,12,3.0,6.0,,66.2,67,37,34,19,60,5,5,4.59,252,15,1,0,6,2,5,4,1,279,1049,0.65,0.18,0.1,0.45,0.26,0.08,1.29,0.328,8.1,3.16,669160
Tim Mayza,34,7,Maj-NL,Philadelphia,23,1,1.0,1.0,,27.1,20,12,11,7,26,4,1,3.62,101,3,0,1,2,0,0,0,0,109,412,0.64,0.2,0.1,0.52,0.23,0.01,0.988,0.225,8.6,3.71,641835
Zach McCambley,27,0,Maj-NL,Cincinnati,2,0,,,,3.0,2,0,0,2,4,0,1,0.0,11,1,0,1,0,0,1,0,0,14,49,0.57,0.16,0.16,0.43,0.57,0.0,1.333,0.286,12.0,2.0,685112
James McCann,36,36,Maj-NL,Arizona,4,0,,,,4.0,9,6,5,3,0,1,0,11.25,19,2,0,0,2,1,0,0,0,23,63,0.54,0.1,0.03,0.55,0.15,0.0,3.0,0.421,0.0,0.0,543510
Shane McClanahan,29,5,Maj-AL,Tampa Bay,11,11,6.0,2.0,,55.0,37,17,15,19,53,2,1,2.45,201,9,0,0,2,0,9,1,1,222,873,0.65,0.17,0.12,0.46,0.22,0.03,1.018,0.24,8.7,2.79,663556
Lance McCullers Jr.,32,23,Maj-AL,Houston,8,8,2.0,3.0,,39.1,38,32,30,22,43,7,2,6.86,148,11,1,0,6,0,3,1,1,172,696,0.59,0.17,0.1,0.45,0.21,0.08,1.525,0.316,9.8,1.95,621121
Chayce McDermott,27,19,Maj-NL,Los Angeles,1,0,,,,1.0,1,0,0,0,1,0,0,0.0,4,0,0,0,0,0,0,0,0,4,16,0.5,0.06,0.13,0.0,0.33,0.33,1.0,0.333,9.0,,694646
Trevor McDonald,25,3,Maj-NL,San Francisco,6,6,2.0,3.0,,34.0,30,18,17,9,31,3,5,4.5,129,6,0,0,3,1,1,1,2,144,511,0.64,0.18,0.12,0.62,0.23,0.05,1.147,0.281,8.2,3.44,686790
Easton McGee,28,35,Maj-NL,Milwaukee,2,0,,,,2.0,1,0,0,1,1,0,0,0.0,5,1,0,0,2,0,0,0,0,6,22,0.59,0.05,0.14,0.75,0.25,0.0,1.0,0.25,4.5,1.0,668834
Michael McGreevy,25,4,Maj-NL,St. Louis,12,12,3.0,5.0,,66.1,56,22,22,17,44,8,0,2.98,245,11,0,0,7,0,2,0,0,262,1050,0.61,0.16,0.08,0.46,0.25,0.03,1.101,0.249,6.0,2.59,700241
Reese McGuire,31,51,Maj-AL,Chicago,1,0,,,,1.0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,3,9,0.89,0.33,0.11,0.0,0.0,0.33,0.0,0.0,0.0,,624512
Nolan McLean,24,5,Maj-NL,New York,12,12,3.0,4.0,,66.1,50,36,31,24,77,8,8,4.21,243,11,0,0,4,1,1,0,3,276,1105,0.63,0.2,0.09,0.46,0.24,0.07,1.116,0.264,10.4,3.21,690997
Nick Mears,29,9,Maj-AL,Kansas City,21,0,2.0,3.0,,19.1,18,11,11,11,15,2,0,5.12,70,5,1,1,3,1,0,1,0,83,341,0.61,0.17,0.08,0.47,0.23,0.05,1.5,0.296,7.0,1.36,683232
Victor Mederos,25,16,Maj-NL,Atlanta,1,0,,,,2.0,0,0,0,1,0,0,0,0.0,5,0,0,0,1,0,0,0,0,6,25,0.56,0.12,0.0,0.4,0.2,0.2,0.5,0.0,0.0,0.0,682989
Luis Medina,27,1,Maj-AL,Athletics,20,1,1.0,1.0,,26.0,22,12,8,12,28,2,1,2.77,98,5,0,1,2,0,1,1,0,111,448,0.58,0.16,0.12,0.4,0.23,0.07,1.308,0.294,9.7,2.33,665622
Trevor Megill,32,0,Maj-NL,Milwaukee,24,0,1.0,2.0,8.0,23.0,19,13,12,7,29,0,1,4.7,86,5,0,0,0,1,2,0,0,97,365,0.67,0.16,0.17,0.38,0.2,0.05,1.13,0.328,11.3,4.14,656730
Juan Mejia,25,0,Maj-NL,Colorado,26,1,1.0,5.0,3.0,28.1,34,22,21,18,32,2,2,6.67,114,2,1,2,1,1,1,0,1,136,573,0.64,0.17,0.13,0.39,0.21,0.07,1.835,0.395,10.2,1.78,675848
Troy Melton,25,2,Maj-AL,Detroit,3,3,2.0,,,20.2,12,4,4,6,9,1,0,1.74,72,4,0,0,1,1,1,0,0,79,262,0.66,0.15,0.08,0.42,0.23,0.06,0.871,0.175,3.9,1.5,675512
Parker Messick,25,0,Maj-AL,Cleveland,13,13,6.0,2.0,,75.0,58,21,20,22,78,8,1,2.4,270,10,1,1,4,1,0,0,3,295,1170,0.63,0.15,0.12,0.42,0.24,0.09,1.067,0.27,9.4,3.55,800048
Luis Mey,25,0,Maj-NL,Cincinnati,7,0,,,,8.2,7,7,7,10,14,2,3,7.27,33,1,0,0,0,0,0,0,0,46,196,0.53,0.17,0.14,0.63,0.11,0.05,1.962,0.294,14.5,1.4,682825
Max Meyer,27,2,Maj-NL,Miami,13,13,6.0,,,73.2,50,25,23,27,81,5,4,2.81,268,11,1,0,4,1,5,1,0,301,1170,0.64,0.16,0.13,0.43,0.21,0.08,1.045,0.246,9.9,3.0,676974
Miles Mikolas,37,3,Maj-NL,Washington,13,6,1.0,5.0,,56.1,63,43,40,16,36,14,0,6.39,226,10,0,0,3,3,5,1,1,245,935,0.64,0.18,0.07,0.46,0.2,0.06,1.402,0.274,5.8,2.25,571945
Spencer Miles,25,5,Maj-AL,Toronto,16,2,2.0,1.0,,36.1,30,16,14,12,34,3,0,3.47,137,3,0,0,1,0,2,2,0,150,583,0.66,0.17,0.09,0.57,0.18,0.05,1.156,0.27,8.4,2.83,693686
Bryce Miller,27,5,Maj-AL,Seattle,4,3,1.0,,,21.0,15,4,4,3,20,2,0,1.71,75,3,0,1,2,0,0,0,0,79,307,0.7,0.13,0.14,0.43,0.21,0.11,0.857,0.245,8.6,6.67,682243
Erik Miller,28,2,Maj-NL,San Francisco,20,0,,,2.0,17.2,12,8,8,14,25,1,0,4.08,64,4,0,0,1,0,4,0,0,78,374,0.54,0.18,0.11,0.56,0.18,0.1,1.472,0.289,12.7,1.79,669062
Mason Miller,27,0,Maj-NL,San Diego,25,0,1.0,1.0,17.0,25.2,12,4,3,11,50,0,0,1.05,88,0,0,0,1,1,3,0,1,100,430,0.66,0.2,0.22,0.59,0.18,0.03,0.896,0.308,17.5,4.55,695243
Wyatt Mills,31,20,Maj-NL,Los Angeles,4,0,,,,3.1,3,3,3,7,1,0,1,8.1,13,0,0,1,0,0,1,0,0,21,82,0.5,0.11,0.07,0.42,0.25,0.08,3.0,0.25,2.7,0.14,670090
Hoby Milner,35,0,Maj-NL,Chicago,29,0,1.0,,1.0,28.0,25,13,13,6,14,3,3,4.18,104,3,0,0,2,2,3,0,1,116,436,0.66,0.21,0.06,0.42,0.26,0.06,1.107,0.247,4.5,2.33,571948
A.J. Minter,32,0,Maj-NL,New York,5,0,,1.0,,4.1,3,1,0,1,6,0,0,0.0,16,0,0,0,0,0,1,1,0,17,72,0.64,0.15,0.17,0.5,0.3,0.1,0.923,0.3,12.5,6.0,621345
Jacob Misiorowski,24,5,Maj-NL,Milwaukee,12,12,6.0,2.0,,71.0,37,15,13,19,108,4,6,1.65,247,3,0,0,4,1,1,0,0,273,1084,0.67,0.18,0.17,0.44,0.26,0.08,0.789,0.243,13.7,5.68,694819
Casey Mize,29,9,Maj-AL,Detroit,9,9,2.0,3.0,,47.2,34,12,12,12,49,2,1,2.27,170,14,0,0,4,2,3,3,0,185,697,0.65,0.17,0.13,0.36,0.23,0.11,0.965,0.264,9.3,4.08,663554
Carmen Mlodzinski,27,1,Maj-NL,Pittsburgh,12,9,4.0,3.0,1.0,59.0,62,25,24,20,49,4,2,3.66,228,13,1,0,8,2,2,1,0,253,992,0.63,0.19,0.08,0.44,0.28,0.08,1.39,0.328,7.5,2.45,669387
Anthony Molina,24,35,Maj-NL,Atlanta,1,0,,,,2.0,0,0,0,1,0,0,0,0.0,5,0,0,0,1,0,0,0,0,6,26,0.58,0.15,0.12,0.8,0.0,0.0,0.5,0.0,0.0,0.0,683627
Sam Moll,34,3,Maj-NL,Cincinnati,29,0,1.0,3.0,1.0,26.1,15,10,7,13,28,2,4,2.39,90,2,0,1,3,1,3,1,1,109,449,0.59,0.19,0.1,0.6,0.16,0.08,1.063,0.213,9.6,2.15,594580
Keider Montero,25,5,Maj-AL,Detroit,11,11,2.0,3.0,,61.0,46,26,25,15,43,7,1,3.69,223,11,2,0,2,2,1,0,0,242,865,0.65,0.18,0.07,0.36,0.2,0.15,1.0,0.223,6.3,2.87,672456
Mason Montgomery,26,2,Maj-NL,Pittsburgh,24,3,1.0,1.0,,23.2,21,14,13,11,32,3,0,4.94,91,4,0,0,1,0,1,0,0,102,407,0.65,0.14,0.16,0.51,0.22,0.07,1.352,0.321,12.2,2.91,682254
Dylan Moore,33,51,Maj-NL,Philadelphia,2,0,,,,1.2,1,1,1,1,0,0,1,5.4,6,0,0,0,0,0,0,0,0,8,21,0.52,0.1,0.05,0.67,0.17,0.17,1.2,0.167,0.0,0.0,664238
Luis Morales,23,34,Maj-AL,Athletics,3,2,,2.0,,9.1,17,15,15,12,7,5,1,14.46,42,3,0,0,3,0,1,0,0,55,212,0.55,0.15,0.05,0.31,0.29,0.14,3.107,0.4,6.8,0.58,806960
Jovani Mor\xc3\xa1n,29,1,Maj-AL,Boston,21,3,1.0,2.0,,33.0,20,11,11,15,38,5,1,3.0,116,4,0,1,1,2,1,0,0,134,519,0.62,0.15,0.14,0.38,0.19,0.09,1.061,0.2,10.4,2.53,663558
Adri\xc3\xa1n Morej\xc3\xb3n,27,1,Maj-NL,San Diego,28,0,4.0,1.0,1.0,30.1,29,17,16,7,35,2,1,4.75,120,5,0,0,1,0,5,1,0,128,502,0.69,0.16,0.18,0.61,0.25,0.05,1.187,0.325,10.4,5.0,670970
David Morgan,26,0,Maj-NL,San Diego,12,0,2.0,,,15.1,18,10,9,11,17,2,2,5.28,61,6,0,1,2,0,1,0,0,75,293,0.62,0.12,0.14,0.58,0.2,0.07,1.891,0.381,10.0,1.55,688158
Eli Morgan,30,4,Maj-AL,Kansas City,13,0,,1.0,1.0,16.1,23,10,10,8,15,4,2,5.51,71,3,0,0,1,0,2,0,0,81,302,0.65,0.18,0.11,0.34,0.36,0.11,1.898,0.365,8.3,1.88,669212
Juan Morillo,27,3,Maj-NL,Arizona,27,0,1.0,2.0,1.0,25.0,17,8,7,10,32,1,2,2.52,92,3,1,1,0,1,1,0,0,105,421,0.64,0.15,0.15,0.52,0.2,0.1,1.08,0.267,11.5,3.2,666661
Andrew Morris,24,1,Maj-AL,Minnesota,18,2,1.0,2.0,1.0,26.1,33,15,13,10,24,1,1,4.44,108,5,1,0,1,2,2,0,1,122,495,0.65,0.16,0.1,0.41,0.21,0.07,1.633,0.376,8.2,2.4,702193
Andr\xc3\xa9s Mu\xc3\xb1oz,27,4,Maj-AL,Seattle,24,0,3.0,3.0,9.0,22.2,22,13,12,7,35,4,1,4.76,90,2,0,0,1,1,5,0,0,99,393,0.64,0.16,0.2,0.45,0.25,0.09,1.279,0.346,13.9,5.0,662253
Roddery Mu\xc3\xb1oz,26,63,Maj-AL,Houston,3,0,,,,4.0,7,7,7,6,6,3,0,15.75,19,2,0,0,0,0,0,0,0,25,112,0.54,0.13,0.17,0.23,0.31,0.08,3.25,0.4,13.5,1.0,682610
Rolddy Mu\xc3\xb1oz,26,53,Maj-NL,Atlanta,1,0,,,,2.0,5,3,3,1,3,1,0,13.5,11,0,0,0,0,0,2,0,0,12,49,0.61,0.18,0.14,0.75,0.0,0.0,3.0,0.571,13.5,3.0,691548
Chris Murphy,28,2,Maj-AL,Chicago,8,0,1.0,,1.0,9.1,11,7,7,8,9,1,1,6.75,37,1,1,0,1,0,0,1,1,46,164,0.6,0.12,0.12,0.39,0.29,0.18,2.036,0.37,8.7,1.13,669684
Jayden Murray,29,18,Maj-AL,Houston,7,0,,,,11.1,16,9,9,7,5,0,0,7.15,45,5,0,0,1,1,0,1,1,53,197,0.61,0.13,0.07,0.32,0.27,0.02,2.029,0.39,4.0,0.71,681151
Tobias Myers,27,7,Maj-NL,New York,20,2,,1.0,1.0,33.1,29,17,15,7,26,6,0,4.05,126,8,0,1,2,0,2,0,0,134,460,0.67,0.15,0.09,0.36,0.22,0.13,1.08,0.245,7.0,3.71,668964
Tommy Nance,35,20,Maj-AL,Toronto,20,0,,2.0,,21.0,16,9,9,8,25,1,0,3.86,76,2,0,0,1,0,6,3,0,85,308,0.69,0.22,0.12,0.5,0.25,0.06,1.143,0.3,10.7,3.13,667297
Andrew Nardi,27,9,Maj-NL,Miami,25,0,3.0,3.0,,22.2,21,13,13,11,27,4,1,5.16,86,5,0,0,2,0,0,0,0,99,378,0.65,0.17,0.13,0.43,0.22,0.03,1.412,0.309,10.7,2.45,677053
Ryne Nelson,28,1,Maj-NL,Arizona,13,13,2.0,4.0,,72.1,64,44,37,21,55,15,2,4.6,278,14,1,1,5,2,0,0,0,304,1116,0.67,0.13,0.09,0.31,0.21,0.08,1.175,0.233,6.8,2.62,669194
Sean Newcomb,33,3,Maj-AL,Chicago,24,0,,1.0,1.0,36.0,28,10,10,9,32,1,5,2.5,128,4,4,2,5,0,3,1,0,143,541,0.66,0.21,0.09,0.56,0.23,0.05,1.028,0.284,8.0,3.56,656794
Kyle Nicolas,27,42,Maj-NL,Cincinnati,7,0,1.0,,,7.1,8,7,7,13,7,1,0,8.59,29,1,0,0,1,0,1,0,0,42,198,0.48,0.18,0.05,0.27,0.27,0.14,2.864,0.333,8.6,0.54,693312
Doug Nikhazy,26,49,Maj-AL,Chicago,1,0,,,,2.0,1,1,1,2,1,0,0,4.5,7,0,0,0,0,0,0,0,0,9,39,0.44,0.13,0.1,0.83,0.0,0.0,1.5,0.167,4.5,0.5,680951
Aaron Nola,33,3,Maj-NL,Philadelphia,12,12,3.0,4.0,,61.2,68,38,38,18,64,11,0,5.55,244,10,3,0,3,1,4,3,0,264,1066,0.64,0.18,0.11,0.42,0.26,0.08,1.395,0.335,9.3,3.56,605400
Anthony Nunez,24,0,Maj-AL,Baltimore,29,0,2.0,2.0,3.0,30.0,28,21,17,11,34,4,1,5.1,117,6,1,1,0,0,2,1,0,131,494,0.64,0.16,0.17,0.42,0.24,0.08,1.3,0.304,10.2,3.09,689296
Riley O\'Brien,31,2,Maj-NL,St. Louis,27,0,3.0,3.0,15.0,27.1,24,14,12,6,29,1,5,3.95,100,2,0,0,4,1,0,0,1,113,438,0.63,0.14,0.13,0.56,0.27,0.0,1.098,0.324,9.5,4.83,676617
Bailey Ober,30,6,Maj-AL,Minnesota,12,12,6.0,3.0,,66.2,63,36,34,18,46,12,2,4.59,259,16,0,0,2,0,7,1,0,281,1032,0.65,0.17,0.09,0.34,0.2,0.15,1.215,0.254,6.2,2.56,641927
Shohei Ohtani,31,2,Maj-NL,Los Angeles,10,10,6.0,2.0,,61.0,30,7,5,18,67,2,4,0.74,209,8,0,0,2,1,2,0,0,233,943,0.64,0.18,0.14,0.53,0.17,0.1,0.787,0.199,9.9,3.72,660271
Steven Okert,34,1,Maj-AL,Houston,30,1,,,,29.0,18,10,10,10,25,3,2,3.1,100,2,1,0,2,1,2,2,2,114,452,0.65,0.16,0.12,0.29,0.18,0.19,0.966,0.205,7.8,2.5,595345
Eric Orze,28,1,Maj-AL,Minnesota,25,0,2.0,1.0,1.0,29.2,27,13,12,15,27,0,0,3.64,112,7,0,2,2,3,5,0,0,130,478,0.64,0.2,0.1,0.4,0.33,0.11,1.416,0.307,8.2,1.8,679358
Johan Oviedo,28,67,Maj-AL,Boston,1,0,,,,3.2,6,4,4,1,3,2,1,9.82,15,2,0,0,0,1,0,1,0,18,72,0.65,0.14,0.07,0.46,0.08,0.08,1.909,0.364,7.4,3.0,670912
Chris Paddack,30,7,Maj-NL,"Cincinnati,Miami",10,9,,7.0,,45.2,61,36,35,17,35,7,2,6.9,193,8,0,0,3,2,2,1,0,215,833,0.64,0.14,0.1,0.4,0.24,0.06,1.708,0.353,6.9,2.06,663978
Jedixson Paez,22,66,Maj-AL,Chicago,3,0,,,,3.0,4,6,6,3,0,2,0,18.0,12,0,0,0,0,1,0,0,0,16,65,0.55,0.09,0.06,0.31,0.08,0.08,2.333,0.182,0.0,0.0,699151
Emilio Pag\xc3\xa1n,35,32,Maj-NL,Cincinnati,14,0,2.0,1.0,6.0,14.0,14,10,10,6,11,3,1,6.43,53,3,1,1,1,2,2,0,0,62,228,0.61,0.11,0.11,0.23,0.23,0.16,1.429,0.268,7.1,1.83,641941
Andrew Painter,23,5,Maj-NL,Philadelphia,11,10,1.0,6.0,,53.1,64,34,34,17,43,9,2,5.74,212,7,1,0,6,3,2,1,0,236,914,0.64,0.16,0.09,0.39,0.21,0.11,1.519,0.337,7.3,2.53,691725
Daniel Palencia,26,2,Maj-NL,Chicago,15,0,1.0,,3.0,13.2,13,3,3,4,14,2,0,1.98,52,2,0,1,0,0,1,0,0,56,216,0.64,0.12,0.17,0.32,0.37,0.05,1.244,0.306,9.2,3.5,694037
Andre Pallante,27,2,Maj-NL,St. Louis,12,12,6.0,4.0,,63.2,60,30,28,23,51,8,4,3.96,246,9,0,0,6,1,6,0,1,274,1080,0.63,0.19,0.09,0.52,0.21,0.05,1.304,0.277,7.2,2.22,669467
Peyton Pallette,25,13,Maj-AL,Cleveland,16,0,1.0,2.0,,20.2,17,13,12,16,22,2,3,5.23,78,4,0,0,1,0,1,0,0,97,442,0.58,0.18,0.1,0.36,0.32,0.14,1.597,0.278,9.6,1.38,688883
Mike Paredes,25,1,Maj-AL,Minnesota,2,0,,,,7.1,4,5,4,4,4,1,0,4.91,26,0,0,0,0,1,0,0,0,32,115,0.6,0.14,0.05,0.39,0.22,0.04,1.091,0.136,4.9,1.0,702474
Mitchell Parker,26,3,Maj-NL,Washington,14,0,2.0,2.0,1.0,30.0,28,20,18,8,26,7,2,5.4,115,5,0,0,3,0,0,0,0,128,492,0.66,0.16,0.14,0.42,0.22,0.08,1.2,0.256,7.8,3.25,680730
Chad Patrick,27,2,Maj-NL,Milwaukee,15,6,3.0,2.0,2.0,50.0,40,13,13,20,38,2,0,2.34,178,9,2,1,6,1,1,3,0,201,790,0.63,0.14,0.12,0.36,0.25,0.1,1.2,0.273,6.8,1.9,694477
Joel Payamps,32,36,Maj-NL,Atlanta,12,0,,2.0,,7.2,9,9,7,4,9,2,0,8.22,32,2,1,0,0,0,3,0,0,36,151,0.62,0.15,0.11,0.22,0.26,0.0,1.696,0.333,10.6,2.25,606303
Nate Pearson,29,2,Maj-AL,Houston,5,0,,,1.0,4.2,5,3,3,3,5,1,0,5.79,18,2,0,0,0,0,1,1,0,21,96,0.58,0.16,0.13,0.23,0.46,0.0,1.714,0.333,9.6,1.67,663878
Joel Peguero,29,5,Maj-NL,San Francisco,11,0,,,,11.1,10,5,3,4,5,0,2,2.38,42,3,0,0,2,0,0,1,0,48,169,0.68,0.12,0.1,0.57,0.19,0.03,1.235,0.27,4.0,1.25,666711
Freddy Peralta,30,2,Maj-NL,New York,13,13,4.0,4.0,,72.0,65,31,29,30,74,9,2,3.63,275,13,1,0,3,1,2,1,0,309,1242,0.61,0.15,0.12,0.43,0.24,0.07,1.319,0.29,9.3,2.47,642547
Sammy Peralta,28,17,Maj-NL,Colorado,1,1,,1.0,,0.2,2,2,2,2,1,0,1,27.0,4,1,0,0,0,0,0,0,0,7,23,0.48,0.26,0.0,0.0,0.33,0.33,6.0,0.667,13.5,0.5,671111
Wandy Peralta,34,1,Maj-NL,San Diego,25,0,,,,29.1,26,8,8,13,20,3,2,2.45,107,4,1,0,5,0,0,2,0,122,473,0.62,0.11,0.11,0.53,0.26,0.03,1.33,0.274,6.1,1.54,593974
Cionel P\xc3\xa9rez,30,3,Maj-NL,"New York,Washington",18,0,2.0,3.0,,19.0,18,13,12,11,13,3,0,5.68,73,1,0,0,2,0,0,0,0,84,335,0.6,0.18,0.09,0.6,0.13,0.05,1.526,0.263,6.2,1.18,672335
Eury P\xc3\xa9rez,23,9,Maj-NL,Miami,12,12,3.0,6.0,,62.2,51,36,32,28,72,11,5,4.6,231,15,1,0,5,1,18,1,1,265,1063,0.63,0.13,0.14,0.34,0.23,0.14,1.261,0.268,10.3,2.57,691587
Mart\xc3\xadn P\xc3\xa9rez,35,0,Maj-NL,Atlanta,13,9,4.0,3.0,,56.2,40,19,19,20,47,6,2,3.02,199,9,3,0,8,3,2,0,0,225,885,0.62,0.19,0.09,0.46,0.24,0.05,1.059,0.228,7.5,2.35,527048
Jack Perkins,26,0,Maj-AL,Athletics,18,1,2.0,3.0,3.0,32.0,32,24,22,9,39,2,6,6.19,127,4,1,0,1,2,0,0,0,144,544,0.67,0.15,0.15,0.4,0.23,0.06,1.281,0.341,11.0,4.33,678022
Michael Petersen,32,3,Maj-NL,Miami,22,0,1.0,1.0,1.0,23.1,16,10,9,10,25,1,0,3.47,84,3,1,1,0,0,0,2,0,94,367,0.65,0.17,0.11,0.36,0.14,0.1,1.114,0.259,9.6,2.5,656848
David Peterson,30,5,Maj-NL,New York,13,7,3.0,5.0,1.0,57.1,67,37,33,24,56,2,3,5.18,234,12,4,0,3,4,2,3,0,266,941,0.64,0.17,0.1,0.52,0.27,0.05,1.587,0.361,8.8,2.33,656849
Chase Petty,23,13,Maj-NL,Cincinnati,2,2,,,,10.2,10,7,7,3,2,2,1,5.91,40,3,0,0,1,1,0,0,0,45,137,0.66,0.15,0.07,0.31,0.31,0.1,1.219,0.216,1.7,0.67,695534
Brandon Pfaadt,27,2,Maj-NL,Arizona,13,3,,1.0,,38.0,40,28,25,17,31,7,3,5.92,148,10,0,0,4,3,0,0,0,171,627,0.63,0.16,0.11,0.51,0.21,0.08,1.5,0.292,7.3,1.82,694297
Connor Phillips,25,13,Maj-NL,Cincinnati,25,0,1.0,,1.0,27.2,21,18,17,28,28,3,3,5.53,101,4,1,0,1,1,6,1,0,133,547,0.57,0.17,0.1,0.26,0.27,0.09,1.771,0.254,9.1,1.0,683175
Tyler Phillips,28,0,Maj-NL,Miami,18,2,,1.0,2.0,43.1,37,12,10,22,36,2,1,2.08,164,8,1,0,2,0,7,3,0,189,710,0.63,0.18,0.12,0.47,0.22,0.05,1.362,0.278,7.5,1.64,663969
Jonathan Pintaro,28,11,Maj-NL,New York,2,0,,,,3.2,0,0,0,1,3,0,0,0.0,11,0,0,0,0,0,0,0,0,12,52,0.63,0.17,0.12,0.5,0.13,0.25,0.273,0.0,7.4,3.0,702752
Nick Pivetta,33,54,Maj-NL,San Diego,4,4,1.0,2.0,,16.0,12,8,8,6,24,0,0,4.5,60,4,0,0,0,0,1,0,0,66,279,0.65,0.16,0.12,0.33,0.17,0.17,1.125,0.333,13.5,4.0,601713
Drew Pomeranz,37,2,Maj-AL,Los Angeles,21,0,,3.0,,18.2,20,13,12,12,15,4,2,5.79,73,4,0,4,0,1,4,0,0,89,315,0.63,0.14,0.11,0.25,0.23,0.2,1.714,0.291,7.2,1.25,519141
Cody Ponce,32,67,Maj-AL,Toronto,1,1,,,,2.1,1,1,1,1,3,0,0,3.86,9,1,0,0,0,0,0,0,0,10,47,0.64,0.02,0.32,0.5,0.33,0.0,0.857,0.167,11.6,3.0,664074
Zach Pop,29,54,Maj-NL,Philadelphia,7,1,,,,7.1,5,3,3,3,6,0,1,3.68,25,3,0,0,0,2,0,0,0,31,130,0.61,0.21,0.06,0.52,0.19,0.0,1.091,0.238,7.4,2.0,647315
