season,team,sp_overall,sp_offense,sp_defense,sp_st
2022,Georgia,35.3,37.2,3.7,1.7
2022,Michigan,32.0,38.0,7.6,1.6
2022,Ohio State,31.1,45.1,15.7,1.7
2022,Alabama,30.3,42.9,14.2,1.6
2022,Tennessee,25.2,47.3,22.6,0.4
2022,TCU,24.3,43.3,20.2,1.2
2022,Texas,23.1,38.1,15.6,0.7
2022,Penn State,22.4,36.6,13.9,-0.3
2022,Kansas State,21.4,36.4,15.7,0.6
2022,Utah,19.2,37.3,17.3,-0.8
2022,USC,18.9,46.6,26.3,-1.4
2022,Oregon,18.9,44.9,26.5,0.5
2022,Clemson,17.6,34.9,18.5,1.2
2022,Ole Miss,16.2,38.8,23.7,1.1
2022,LSU,16.2,34.2,17.6,-0.5
2022,Minnesota,16.0,23.5,8.6,1.1
2022,Illinois,15.9,20.6,5.5,0.8
2022,Washington,15.7,41.2,25.5,0.0
2022,Oklahoma,15.4,40.8,26.5,1.0
2022,Mississippi State,15.4,35.1,19.9,0.2
2022,UCLA,15.0,45.7,30.1,-0.7
2022,Oregon State,14.3,33.3,17.7,-1.3
2022,Florida State,13.2,34.8,20.4,-1.3
2022,Cincinnati,13.1,27.6,16.1,1.5
2022,Kentucky,13.0,23.2,9.9,-0.3
2022,Iowa,12.7,16.0,5.1,1.7
2022,South Carolina,12.7,36.0,25.2,1.8
2022,Tulane,12.4,32.0,19.7,0.1
2022,Arkansas,12.0,38.3,26.3,0.0
2022,Baylor,11.7,37.6,26.1,0.2
2022,Oklahoma State,11.3,37.6,27.9,1.6
2022,Maryland,11.2,33.8,24.2,1.7
2022,South Alabama,10.8,26.8,17.4,1.4
2022,Florida,10.4,39.6,29.5,0.3
2022,Notre Dame,10.3,30.5,21.4,1.1
2022,UCF,10.3,31.1,20.3,-0.6
2022,Washington State,9.5,25.1,16.7,1.1
2022,Texas A&M,9.1,25.4,16.6,0.3
2022,Louisville,9.0,27.0,19.1,1.1
2022,Pittsburgh,8.6,32.8,24.7,0.5
2022,Texas Tech,8.5,38.5,30.5,0.5
2022,Wisconsin,8.3,25.7,17.1,-0.4
2022,Wake Forest,8.2,43.3,35.2,0.0
2022,Troy,8.1,17.7,11.2,1.5
2022,Missouri,8.1,26.0,18.3,0.3
2022,North Carolina,7.8,41.7,35.0,1.1
