season,week,poll,team,rank
2024,13,Playoff Committee Rankings,Iowa State,22
2024,13,Playoff Committee Rankings,BYU,14
2024,13,Playoff Committee Rankings,Army,19
2024,13,Playoff Committee Rankings,SMU,13
2024,13,Playoff Committee Rankings,Arizona State,21
2024,13,Playoff Committee Rankings,Colorado,16
2024,13,Playoff Committee Rankings,Indiana,5
2024,13,Playoff Committee Rankings,Ohio State,2
2024,13,Playoff Committee Rankings,Penn State,4
2024,13,Playoff Committee Rankings,Illinois,25
2024,13,Playoff Committee Rankings,Oregon,1
2024,13,Playoff Committee Rankings,Georgia,10
2024,13,Playoff Committee Rankings,Missouri,23
2024,13,Playoff Committee Rankings,Ole Miss,9
2024,13,Playoff Committee Rankings,Texas A&M,15
2024,13,Playoff Committee Rankings,Texas,3
2024,13,Playoff Committee Rankings,Alabama,7
2024,13,Playoff Committee Rankings,South Carolina,18
2024,13,Playoff Committee Rankings,Tennessee,11
2024,13,Playoff Committee Rankings,Notre Dame,6
2024,13,Playoff Committee Rankings,Tulane,20
2024,13,Playoff Committee Rankings,Clemson,17
2024,13,Playoff Committee Rankings,Miami,8
2024,13,Playoff Committee Rankings,Boise State,12
2024,13,Playoff Committee Rankings,UNLV,24
2024,13,AP Top 25,Iowa State,22
2024,13,AP Top 25,Washington State,25
2024,13,AP Top 25,BYU,14
2024,13,AP Top 25,Army,18
2024,13,AP Top 25,SMU,13
2024,13,AP Top 25,Arizona State,21
2024,13,AP Top 25,Colorado,16
2024,13,AP Top 25,Indiana,5
2024,13,AP Top 25,Ohio State,2
2024,13,AP Top 25,Penn State,4
2024,13,AP Top 25,Illinois,24
2024,13,AP Top 25,Oregon,1
2024,13,AP Top 25,Georgia,8
2024,13,AP Top 25,Ole Miss,9
2024,13,AP Top 25,Texas A&M,15
2024,13,AP Top 25,Texas,3
2024,13,AP Top 25,Alabama,7
2024,13,AP Top 25,South Carolina,19
2024,13,AP Top 25,Tennessee,10
2024,13,AP Top 25,Notre Dame,6
2024,13,AP Top 25,Tulane,20
2024,13,AP Top 25,Clemson,17
2024,13,AP Top 25,Miami,11
2024,13,AP Top 25,Boise State,12
2024,13,AP Top 25,UNLV,23
2024,12,Playoff Committee Rankings,Kansas State,16
2024,12,Playoff Committee Rankings,Washington State,18
2024,12,Playoff Committee Rankings,BYU,6
2024,12,Playoff Committee Rankings,Army,24
2024,12,Playoff Committee Rankings,SMU,14
2024,12,Playoff Committee Rankings,Colorado,17
2024,12,Playoff Committee Rankings,Indiana,5
2024,12,Playoff Committee Rankings,Ohio State,2
2024,12,Playoff Committee Rankings,Penn State,4
2024,12,Playoff Committee Rankings,Oregon,1
2024,12,Playoff Committee Rankings,Georgia,12
2024,12,Playoff Committee Rankings,LSU,22
2024,12,Playoff Committee Rankings,Missouri,23
2024,12,Playoff Committee Rankings,Ole Miss,11
2024,12,Playoff Committee Rankings,Texas A&M,15
2024,12,Playoff Committee Rankings,Texas,3
2024,12,Playoff Committee Rankings,Alabama,10
2024,12,Playoff Committee Rankings,South Carolina,21
2024,12,Playoff Committee Rankings,Tennessee,7
2024,12,Playoff Committee Rankings,Notre Dame,8
2024,12,Playoff Committee Rankings,Tulane,25
2024,12,Playoff Committee Rankings,Louisville,19
2024,12,Playoff Committee Rankings,Clemson,20
2024,12,Playoff Committee Rankings,Miami,9
2024,12,Playoff Committee Rankings,Boise State,13
2024,12,AP Top 25,Kansas State,20
2024,12,AP Top 25,Washington State,19
2024,12,AP Top 25,BYU,7
2024,12,AP Top 25,Army,16
2024,12,AP Top 25,SMU,14
2024,12,AP Top 25,Colorado,18
2024,12,AP Top 25,Indiana,5
2024,12,AP Top 25,Ohio State,2
2024,12,AP Top 25,Penn State,4
2024,12,AP Top 25,Oregon,1
2024,12,AP Top 25,Georgia,11
2024,12,AP Top 25,LSU,21
2024,12,AP Top 25,Missouri,24
2024,12,AP Top 25,Ole Miss,10
2024,12,AP Top 25,Texas A&M,15
2024,12,AP Top 25,Texas,3
2024,12,AP Top 25,Alabama,9
2024,12,AP Top 25,South Carolina,23
2024,12,AP Top 25,Tennessee,6
2024,12,AP Top 25,Notre Dame,8
2024,12,AP Top 25,Tulane,25
2024,12,AP Top 25,Louisville,22
2024,12,AP Top 25,Clemson,17
2024,12,AP Top 25,Miami,12
2024,12,AP Top 25,Boise State,13
2024,11,Playoff Committee Rankings,Kansas State,19
2024,11,Playoff Committee Rankings,Iowa State,17
2024,11,Playoff Committee Rankings,Washington State,21
2024,11,Playoff Committee Rankings,BYU,9
2024,11,Playoff Committee Rankings,Army,25
2024,11,Playoff Committee Rankings,SMU,13
2024,11,Playoff Committee Rankings,Colorado,20
2024,11,Playoff Committee Rankings,Indiana,8
2024,11,Playoff Committee Rankings,Ohio State,2
2024,11,Playoff Committee Rankings,Penn State,6
2024,11,Playoff Committee Rankings,Oregon,1
2024,11,Playoff Committee Rankings,Georgia,3
2024,11,Playoff Committee Rankings,LSU,15
2024,11,Playoff Committee Rankings,Missouri,24
2024,11,Playoff Committee Rankings,Ole Miss,16
2024,11,Playoff Committee Rankings,Texas A&M,14
2024,11,Playoff Committee Rankings,Texas,5
2024,11,Playoff Committee Rankings,Alabama,11
2024,11,Playoff Committee Rankings,Tennessee,7
2024,11,Playoff Committee Rankings,Notre Dame,10
2024,11,Playoff Committee Rankings,Louisville,22
2024,11,Playoff Committee Rankings,Pittsburgh,18
2024,11,Playoff Committee Rankings,Clemson,23
2024,11,Playoff Committee Rankings,Miami,4
2024,11,Playoff Committee Rankings,Boise State,12
2024,11,AP Top 25,Kansas State,22
2024,11,AP Top 25,Iowa State,17
2024,11,AP Top 25,Washington State,20
2024,11,AP Top 25,BYU,9
2024,11,AP Top 25,Army,18
2024,11,AP Top 25,SMU,13
2024,11,AP Top 25,Colorado,21
2024,11,AP Top 25,Indiana,8
2024,11,AP Top 25,Ohio State,3
2024,11,AP Top 25,Penn State,6
2024,11,AP Top 25,Oregon,1
2024,11,AP Top 25,Georgia,2
2024,11,AP Top 25,LSU,14
2024,11,AP Top 25,Ole Miss,16
2024,11,AP Top 25,Vanderbilt,24
2024,11,AP Top 25,Texas A&M,15
2024,11,AP Top 25,Texas,5
2024,11,AP Top 25,Alabama,11
2024,11,AP Top 25,Tennessee,7
2024,11,AP Top 25,Notre Dame,10
2024,11,AP Top 25,Louisville,25
2024,11,AP Top 25,Pittsburgh,23
2024,11,AP Top 25,Clemson,19
2024,11,AP Top 25,Miami,4
2024,11,AP Top 25,Boise State,12
2024,1,AP Top 25,Oklahoma State,17
2024,1,AP Top 25,Kansas State,18
2024,1,AP Top 25,Kansas,22
2024,1,AP Top 25,Arizona,21
2024,1,AP Top 25,Utah,12
2024,1,AP Top 25,USC,23
2024,1,AP Top 25,Michigan,9
2024,1,AP Top 25,Ohio State,2
2024,1,AP Top 25,Penn State,8
2024,1,AP Top 25,Iowa,25
2024,1,AP Top 25,Oregon,3
2024,1,AP Top 25,Georgia,1
2024,1,AP Top 25,LSU,13
2024,1,AP Top 25,Missouri,11
2024,1,AP Top 25,Ole Miss,6
2024,1,AP Top 25,Oklahoma,16
2024,1,AP Top 25,Texas A&M,20
2024,1,AP Top 25,Texas,4
2024,1,AP Top 25,Alabama,5
2024,1,AP Top 25,Tennessee,15
2024,1,AP Top 25,Notre Dame,7
2024,1,AP Top 25,Florida State,10
2024,1,AP Top 25,NC State,24
2024,1,AP Top 25,Clemson,14
2024,1,AP Top 25,Miami,19
2024,3,AP Top 25,Oklahoma State,13
2024,3,AP Top 25,Kansas State,14
2024,3,AP Top 25,Iowa State,21
2024,3,AP Top 25,Arizona,20
2024,3,AP Top 25,Utah,12
2024,3,AP Top 25,USC,11
2024,3,AP Top 25,Michigan,17
2024,3,AP Top 25,Nebraska,23
2024,3,AP Top 25,Ohio State,3
2024,3,AP Top 25,Penn State,8
2024,3,AP Top 25,Oregon,9
2024,3,AP Top 25,Georgia,1
2024,3,AP Top 25,LSU,16
2024,3,AP Top 25,Missouri,6
2024,3,AP Top 25,Ole Miss,5
2024,3,AP Top 25,Oklahoma,15
2024,3,AP Top 25,Texas,2
2024,3,AP Top 25,Alabama,4
2024,3,AP Top 25,Tennessee,7
2024,3,AP Top 25,Northern Illinois,25
2024,3,AP Top 25,Notre Dame,18
2024,3,AP Top 25,Louisville,19
2024,3,AP Top 25,Boston College,24
2024,3,AP Top 25,Clemson,22
2024,3,AP Top 25,Miami,10
2024,14,Playoff Committee Rankings,Kansas State,24
2024,14,Playoff Committee Rankings,Iowa State,18
2024,14,Playoff Committee Rankings,BYU,19
2024,14,Playoff Committee Rankings,SMU,9
2024,14,Playoff Committee Rankings,Arizona State,16
2024,14,Playoff Committee Rankings,Colorado,25
2024,14,Playoff Committee Rankings,Indiana,10
2024,14,Playoff Committee Rankings,Ohio State,2
2024,14,Playoff Committee Rankings,Penn State,4
2024,14,Playoff Committee Rankings,Illinois,23
2024,14,Playoff Committee Rankings,Oregon,1
2024,14,Playoff Committee Rankings,Georgia,7
2024,14,Playoff Committee Rankings,Missouri,21
2024,14,Playoff Committee Rankings,Ole Miss,14
2024,14,Playoff Committee Rankings,Texas A&M,20
2024,14,Playoff Committee Rankings,Texas,3
2024,14,Playoff Committee Rankings,Alabama,13
2024,14,Playoff Committee Rankings,South Carolina,15
2024,14,Playoff Committee Rankings,Tennessee,8
2024,14,Playoff Committee Rankings,Notre Dame,5
2024,14,Playoff Committee Rankings,Tulane,17
2024,14,Playoff Committee Rankings,Clemson,12
2024,14,Playoff Committee Rankings,Miami,6
2024,14,Playoff Committee Rankings,Boise State,11
2024,14,Playoff Committee Rankings,UNLV,22
2024,14,AP Top 25,Iowa State,17
2024,14,AP Top 25,BYU,19
2024,14,AP Top 25,Army,25
2024,14,AP Top 25,SMU,9
2024,14,AP Top 25,Arizona State,14
2024,14,AP Top 25,Colorado,23
2024,14,AP Top 25,Indiana,10
2024,14,AP Top 25,Ohio State,2
2024,14,AP Top 25,Penn State,4
2024,14,AP Top 25,Illinois,22
2024,14,AP Top 25,Oregon,1
2024,14,AP Top 25,Georgia,6
2024,14,AP Top 25,Missouri,24
2024,14,AP Top 25,Ole Miss,15
2024,14,AP Top 25,Texas A&M,20
2024,14,AP Top 25,Texas,3
2024,14,AP Top 25,Alabama,13
2024,14,AP Top 25,South Carolina,16
2024,14,AP Top 25,Tennessee,7
2024,14,AP Top 25,Notre Dame,5
2024,14,AP Top 25,Tulane,18
2024,14,AP Top 25,Clemson,12
2024,14,AP Top 25,Miami,8
2024,14,AP Top 25,Boise State,11
2024,14,AP Top 25,UNLV,21
2024,10,AP Top 25,Kansas State,17
2024,10,AP Top 25,Iowa State,11
2024,10,AP Top 25,Washington State,22
2024,10,AP Top 25,BYU,9
2024,10,AP Top 25,Army,21
2024,10,AP Top 25,SMU,20
2024,10,AP Top 25,Colorado,23
2024,10,AP Top 25,Indiana,13
2024,10,AP Top 25,Ohio State,4
2024,10,AP Top 25,Penn State,3
2024,10,AP Top 25,Illinois,24
2024,10,AP Top 25,Oregon,1
2024,10,AP Top 25,Georgia,2
2024,10,AP Top 25,LSU,16
2024,10,AP Top 25,Missouri,25
2024,10,AP Top 25,Ole Miss,19
2024,10,AP Top 25,Texas A&M,10
2024,10,AP Top 25,Texas,6
2024,10,AP Top 25,Alabama,14
2024,10,AP Top 25,Tennessee,7
2024,10,AP Top 25,Notre Dame,8
2024,10,AP Top 25,Pittsburgh,18
2024,10,AP Top 25,Clemson,11
2024,10,AP Top 25,Miami,5
2024,10,AP Top 25,Boise State,15
2024,9,AP Top 25,Kansas State,16
2024,9,AP Top 25,Iowa State,10
2024,9,AP Top 25,BYU,11
2024,9,AP Top 25,Army,23
2024,9,AP Top 25,SMU,22
2024,9,AP Top 25,Indiana,13
2024,9,AP Top 25,Ohio State,4
2024,9,AP Top 25,Penn State,3
2024,9,AP Top 25,Illinois,20
2024,9,AP Top 25,Oregon,1
2024,9,AP Top 25,Georgia,2
2024,9,AP Top 25,LSU,8
2024,9,AP Top 25,Missouri,21
2024,9,AP Top 25,Ole Miss,18
2024,9,AP Top 25,Vanderbilt,25
2024,9,AP Top 25,Texas A&M,14
2024,9,AP Top 25,Texas,5
2024,9,AP Top 25,Alabama,15
2024,9,AP Top 25,Tennessee,7
2024,9,AP Top 25,Notre Dame,12
2024,9,AP Top 25,Navy,24
2024,9,AP Top 25,Pittsburgh,19
2024,9,AP Top 25,Clemson,9
2024,9,AP Top 25,Miami,6
2024,9,AP Top 25,Boise State,17
2024,8,AP Top 25,Kansas State,17
2024,8,AP Top 25,Iowa State,9
2024,8,AP Top 25,BYU,13
2024,8,AP Top 25,Army,23
2024,8,AP Top 25,SMU,21
2024,8,AP Top 25,Indiana,16
2024,8,AP Top 25,Michigan,24
2024,8,AP Top 25,Ohio State,4
2024,8,AP Top 25,Penn State,3
2024,8,AP Top 25,Illinois,22
2024,8,AP Top 25,Oregon,2
2024,8,AP Top 25,Georgia,5
2024,8,AP Top 25,LSU,8
2024,8,AP Top 25,Missouri,19
2024,8,AP Top 25,Ole Miss,18
2024,8,AP Top 25,Texas A&M,14
2024,8,AP Top 25,Texas,1
2024,8,AP Top 25,Alabama,7
2024,8,AP Top 25,Tennessee,11
2024,8,AP Top 25,Notre Dame,12
2024,8,AP Top 25,Navy,25
2024,8,AP Top 25,Pittsburgh,20
2024,8,AP Top 25,Clemson,10
2024,8,AP Top 25,Miami,6
2024,8,AP Top 25,Boise State,15
2024,7,AP Top 25,Kansas State,18
2024,7,AP Top 25,Iowa State,11
2024,7,AP Top 25,BYU,14
2024,7,AP Top 25,SMU,25
2024,7,AP Top 25,Utah,16
2024,7,AP Top 25,Indiana,18
2024,7,AP Top 25,Michigan,24
2024,7,AP Top 25,Ohio State,2
2024,7,AP Top 25,Penn State,4
2024,7,AP Top 25,Illinois,23
2024,7,AP Top 25,Oregon,3
2024,7,AP Top 25,Georgia,5
2024,7,AP Top 25,LSU,13
2024,7,AP Top 25,Missouri,21
2024,7,AP Top 25,Ole Miss,9
2024,7,AP Top 25,Oklahoma,18
2024,7,AP Top 25,Texas A&M,15
2024,7,AP Top 25,Texas,1
2024,7,AP Top 25,Alabama,7
2024,7,AP Top 25,Tennessee,8
2024,7,AP Top 25,Notre Dame,11
2024,7,AP Top 25,Pittsburgh,22
2024,7,AP Top 25,Clemson,10
2024,7,AP Top 25,Miami,6
2024,7,AP Top 25,Boise State,17
2024,6,AP Top 25,Kansas State,20
2024,6,AP Top 25,Iowa State,16
2024,6,AP Top 25,BYU,17
2024,6,AP Top 25,Utah,18
2024,6,AP Top 25,USC,11
2024,6,AP Top 25,Indiana,23
2024,6,AP Top 25,Michigan,10
2024,6,AP Top 25,Ohio State,3
2024,6,AP Top 25,Penn State,7
2024,6,AP Top 25,Illinois,24
2024,6,AP Top 25,Oregon,6
2024,6,AP Top 25,Georgia,5
2024,6,AP Top 25,LSU,13
2024,6,AP Top 25,Missouri,9
2024,6,AP Top 25,Ole Miss,12
2024,6,AP Top 25,Oklahoma,19
2024,6,AP Top 25,Texas A&M,25
2024,6,AP Top 25,Texas,2
2024,6,AP Top 25,Alabama,1
2024,6,AP Top 25,Tennessee,4
2024,6,AP Top 25,Notre Dame,14
2024,6,AP Top 25,Louisville,22
2024,6,AP Top 25,Clemson,15
