season,week,poll,team,rank
2017,15,AP Top 25,Georgia,3
2017,15,AP Top 25,Oklahoma State,17
2017,15,AP Top 25,TCU,13
2017,15,AP Top 25,Stanford,15
2017,15,AP Top 25,Washington,12
2017,15,AP Top 25,Washington State,21
2017,15,AP Top 25,USC,8
2017,15,AP Top 25,Auburn,7
2017,15,AP Top 25,LSU,16
2017,15,AP Top 25,Alabama,4
2017,15,AP Top 25,Mississippi State,24
2017,15,AP Top 25,Ohio State,5
2017,15,AP Top 25,Michigan State,18
2017,15,AP Top 25,Penn State,9
2017,15,AP Top 25,Wisconsin,6
2017,15,AP Top 25,Northwestern,20
2017,15,AP Top 25,Oklahoma,2
2017,15,AP Top 25,Notre Dame,14
2017,15,AP Top 25,South Florida,23
2017,15,AP Top 25,UCF,10
2017,15,AP Top 25,Memphis,19
2017,15,AP Top 25,Clemson,1
2017,15,AP Top 25,Virginia Tech,22
2017,15,AP Top 25,Miami,11
2017,15,AP Top 25,Boise State,25
2017,15,Playoff Committee Rankings,Georgia,3
2017,15,Playoff Committee Rankings,Oklahoma State,19
2017,15,Playoff Committee Rankings,TCU,15
2017,15,Playoff Committee Rankings,Stanford,13
2017,15,Playoff Committee Rankings,Washington,11
2017,15,Playoff Committee Rankings,Washington State,18
2017,15,Playoff Committee Rankings,USC,8
2017,15,Playoff Committee Rankings,Auburn,7
2017,15,Playoff Committee Rankings,LSU,17
2017,15,Playoff Committee Rankings,Alabama,4
2017,15,Playoff Committee Rankings,Mississippi State,23
2017,15,Playoff Committee Rankings,Ohio State,5
2017,15,Playoff Committee Rankings,Michigan State,16
2017,15,Playoff Committee Rankings,Penn State,9
2017,15,Playoff Committee Rankings,Wisconsin,6
2017,15,Playoff Committee Rankings,Northwestern,21
2017,15,Playoff Committee Rankings,Oklahoma,2
2017,15,Playoff Committee Rankings,Notre Dame,14
2017,15,Playoff Committee Rankings,UCF,12
2017,15,Playoff Committee Rankings,Memphis,20
2017,15,Playoff Committee Rankings,Clemson,1
2017,15,Playoff Committee Rankings,NC State,24
2017,15,Playoff Committee Rankings,Virginia Tech,22
2017,15,Playoff Committee Rankings,Miami,10
2017,15,Playoff Committee Rankings,Boise State,25
2017,14,AP Top 25,Georgia,6
2017,14,AP Top 25,Oklahoma State,18
2017,14,AP Top 25,TCU,10
2017,14,AP Top 25,Stanford,14
2017,14,AP Top 25,Washington,13
2017,14,AP Top 25,Washington State,21
2017,14,AP Top 25,USC,11
2017,14,AP Top 25,Auburn,4
2017,14,AP Top 25,LSU,17
2017,14,AP Top 25,Alabama,5
2017,14,AP Top 25,Mississippi State,24
2017,14,AP Top 25,Ohio State,8
2017,14,AP Top 25,Michigan State,19
2017,14,AP Top 25,Penn State,9
2017,14,AP Top 25,Wisconsin,3
2017,14,AP Top 25,Northwestern,20
2017,14,AP Top 25,Oklahoma,2
2017,14,AP Top 25,Notre Dame,15
2017,14,AP Top 25,South Florida,23
2017,14,AP Top 25,UCF,12
2017,14,AP Top 25,Memphis,16
2017,14,AP Top 25,Clemson,1
2017,14,AP Top 25,Virginia Tech,22
2017,14,AP Top 25,Miami,7
2017,14,AP Top 25,Fresno State,25
2017,14,Playoff Committee Rankings,Georgia,6
2017,14,Playoff Committee Rankings,Oklahoma State,19
2017,14,Playoff Committee Rankings,TCU,11
2017,14,Playoff Committee Rankings,Stanford,12
2017,14,Playoff Committee Rankings,Washington,13
2017,14,Playoff Committee Rankings,Washington State,18
2017,14,Playoff Committee Rankings,USC,10
2017,14,Playoff Committee Rankings,Auburn,2
2017,14,Playoff Committee Rankings,LSU,17
2017,14,Playoff Committee Rankings,Alabama,5
2017,14,Playoff Committee Rankings,Mississippi State,23
2017,14,Playoff Committee Rankings,Ohio State,8
2017,14,Playoff Committee Rankings,Michigan State,16
2017,14,Playoff Committee Rankings,Penn State,9
2017,14,Playoff Committee Rankings,Wisconsin,4
2017,14,Playoff Committee Rankings,Northwestern,21
2017,14,Playoff Committee Rankings,Oklahoma,3
2017,14,Playoff Committee Rankings,Notre Dame,15
2017,14,Playoff Committee Rankings,UCF,14
2017,14,Playoff Committee Rankings,Memphis,20
2017,14,Playoff Committee Rankings,Clemson,1
2017,14,Playoff Committee Rankings,NC State,24
2017,14,Playoff Committee Rankings,Virginia Tech,22
2017,14,Playoff Committee Rankings,Miami,7
2017,14,Playoff Committee Rankings,Fresno State,25
2017,13,AP Top 25,Georgia,7
2017,13,AP Top 25,Oklahoma State,18
2017,13,AP Top 25,TCU,10
2017,13,AP Top 25,Stanford,20
2017,13,AP Top 25,Washington,15
2017,13,AP Top 25,Washington State,14
2017,13,AP Top 25,USC,11
2017,13,AP Top 25,Auburn,6
2017,13,AP Top 25,LSU,19
2017,13,AP Top 25,Alabama,1
2017,13,AP Top 25,Mississippi State,16
2017,13,AP Top 25,Ohio State,8
2017,13,AP Top 25,Michigan State,21
2017,13,AP Top 25,Penn State,12
2017,13,AP Top 25,Wisconsin,5
2017,13,AP Top 25,Northwestern,23
2017,13,AP Top 25,Oklahoma,3
2017,13,AP Top 25,Notre Dame,9
2017,13,AP Top 25,South Florida,22
2017,13,AP Top 25,UCF,13
2017,13,AP Top 25,Memphis,17
2017,13,AP Top 25,Clemson,4
2017,13,AP Top 25,Virginia Tech,24
2017,13,AP Top 25,Miami,2
2017,13,AP Top 25,Boise State,25
2017,13,Playoff Committee Rankings,Georgia,7
2017,13,Playoff Committee Rankings,South Carolina,24
2017,13,Playoff Committee Rankings,Oklahoma State,19
2017,13,Playoff Committee Rankings,TCU,12
2017,13,Playoff Committee Rankings,Stanford,21
2017,13,Playoff Committee Rankings,Washington,17
2017,13,Playoff Committee Rankings,Washington State,13
2017,13,Playoff Committee Rankings,USC,11
