season,week,poll,team,rank
2016,5,AP Top 25,Georgia,25
2016,5,AP Top 25,Florida,23
2016,5,AP Top 25,Tennessee,11
2016,5,AP Top 25,Baylor,13
2016,5,AP Top 25,TCU,21
2016,5,AP Top 25,Stanford,7
2016,5,AP Top 25,Washington,10
2016,5,AP Top 25,Utah,18
2016,5,AP Top 25,Alabama,1
2016,5,AP Top 25,Ole Miss,16
2016,5,AP Top 25,Arkansas,20
2016,5,AP Top 25,Texas A&M,9
2016,5,AP Top 25,Ohio State,2
2016,5,AP Top 25,Michigan State,17
2016,5,AP Top 25,Michigan,4
2016,5,AP Top 25,Wisconsin,8
2016,5,AP Top 25,Nebraska,15
2016,5,AP Top 25,Texas,22
2016,5,AP Top 25,Houston,6
2016,5,AP Top 25,Florida State,12
2016,5,AP Top 25,Clemson,5
2016,5,AP Top 25,Miami,14
2016,5,AP Top 25,Louisville,3
2016,5,AP Top 25,Boise State,24
2016,5,AP Top 25,San Diego State,19
2016,4,AP Top 25,Georgia,12
2016,4,AP Top 25,Florida,19
2016,4,AP Top 25,Tennessee,14
2016,4,AP Top 25,Baylor,16
2016,4,AP Top 25,Stanford,7
2016,4,AP Top 25,Washington,9
2016,4,AP Top 25,LSU,18
2016,4,AP Top 25,Utah,24
2016,4,AP Top 25,Alabama,1
2016,4,AP Top 25,Ole Miss,23
2016,4,AP Top 25,Arkansas,17
2016,4,AP Top 25,Texas A&M,10
2016,4,AP Top 25,Ohio State,2
2016,4,AP Top 25,Michigan State,8
2016,4,AP Top 25,Michigan,4
2016,4,AP Top 25,Wisconsin,11
2016,4,AP Top 25,Nebraska,20
2016,4,AP Top 25,Texas,21
2016,4,AP Top 25,Oklahoma,25
2016,4,AP Top 25,Houston,6
2016,4,AP Top 25,Florida State,13
2016,4,AP Top 25,Clemson,5
2016,4,AP Top 25,Miami,15
2016,4,AP Top 25,Louisville,3
2016,4,AP Top 25,San Diego State,22
2016,3,AP Top 25,Georgia,16
2016,3,AP Top 25,Florida,23
2016,3,AP Top 25,Tennessee,15
2016,3,AP Top 25,Baylor,21
2016,3,AP Top 25,Oregon,22
2016,3,AP Top 25,Stanford,7
2016,3,AP Top 25,Washington,8
2016,3,AP Top 25,LSU,20
2016,3,AP Top 25,Alabama,1
2016,3,AP Top 25,Ole Miss,19
2016,3,AP Top 25,Arkansas,24
2016,3,AP Top 25,Texas A&M,17
2016,3,AP Top 25,Ohio State,3
2016,3,AP Top 25,Michigan State,12
2016,3,AP Top 25,Michigan,4
2016,3,AP Top 25,Wisconsin,9
2016,3,AP Top 25,Iowa,13
2016,3,AP Top 25,Texas,11
2016,3,AP Top 25,Oklahoma,14
2016,3,AP Top 25,Notre Dame,18
2016,3,AP Top 25,Houston,6
2016,3,AP Top 25,Florida State,2
2016,3,AP Top 25,Clemson,5
2016,3,AP Top 25,Miami,25
2016,3,AP Top 25,Louisville,10
2016,2,AP Top 25,Georgia,9
2016,2,AP Top 25,Tennessee,17
2016,2,AP Top 25,Oklahoma State,22
2016,2,AP Top 25,Baylor,23
2016,2,AP Top 25,TCU,15
2016,2,AP Top 25,Oregon,24
2016,2,AP Top 25,Stanford,7
2016,2,AP Top 25,Washington,8
2016,2,AP Top 25,LSU,21
2016,2,AP Top 25,Alabama,1
