season,team,sp_overall,sp_offense,sp_defense,sp_st
2020,Ohio State,28.4,45.3,16.7,0.0
2020,Alabama,28.3,46.8,18.6,0.0
2020,Wisconsin,26.5,38.7,12.2,0.0
2020,Clemson,26.1,42.6,16.7,0.0
2020,Notre Dame,21.0,38.3,17.3,0.0
2020,Florida,19.8,43.3,23.9,0.0
2020,BYU,19.2,39.2,20.3,0.0
2020,Georgia,19.1,30.8,12.1,0.0
2020,Cincinnati,18.6,34.5,15.9,0.0
2020,Oregon,18.1,35.1,16.9,0.0
2020,North Carolina,18.0,43.7,25.6,0.0
2020,Oklahoma,17.8,43.0,25.2,0.0
2020,Iowa,16.3,29.7,13.5,0.0
2020,Texas A&M,16.2,37.7,21.5,0.0
2020,Oklahoma State,14.2,30.7,16.7,0.0
2020,Penn State,13.9,35.0,21.0,0.0
2020,Virginia Tech,13.7,38.0,24.4,0.0
2020,UCF,13.6,39.4,25.7,0.0
2020,Iowa State,13.3,34.5,21.1,0.0
2020,Miami,12.8,32.6,20.2,0.0
2020,Auburn,12.6,33.0,20.7,0.0
2020,USC,12.4,38.0,25.5,0.0
2020,Utah,11.9,36.1,24.3,0.0
2020,Washington,11.7,30.9,19.1,0.0
2020,Arizona State,11.4,30.2,18.9,0.0
2020,Indiana,11.2,33.6,22.6,0.0
2020,Michigan,10.7,33.0,22.2,0.0
2020,App State,10.3,33.0,22.6,0.0
2020,Texas,9.7,34.8,25.2,0.0
2020,Marshall,9.5,28.6,19.0,0.0
2020,SMU,9.2,36.4,27.3,0.0
2020,Northwestern,9.0,24.0,15.2,0.0
2020,West Virginia,8.5,27.9,19.4,0.0
2020,Louisiana,8.1,33.8,25.6,0.0
2020,Nebraska,7.7,33.7,25.9,0.0
2020,Boise State,6.7,33.1,26.4,0.0
2020,Coastal Carolina,6.6,33.7,27.3,0.0
2020,Louisville,6.5,37.7,31.1,0.0
2020,Liberty,6.5,34.2,27.6,0.0
2020,UAB,6.3,24.7,18.7,0.0
2020,LSU,6.0,33.8,28.3,0.0
2020,Pittsburgh,6.0,24.7,18.9,0.0
2020,Purdue,5.9,32.6,26.8,0.0
2020,Memphis,5.7,34.8,29.4,0.0
2020,Tulsa,5.6,29.5,23.5,0.0
2020,San Diego State,5.3,20.2,15.0,0.0
2020,Ole Miss,4.8,38.1,33.2,0.0
2020,Minnesota,4.7,35.8,30.7,0.0
2020,Tulane,4.2,33.2,29.1,0.0
2020,Washington State,4.2,37.8,33.7,0.0
2020,Houston,3.3,32.2,29.0,0.0
2020,Army,2.7,27.8,25.3,0.0
2020,California,2.4,30.6,28.2,0.0
2020,Troy,2.3,28.4,25.8,0.0
2020,Kentucky,2.2,25.9,24.1,0.0
2020,Kansas State,2.0,26.7,24.7,0.0
2020,Nevada,1.9,27.5,25.6,0.0
