season,week,poll,team,rank
2025,1,AP Top 25,Texas,1
2025,1,AP Top 25,Penn State,2
2025,1,AP Top 25,Ohio State,3
2025,1,AP Top 25,Clemson,4
2025,1,AP Top 25,Georgia,5
2025,1,AP Top 25,Notre Dame,6
2025,1,AP Top 25,Oregon,7
2025,1,AP Top 25,Alabama,8
2025,1,AP Top 25,LSU,9
2025,1,AP Top 25,Miami,10
2025,1,AP Top 25,Arizona State,11
2025,1,AP Top 25,Illinois,12
2025,1,AP Top 25,South Carolina,13
2025,1,AP Top 25,Michigan,14
2025,1,AP Top 25,Florida,15
2025,1,AP Top 25,SMU,16
2025,1,AP Top 25,Kansas State,17
2025,1,AP Top 25,Oklahoma,18
2025,1,AP Top 25,Texas A&M,19
2025,1,AP Top 25,Indiana,20
2025,1,AP Top 25,Ole Miss,21
2025,1,AP Top 25,Iowa State,22
2025,1,AP Top 25,Texas Tech,23
2025,1,AP Top 25,Tennessee,24
2025,1,AP Top 25,Boise State,25
2025,2,AP Top 25,Ohio State,1
2025,2,AP Top 25,Penn State,2
2025,2,AP Top 25,LSU,3
2025,2,AP Top 25,Georgia,4
2025,2,AP Top 25,Miami,5
2025,2,AP Top 25,Oregon,6
2025,2,AP Top 25,Texas,7
2025,2,AP Top 25,Clemson,8
2025,2,AP Top 25,Notre Dame,9
2025,2,AP Top 25,South Carolina,10
2025,2,AP Top 25,Illinois,11
2025,2,AP Top 25,Arizona State,12
2025,2,AP Top 25,Florida,13
2025,2,AP Top 25,Florida State,14
2025,2,AP Top 25,Michigan,15
2025,2,AP Top 25,Iowa State,16
2025,2,AP Top 25,SMU,17
2025,2,AP Top 25,Oklahoma,18
2025,2,AP Top 25,Texas A&M,19
2025,2,AP Top 25,Ole Miss,20
2025,2,AP Top 25,Alabama,21
2025,2,AP Top 25,Tennessee,22
2025,2,AP Top 25,Indiana,23
2025,2,AP Top 25,Texas Tech,24
2025,2,AP Top 25,Utah,25
2025,3,AP Top 25,Ohio State,1
2025,3,AP Top 25,Penn State,2
2025,3,AP Top 25,LSU,3
2025,3,AP Top 25,Oregon,4
2025,3,AP Top 25,Miami,5
2025,3,AP Top 25,Georgia,6
2025,3,AP Top 25,Texas,7
2025,3,AP Top 25,Notre Dame,8
2025,3,AP Top 25,Illinois,9
2025,3,AP Top 25,Florida State,10
2025,3,AP Top 25,South Carolina,11
2025,3,AP Top 25,Clemson,12
2025,3,AP Top 25,Oklahoma,13
2025,3,AP Top 25,Iowa State,14
2025,3,AP Top 25,Tennessee,15
2025,3,AP Top 25,Texas A&M,16
2025,3,AP Top 25,Ole Miss,17
2025,3,AP Top 25,South Florida,18
2025,3,AP Top 25,Alabama,19
2025,3,AP Top 25,Utah,20
2025,3,AP Top 25,Texas Tech,21
2025,3,AP Top 25,Indiana,22
2025,3,AP Top 25,Michigan,23
2025,3,AP Top 25,Auburn,24
2025,3,AP Top 25,Missouri,25
2025,4,AP Top 25,Ohio State,1
2025,4,AP Top 25,Penn State,2
2025,4,AP Top 25,LSU,3
2025,4,AP Top 25,Miami,4
2025,4,AP Top 25,Georgia,5
2025,4,AP Top 25,Oregon,6
2025,4,AP Top 25,Florida State,7
2025,4,AP Top 25,Texas,8
2025,4,AP Top 25,Illinois,9
2025,4,AP Top 25,Texas A&M,10
2025,4,AP Top 25,Oklahoma,11
2025,4,AP Top 25,Iowa State,12
2025,4,AP Top 25,Ole Miss,13
2025,4,AP Top 25,Alabama,14
2025,4,AP Top 25,Tennessee,15
2025,4,AP Top 25,Utah,16
2025,4,AP Top 25,Texas Tech,17
2025,4,AP Top 25,Georgia Tech,18
2025,4,AP Top 25,Indiana,19
2025,4,AP Top 25,Vanderbilt,20
2025,4,AP Top 25,Michigan,21
2025,4,AP Top 25,Auburn,22
2025,4,AP Top 25,Missouri,23
2025,4,AP Top 25,Notre Dame,24
2025,4,AP Top 25,USC,25
2025,5,AP Top 25,Ohio State,1
2025,5,AP Top 25,Miami,2
2025,5,AP Top 25,Penn State,3
2025,5,AP Top 25,LSU,4
2025,5,AP Top 25,Georgia,5
2025,5,AP Top 25,Oregon,6
2025,5,AP Top 25,Oklahoma,7
2025,5,AP Top 25,Florida State,8
2025,5,AP Top 25,Texas A&M,9
2025,5,AP Top 25,Texas,10
2025,5,AP Top 25,Indiana,11
2025,5,AP Top 25,Texas Tech,12
2025,5,AP Top 25,Ole Miss,13
2025,5,AP Top 25,Iowa State,14
2025,5,AP Top 25,Tennessee,15
2025,5,AP Top 25,Georgia Tech,16
2025,5,AP Top 25,Alabama,17
2025,5,AP Top 25,Vanderbilt,18
2025,5,AP Top 25,Michigan,19
2025,5,AP Top 25,Missouri,20
2025,5,AP Top 25,USC,21
2025,5,AP Top 25,Notre Dame,22
2025,5,AP Top 25,Illinois,23
2025,5,AP Top 25,TCU,24
2025,5,AP Top 25,BYU,25
2025,6,AP Top 25,Ohio State,1
2025,6,AP Top 25,Oregon,2
2025,6,AP Top 25,Miami,3
2025,6,AP Top 25,Ole Miss,4
2025,6,AP Top 25,Oklahoma,5
