season,week,poll,team,rank
2021,9,AP Top 25,Georgia,1
2021,9,AP Top 25,Kentucky,12
2021,9,AP Top 25,Oklahoma State,15
2021,9,AP Top 25,Baylor,16
2021,9,AP Top 25,Iowa State,22
2021,9,AP Top 25,Oregon,7
2021,9,AP Top 25,BYU,25
2021,9,AP Top 25,Auburn,18
2021,9,AP Top 25,UTSA,23
2021,9,AP Top 25,Alabama,3
2021,9,AP Top 25,Ole Miss,10
2021,9,AP Top 25,Texas A&M,14
2021,9,AP Top 25,Ohio State,5
2021,9,AP Top 25,Michigan State,8
2021,9,AP Top 25,Michigan,6
2021,9,AP Top 25,Penn State,20
2021,9,AP Top 25,Iowa,9
2021,9,AP Top 25,Oklahoma,4
2021,9,AP Top 25,Notre Dame,11
2021,9,AP Top 25,Coastal Carolina,24
2021,9,AP Top 25,Cincinnati,2
2021,9,AP Top 25,SMU,19
2021,9,AP Top 25,Wake Forest,13
2021,9,AP Top 25,Pittsburgh,17
2021,9,AP Top 25,San Diego State,21
2021,8,AP Top 25,Georgia,1
2021,8,AP Top 25,Kentucky,15
2021,8,AP Top 25,Oklahoma State,8
2021,8,AP Top 25,Baylor,20
2021,8,AP Top 25,Oregon,10
2021,8,AP Top 25,Auburn,19
2021,8,AP Top 25,UTSA,24
2021,8,AP Top 25,Alabama,4
2021,8,AP Top 25,Ole Miss,12
2021,8,AP Top 25,Texas A&M,17
2021,8,AP Top 25,Ohio State,5
2021,8,AP Top 25,Michigan State,9
2021,8,AP Top 25,Michigan,6
2021,8,AP Top 25,Penn State,7
2021,8,AP Top 25,Iowa,11
2021,8,AP Top 25,Purdue,25
2021,8,AP Top 25,Oklahoma,3
2021,8,AP Top 25,Notre Dame,13
2021,8,AP Top 25,Coastal Carolina,14
2021,8,AP Top 25,Cincinnati,2
2021,8,AP Top 25,SMU,21
2021,8,AP Top 25,NC State,18
2021,8,AP Top 25,Wake Forest,16
2021,8,AP Top 25,Pittsburgh,23
2021,8,AP Top 25,San Diego State,22
2021,7,AP Top 25,Georgia,1
2021,7,AP Top 25,Florida,20
2021,7,AP Top 25,Kentucky,11
2021,7,AP Top 25,Oklahoma State,12
2021,7,AP Top 25,Oregon,9
2021,7,AP Top 25,BYU,19
2021,7,AP Top 25,Arizona State,18
2021,7,AP Top 25,Alabama,5
2021,7,AP Top 25,Ole Miss,13
2021,7,AP Top 25,Arkansas,17
2021,7,AP Top 25,Texas A&M,21
2021,7,AP Top 25,Ohio State,6
2021,7,AP Top 25,Michigan State,10
2021,7,AP Top 25,Michigan,8
2021,7,AP Top 25,Penn State,7
2021,7,AP Top 25,Iowa,2
2021,7,AP Top 25,Texas,25
2021,7,AP Top 25,Oklahoma,4
2021,7,AP Top 25,Notre Dame,14
2021,7,AP Top 25,Coastal Carolina,15
2021,7,AP Top 25,Cincinnati,3
2021,7,AP Top 25,SMU,23
2021,7,AP Top 25,NC State,22
2021,7,AP Top 25,Wake Forest,16
2021,7,AP Top 25,San Diego State,24
2021,6,AP Top 25,Georgia,2
2021,6,AP Top 25,Florida,20
2021,6,AP Top 25,Kentucky,16
2021,6,AP Top 25,Oklahoma State,12
2021,6,AP Top 25,Oregon,8
2021,6,AP Top 25,BYU,10
2021,6,AP Top 25,Auburn,18
2021,6,AP Top 25,Arizona State,22
2021,6,AP Top 25,Alabama,1
2021,6,AP Top 25,Ole Miss,17
2021,6,AP Top 25,Arkansas,13
2021,6,AP Top 25,Ohio State,7
2021,6,AP Top 25,Michigan State,11
2021,6,AP Top 25,Michigan,9
2021,6,AP Top 25,Penn State,4
2021,6,AP Top 25,Iowa,3
2021,6,AP Top 25,Texas,21
2021,6,AP Top 25,Oklahoma,6
2021,6,AP Top 25,Notre Dame,14
2021,6,AP Top 25,Coastal Carolina,15
2021,6,AP Top 25,Cincinnati,5
2021,6,AP Top 25,SMU,24
2021,6,AP Top 25,NC State,23
2021,6,AP Top 25,Wake Forest,19
2021,6,AP Top 25,San Diego State,25
2021,5,AP Top 25,Georgia,2
2021,5,AP Top 25,Florida,10
2021,5,AP Top 25,Oklahoma State,19
2021,5,AP Top 25,Baylor,21
2021,5,AP Top 25,Oregon,3
2021,5,AP Top 25,BYU,13
2021,5,AP Top 25,Auburn,22
2021,5,AP Top 25,UCLA,20
2021,5,AP Top 25,Alabama,1
2021,5,AP Top 25,Ole Miss,12
2021,5,AP Top 25,Arkansas,8
2021,5,AP Top 25,Texas A&M,15
2021,5,AP Top 25,Ohio State,11
2021,5,AP Top 25,Michigan State,17
2021,5,AP Top 25,Michigan,14
2021,5,AP Top 25,Penn State,4
2021,5,AP Top 25,Iowa,5
2021,5,AP Top 25,Oklahoma,6
2021,5,AP Top 25,Notre Dame,9
2021,5,AP Top 25,Coastal Carolina,16
2021,5,AP Top 25,Cincinnati,7
2021,5,AP Top 25,Clemson,25
2021,5,AP Top 25,NC State,23
2021,5,AP Top 25,Wake Forest,24
2021,5,AP Top 25,Fresno State,18
2021,4,AP Top 25,Georgia,2
2021,4,AP Top 25,Florida,11
2021,4,AP Top 25,Kansas State,25
2021,4,AP Top 25,Iowa State,14
2021,4,AP Top 25,Oregon,3
2021,4,AP Top 25,BYU,15
2021,4,AP Top 25,Auburn,23
2021,4,AP Top 25,UCLA,24
2021,4,AP Top 25,Alabama,1
2021,4,AP Top 25,Ole Miss,13
2021,4,AP Top 25,Arkansas,16
2021,4,AP Top 25,Texas A&M,7
2021,4,AP Top 25,Ohio State,10
2021,4,AP Top 25,Michigan State,20
2021,4,AP Top 25,Michigan,19
2021,4,AP Top 25,Penn State,6
2021,4,AP Top 25,Wisconsin,18
2021,4,AP Top 25,Iowa,5
2021,4,AP Top 25,Oklahoma,4
2021,4,AP Top 25,Notre Dame,12
2021,4,AP Top 25,Coastal Carolina,17
2021,4,AP Top 25,Cincinnati,8
