season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2021,1,Air Force,Lafayette,0.37,0.4,0.37,0.0
2021,1,Akron,Auburn,0.19,0.33,0.07,0.78
2021,1,Alabama,Miami,0.34,0.64,0.02,0.01
2021,1,App State,East Carolina,0.35,0.47,0.26,0.2
2021,1,Arizona,BYU,0.11,0.04,0.22,0.25
2021,1,Arizona State,Southern Utah,0.62,0.59,0.64,0.0
2021,1,Arkansas,Rice,0.24,0.03,0.43,-0.09
2021,1,Arkansas State,Central Arkansas,0.23,0.41,0.04,0.0
2021,1,Army,Georgia State,0.39,2.15,0.25,0.17
2021,1,Auburn,Akron,0.78,0.74,0.81,0.19
2021,1,Ball State,Western Illinois,0.22,0.26,0.19,0.0
2021,1,Baylor,Texas State,0.27,0.11,0.36,0.09
2021,1,Boise State,UCF,0.13,0.35,-0.21,0.22
2021,1,Boston College,Colgate,0.56,1.0,0.18,0.0
2021,1,Bowling Green,Tennessee,-0.03,0.01,-0.11,0.19
2021,1,Buffalo,Wagner,0.49,0.61,0.56,0.0
2021,1,BYU,Arizona,0.25,0.48,0.09,0.11
2021,1,California,Nevada,0.22,0.16,0.33,0.19
2021,1,Central Michigan,Missouri,0.23,0.18,0.52,0.13
2021,1,Charlotte,Duke,0.34,0.79,-0.01,0.46
2021,1,Cincinnati,Miami (OH),0.51,0.45,0.58,-0.14
2021,1,Clemson,Georgia,-0.28,-0.28,-0.3,-0.02
2021,1,Coastal Carolina,The Citadel,0.8,1.01,0.7,0.0
2021,1,Colorado,Northern Colorado,0.38,0.12,0.48,0.0
2021,1,Colorado State,South Dakota State,0.2,0.37,0.14,0.0
2021,1,Duke,Charlotte,0.46,0.28,0.59,0.34
2021,1,East Carolina,App State,0.2,0.2,0.18,0.35
2021,1,Eastern Michigan,Saint Francis,0.2,0.14,0.27,0.0
2021,1,Florida,Florida Atlantic,0.32,0.01,0.67,0.13
2021,1,Florida Atlantic,Florida,0.13,0.16,0.1,0.32
2021,1,Florida International,Long Island University,1.37,1.37,0.0,0.0
2021,1,Florida State,Notre Dame,0.29,0.27,0.3,0.23
2021,1,Fresno State,UConn,0.29,0.48,0.09,-0.4
2021,1,Fresno State,UConn,0.29,0.48,0.09,0.02
2021,1,Fresno State,Oregon,0.2,0.33,-0.01,0.11
2021,1,Georgia,Clemson,-0.02,0.04,-0.09,-0.28
2021,1,Georgia Southern,Gardner-Webb,0.22,0.34,0.27,0.0
2021,1,Georgia State,Army,0.17,0.37,0.0,0.39
