id,season,week,season_type,start_date,home_team,away_team,home_conference,away_conference,home_points,away_points,neutral_site,conference_game,venue
401525434,2023,1,regular,2023-08-26 18:30:00,Notre Dame,Navy,FBS Independents,American Athletic,42.0,3.0,True,False,Aviva Stadium
401540199,2023,1,regular,2023-08-26 19:30:00,Mercer,North Alabama,Southern,UAC,17.0,7.0,True,False,Cramton Bowl
401520145,2023,1,regular,2023-08-26 21:30:00,Jacksonville State,UTEP,Conference USA,Conference USA,17.0,14.0,False,True,AmFirst Stadium
401540628,2023,1,regular,2023-08-26 23:00:00,UAlbany,Fordham,Coastal Athletic,Patriot,34.0,13.0,False,False,Bob Ford Field
401532392,2023,1,regular,2023-08-26 23:00:00,San Diego State,Ohio,Mountain West,Mid-American,20.0,13.0,False,False,Snapdragon Stadium
401525450,2023,1,regular,2023-08-26 23:00:00,New Mexico State,Massachusetts,Conference USA,FBS Independents,30.0,41.0,False,False,Aggie Memorial Stadium
401520147,2023,1,regular,2023-08-26 23:30:00,Vanderbilt,Hawai'i,SEC,Mountain West,35.0,28.0,False,False,FirstBank Stadium
401539999,2023,1,regular,2023-08-26 23:30:00,Jackson State,South Carolina State,SWAC,MEAC,37.0,7.0,True,False,Center Parc Stadium
401523986,2023,1,regular,2023-08-27 00:00:00,USC,San José State,Pac-12,Mountain West,56.0,28.0,False,False,Los Angeles Memorial Coliseum
401520146,2023,1,regular,2023-08-27 01:00:00,Louisiana Tech,Florida International,Conference USA,Conference USA,22.0,17.0,False,True,Joe Aillet Stadium
401540288,2023,1,regular,2023-08-31 04:00:00,East Texas A&M,UC Davis,Southland,Big Sky,10.0,48.0,False,False,Memorial Stadium (Commerce TX)
401550265,2023,1,regular,2023-08-31 04:00:00,Hiram,Heidelberg,North Coast,Ohio,14.0,68.0,False,False,Charles A. Henry Field
401540527,2023,1,regular,2023-08-31 04:00:00,Morehead State,West Virginia State,Pioneer,Mountain East,37.0,35.0,False,False,Jayne Stadium
401540607,2023,1,regular,2023-08-31 04:00:00,Kennesaw State,Tusculum,FCS Independents,South Atlantic,38.0,7.0,False,False,Fifth Third Stadium
401540244,2023,1,regular,2023-08-31 04:00:00,Lamar,Idaho,Southland,Big Sky,17.0,42.0,False,False,Provost Umphrey Stadium
401545743,2023,1,regular,2023-08-31 04:00:00,New Haven,Frostburg State,Northeast 10,Mountain East,24.0,27.0,False,False,Ralph F. DellaCamera Stadium
401553950,2023,1,regular,2023-08-31 18:00:00,Northwood,Glenville State,Great Midwest Athletic,Mountain East,9.0,44.0,False,False,Hantz Stadium
401545860,2023,1,regular,2023-08-31 22:00:00,Alderson-Broaddus,California (PA),Mountain East,Pennsylvania State Athletic,0.0,0.0,False,False,Multi-Sport Performance Stadium
401544917,2023,1,regular,2023-08-31 22:00:00,Wingate,Albany State,South Atlantic,SIAC,30.0,7.0,False,False,Irwin Belk Stadium
401540802,2023,1,regular,2023-08-31 22:00:00,Saginaw Valley State,Winona State,GLIAC,Northern Sun,34.0,24.0,False,False,Harvey Randall Wickes Memorial Stadium
401549697,2023,1,regular,2023-08-31 22:00:00,Keiser University,Mississippi College,,Gulf South,14.0,17.0,True,False,Keiser Multi-Purpose Field
