season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2024,1,Air Force,Merrimack,0.04,0.06,0.04,0.0
2024,1,Akron,Ohio State,-0.27,-0.35,-0.19,0.37
2024,1,Alabama,Western Kentucky,0.67,1.26,0.45,-0.26
2024,1,App State,East Tennessee State,0.45,0.48,0.42,0.0
2024,1,Arizona,New Mexico,0.64,0.89,0.36,0.16
2024,1,Arizona,New Mexico,0.64,0.89,0.36,0.28
2024,1,Arizona State,Wyoming,0.38,0.49,0.32,-0.33
2024,1,Arkansas,Arkansas-Pine Bluff,0.79,0.73,0.85,0.0
2024,1,Arkansas State,Central Arkansas,0.14,0.07,0.22,0.0
2024,1,Army,Lehigh,0.56,0.22,0.62,0.0
2024,1,Auburn,Alabama A&M,0.89,1.13,0.53,0.0
2024,1,Baylor,Tarleton State,0.15,0.24,0.09,0.0
2024,1,Boise State,Georgia Southern,0.69,0.54,0.83,0.31
2024,1,Boston College,Florida State,0.24,0.39,0.19,0.06
2024,1,Boston College,Florida State,0.24,0.39,0.19,0.14
2024,1,Bowling Green,Fordham,0.61,0.41,0.75,0.0
2024,1,Buffalo,Lafayette,0.26,0.51,0.13,0.0
2024,1,BYU,Southern Illinois,0.37,0.63,0.2,0.0
2024,1,California,UC Davis,-0.16,0.09,-0.45,0.0
2024,1,Central Michigan,Central Connecticut,0.47,0.68,0.19,0.0
2024,1,Charlotte,James Madison,0.02,0.02,0.02,0.15
2024,1,Cincinnati,Towson,0.57,0.81,0.33,0.0
2024,1,Clemson,Georgia,-0.13,-0.14,-0.11,0.38
2024,1,Coastal Carolina,Jacksonville State,0.33,0.8,0.16,0.08
2024,1,Colorado,North Dakota State,0.42,0.68,0.01,0.0
2024,1,Colorado State,Texas,-0.11,-0.18,-0.06,0.4
2024,1,Duke,Elon,0.12,0.36,-0.26,0.0
2024,1,East Carolina,Norfolk State,0.14,0.32,-0.07,0.0
2024,1,Eastern Michigan,Massachusetts,0.2,0.43,0.0,0.15
2024,1,Florida,Miami,-0.05,-0.31,0.24,0.42
2024,1,Florida Atlantic,Michigan State,-0.14,-0.24,-0.01,-0.2
2024,1,Florida International,Indiana,-0.05,0.02,-0.13,0.34
2024,1,Florida State,Boston College,0.06,0.08,-0.02,0.24
2024,1,Florida State,Georgia Tech,0.14,0.36,-0.06,0.39
2024,1,Florida State,Georgia Tech,0.14,0.36,-0.06,0.49
2024,1,Fresno State,Michigan,-0.19,-0.09,-0.39,0.07
2024,1,Georgia,Clemson,0.38,0.45,0.29,-0.13
2024,1,Georgia Southern,Boise State,0.31,0.28,0.36,0.69
2024,1,Georgia State,Georgia Tech,0.09,0.02,0.16,0.39
2024,1,Georgia State,Georgia Tech,0.09,0.02,0.16,0.49
2024,1,Georgia Tech,Florida State,0.39,0.72,0.25,0.06
2024,1,Georgia Tech,Florida State,0.39,0.72,0.25,0.14
2024,1,Georgia Tech,Georgia State,0.49,0.54,0.45,0.09
2024,1,Hawai'i,Delaware State,0.18,0.16,0.21,0.0
2024,1,Hawai'i,UCLA,-0.06,-0.01,-0.14,0.02
2024,1,Houston,UNLV,-0.14,-0.19,-0.02,-0.03
2024,1,Illinois,Eastern Illinois,0.42,0.74,0.2,0.0
2024,1,Indiana,Florida International,0.34,0.39,0.3,-0.05
2024,1,Iowa,Illinois State,0.31,0.68,0.04,0.0
2024,1,Iowa State,North Dakota,0.35,0.55,0.11,0.0
2024,1,Jacksonville State,Coastal Carolina,0.08,0.27,-0.11,0.33
2024,1,James Madison,Charlotte,0.15,0.35,0.06,0.02
2024,1,Kansas,Lindenwood,0.52,0.58,0.49,0.0
2024,1,Kansas State,UT Martin,0.37,-0.06,0.72,0.0
2024,1,Kennesaw State,UTSA,-0.09,0.05,-0.21,0.23
2024,1,Kent State,Pittsburgh,-0.03,0.2,-0.25,0.3
2024,1,Kentucky,Southern Miss,0.36,0.45,0.29,-0.12
2024,1,Liberty,Campbell,0.37,0.59,0.25,0.0
2024,1,Louisiana,Grambling,0.3,0.4,0.16,0.0
2024,1,Louisiana Tech,Nicholls,-0.09,0.12,-0.29,0.0
2024,1,Louisville,Austin Peay,0.49,0.29,0.77,0.0
2024,1,LSU,USC,0.24,0.46,-0.08,0.32
2024,1,Marshall,Stony Brook,0.45,0.62,0.3,0.0
2024,1,Maryland,UConn,0.39,0.69,0.12,-0.07
2024,1,Massachusetts,Eastern Michigan,0.15,-0.04,0.37,0.2
2024,1,Memphis,North Alabama,0.35,0.54,0.11,0.0
2024,1,Miami,Florida,0.42,0.6,0.21,-0.05
2024,1,Miami (OH),Northwestern,-0.04,0.01,-0.15,0.02
2024,1,Michigan,Fresno State,0.07,-0.03,0.15,-0.19
2024,1,Michigan State,Florida Atlantic,-0.2,-0.25,-0.18,-0.14
2024,1,Middle Tennessee,Tennessee Tech,0.17,0.29,0.12,0.0
2024,1,Minnesota,North Carolina,0.13,0.1,0.15,-0.03
2024,1,Mississippi State,Eastern Kentucky,0.45,0.52,0.4,0.0
2024,1,Missouri,Murray State,0.32,0.35,0.28,0.0
2024,1,Navy,Bucknell,0.35,0.67,0.24,0.0
2024,1,NC State,Western Carolina,0.41,0.48,0.32,0.0
2024,1,Nebraska,UTEP,0.22,0.28,0.16,0.19
2024,1,Nevada,SMU,0.03,0.06,0.04,0.22
2024,1,Nevada,SMU,0.03,0.06,0.04,0.51
2024,1,Nevada,Troy,0.32,0.63,0.14,0.32
2024,1,New Mexico,Montana State,0.16,0.22,0.1,0.0
2024,1,New Mexico,Arizona,0.28,0.42,0.13,0.64
2024,1,New Mexico State,Southeast Missouri State,0.08,-0.17,0.25,0.0
2024,1,North Carolina,Minnesota,-0.03,-0.22,0.08,0.13
2024,1,Northern Illinois,Western Illinois,0.69,1.0,0.46,0.0
2024,1,North Texas,South Alabama,0.36,0.64,0.03,0.46
2024,1,Northwestern,Miami (OH),0.02,0.09,-0.06,-0.04
2024,1,Notre Dame,Texas A&M,0.16,0.18,0.14,0.0
2024,1,Ohio,Syracuse,0.09,-0.01,0.2,0.42
2024,1,Ohio State,Akron,0.37,0.38,0.36,-0.27
2024,1,Oklahoma,Temple,0.27,0.14,0.4,-0.29
2024,1,Oklahoma State,South Dakota State,0.32,0.56,0.1,0.0
2024,1,Old Dominion,South Carolina,0.07,0.14,0.12,0.04
2024,1,Ole Miss,Furman,0.57,0.54,0.62,0.0
