id,season,week,season_type,start_date,home_team,away_team,home_conference,away_conference,home_points,away_points,neutral_site,conference_game,venue
400795501,2015,1,regular,2015-08-29 19:30:00,Montana,North Dakota State,Big Sky,MVFC,38,35,False,False,Washington-Grizzly Stadium
400763593,2015,1,regular,2015-09-03 22:00:00,UCF,Florida International,American Athletic,Conference USA,14,15,False,False,FBC Mortgage Stadium
400603840,2015,1,regular,2015-09-03 22:00:00,South Carolina,North Carolina,SEC,ACC,17,13,True,False,Bank of America Stadium
400795766,2015,1,regular,2015-09-03 23:00:00,Murray State,Kentucky Wesleyan,OVC,Independent DII,52,12,False,False,Roy Stewart Stadium
400799035,2015,1,regular,2015-09-03 23:00:00,Samford,Central Arkansas,Southern,Southland,45,16,False,False,Seibert Stadium
400795494,2015,1,regular,2015-09-03 23:00:00,Western Illinois,Eastern Illinois,MVFC,OVC,33,5,False,False,Hanson Field
400795765,2015,1,regular,2015-09-03 23:00:00,Eastern Kentucky,Valparaiso,OVC,Pioneer,52,10,False,False,Roy Kidd Stadium
400799864,2015,1,regular,2015-09-03 23:00:00,Campbell,Pikeville,Pioneer,,41,20,False,False,Barker-Lane Stadium
400795587,2015,1,regular,2015-09-03 23:00:00,Charleston Southern,North Greenville,Big South,Independent DII,41,14,False,False,Buccaneer Field
400799924,2015,1,regular,2015-09-03 23:00:00,Northwestern State,SE Louisiana,Southland,Southland,20,34,False,True,Harry Turpin Stadium
400763399,2015,1,regular,2015-09-03 23:00:00,Central Michigan,Oklahoma State,Mid-American,Big 12,13,24,False,False,Kelly/Shorts Stadium
400787299,2015,1,regular,2015-09-03 23:00:00,Ball State,VMI,Mid-American,Southern,48,36,False,False,Scheumann Stadium
400756896,2015,1,regular,2015-09-03 23:00:00,Wake Forest,Elon,ACC,CAA,41,3,False,False,Allegacy Federal Credit Union Stadium
400764854,2015,1,regular,2015-09-03 23:30:00,UConn,Villanova,American Athletic,CAA,20,15,False,False,Pratt & Whitney Stadium
400756895,2015,1,regular,2015-09-03 23:30:00,Georgia Tech,Alcorn State,ACC,SWAC,69,6,False,False,Bobby Dodd Stadium
400795577,2015,1,regular,2015-09-03 23:30:00,East Tennessee State,Kennesaw State,FCS Independents,Big South,16,56,True,False,Kermit Tipton Stadium
400603839,2015,1,regular,2015-09-04 00:00:00,Vanderbilt,Western Kentucky,SEC,Conference USA,12,14,False,False,FirstBank Stadium
400756883,2015,1,regular,2015-09-04 00:30:00,Utah,Michigan,Pac-12,Big Ten,24,17,False,False,Rice-Eccles Stadium
400787302,2015,1,regular,2015-09-04 01:00:00,Idaho,Ohio,Sun Belt,Mid-American,28,45,False,False,Kibbie Dome
400763398,2015,1,regular,2015-09-04 01:00:00,Minnesota,TCU,Big Ten,Big 12,17,23,False,False,Huntington Bank Stadium
400787110,2015,1,regular,2015-09-04 01:00:00,Utah State,Southern Utah,Mountain West,Big Sky,12,9,False,False,Maverik Stadium
400795502,2015,1,regular,2015-09-04 01:05:00,Montana State,Fort Lewis,Big Sky,Rocky Mountain,45,14,False,False,Bobcat Stadium
400756894,2015,1,regular,2015-09-04 01:30:00,Tulane,Duke,American Athletic,ACC,7,37,False,False,Yulman Stadium
400756882,2015,1,regular,2015-09-04 02:00:00,Arizona,UTSA,Pac-12,Conference USA,42,32,False,False,Arizona Stadium
400787109,2015,1,regular,2015-09-04 02:00:00,San José State,New Hampshire,Mountain West,CAA,43,13,False,False,CEFCU Stadium
400787108,2015,1,regular,2015-09-04 02:00:00,Nevada,UC Davis,Mountain West,Big Sky,31,17,False,False,Mackay Stadium
400799923,2015,1,regular,2015-09-04 02:00:00,Fresno State,Abilene Christian,Mountain West,Southland,34,13,False,False,Valley Children's Stadium
400787107,2015,1,regular,2015-09-04 05:00:00,Hawai'i,Colorado,Mountain West,Pac-12,28,20,False,False,Aloha Stadium
400763587,2015,1,regular,2015-09-04 19:30:00,Georgia State,Charlotte,Sun Belt,Conference USA,20,23,False,False,Georgia Dome
400799427,2015,1,regular,2015-09-04 23:00:00,Central Connecticut,Lehigh,NEC,Patriot,14,20,False,False,Arute Field
400764855,2015,1,regular,2015-09-04 23:00:00,SMU,Baylor,American Athletic,Big 12,21,56,False,False,Gerald J. Ford Stadium
