season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2016,1,Air Force,Abilene Christian,0.31,1.03,0.19,0.0
2016,1,Akron,VMI,0.4,0.65,0.11,0.0
2016,1,Alabama,USC,0.35,0.42,0.35,-0.23
2016,1,App State,Tennessee,0.03,-0.03,0.06,0.04
2016,1,Arizona State,Northern Arizona,0.31,0.02,0.53,0.0
2016,1,Arkansas,Louisiana Tech,0.11,0.19,0.03,0.17
2016,1,Arkansas State,Toledo,-0.03,-0.41,0.3,0.27
2016,1,Army,Temple,0.21,-0.33,0.25,0.09
2016,1,Auburn,Clemson,-0.08,0.0,-0.18,0.06
2016,1,Ball State,Georgia State,0.08,-0.28,0.29,-0.03
2016,1,Baylor,Northwestern State,0.38,0.7,0.22,0.0
2016,1,Boise State,Louisiana,0.43,0.86,0.06,-0.05
2016,1,Boston College,Georgia Tech,0.15,0.18,0.14,0.03
2016,1,Bowling Green,Ohio State,-0.21,-0.26,-0.13,0.49
2016,1,Buffalo,UAlbany,0.02,0.08,-0.02,0.0
2016,1,California,Hawai'i,0.27,0.45,0.07,-0.21
2016,1,California,Hawai'i,0.27,0.45,0.07,0.31
2016,1,Central Michigan,Presbyterian,0.41,0.27,0.54,0.0
2016,1,Charlotte,Louisville,-0.19,-0.07,-0.35,0.7
2016,1,Cincinnati,UT Martin,0.3,0.52,0.06,0.0
2016,1,Clemson,Auburn,0.06,0.29,-0.08,-0.08
2016,1,Colorado,Colorado State,0.25,0.53,0.14,-0.13
2016,1,Colorado State,Colorado,-0.13,-0.36,0.09,0.25
2016,1,Duke,North Carolina Central,0.28,0.44,0.21,0.0
2016,1,East Carolina,Western Carolina,0.67,1.08,0.34,0.0
2016,1,Eastern Michigan,Mississippi Valley State,0.44,0.66,0.34,0.0
2016,1,Florida,Massachusetts,0.15,0.26,-0.13,-0.12
2016,1,Florida Atlantic,Southern Illinois,0.22,0.61,-0.05,0.0
2016,1,Florida International,Indiana,-0.19,-0.22,-0.04,0.19
2016,1,Florida State,Ole Miss,0.31,0.49,0.16,0.28
2016,1,Fresno State,Nebraska,-0.05,0.1,-0.31,0.38
2016,1,Georgia,North Carolina,0.28,0.39,0.25,0.09
2016,1,Georgia Southern,Savannah State,0.45,0.8,0.37,0.0
2016,1,Georgia State,Ball State,-0.03,0.05,-0.16,0.08
2016,1,Georgia Tech,Boston College,0.03,0.61,-0.18,0.15
2016,1,Hawai'i,Michigan,-0.21,-0.61,0.05,0.64
2016,1,Hawai'i,California,0.31,0.25,0.35,0.27
2016,1,Houston,Oklahoma,0.16,0.54,-0.21,0.21
2016,1,Idaho,Montana State,-0.05,-0.3,0.09,0.0
2016,1,Illinois,Murray State,0.45,0.57,0.38,0.0
2016,1,Indiana,Florida International,0.19,0.2,0.2,-0.19
2016,1,Iowa,Miami (OH),0.52,0.26,0.79,0.34
2016,1,Iowa State,Northern Iowa,0.13,0.43,-0.18,0.0
2016,1,Kansas,Rhode Island,0.42,0.67,0.16,0.0
2016,1,Kansas State,Stanford,0.06,0.08,0.16,0.05
2016,1,Kent State,Penn State,-0.14,-0.45,0.17,0.11
2016,1,Kentucky,Southern Miss,0.37,0.41,0.31,0.26
2016,1,Louisiana,Boise State,-0.05,0.01,-0.14,0.43
2016,1,Louisiana Tech,Arkansas,0.17,0.19,0.17,0.11
2016,1,Louisville,Charlotte,0.7,0.99,0.4,-0.19
2016,1,LSU,Wisconsin,-0.09,-0.06,-0.11,-0.13
2016,1,Maryland,Howard,0.38,0.3,0.45,0.0
2016,1,Massachusetts,Florida,-0.12,0.07,-0.24,0.15
2016,1,Memphis,Southeast Missouri State,0.14,0.35,-0.2,0.0
2016,1,Miami,Florida A&M,0.55,0.52,0.57,0.0
2016,1,Miami (OH),Iowa,0.34,0.47,0.24,0.52
2016,1,Michigan,Hawai'i,0.64,0.92,0.5,-0.21
2016,1,Michigan,Hawai'i,0.64,0.92,0.5,0.31
2016,1,Michigan State,Furman,0.23,0.81,-0.07,0.0
2016,1,Middle Tennessee,Alabama A&M,0.37,0.47,0.24,0.0
2016,1,Minnesota,Oregon State,0.07,-0.05,0.17,0.09
2016,1,Mississippi State,South Alabama,0.12,-0.04,0.24,0.3
2016,1,Missouri,West Virginia,-0.03,-0.04,0.0,0.12
2016,1,Navy,Fordham,0.57,0.8,0.57,0.0
2016,1,NC State,William & Mary,0.31,0.43,0.23,0.0
2016,1,Nebraska,Fresno State,0.38,0.6,0.32,-0.05
2016,1,Nevada,Cal Poly,0.28,0.47,0.18,0.0
2016,1,New Mexico,South Dakota,0.45,0.56,0.46,0.0
2016,1,New Mexico State,UTEP,0.09,-0.07,0.36,0.27
2016,1,North Carolina,Georgia,0.09,-0.05,0.56,0.28
2016,1,Northern Illinois,Wyoming,0.14,0.54,-0.3,0.25
2016,1,North Texas,SMU,0.15,0.21,0.03,0.29
2016,1,Northwestern,Western Michigan,0.18,0.31,0.06,0.2
2016,1,Notre Dame,Texas,0.26,0.5,0.09,0.37
2016,1,Ohio,Texas State,0.22,0.51,-0.01,0.17
2016,1,Ohio State,Bowling Green,0.49,0.46,0.52,-0.21
2016,1,Oklahoma,Houston,0.21,0.37,0.01,0.16
2016,1,Oklahoma State,SE Louisiana,0.24,0.41,0.1,0.0
2016,1,Old Dominion,Hampton,0.25,0.24,0.29,0.0
2016,1,Ole Miss,Florida State,0.28,0.25,0.37,0.31
