season,team,sp_overall,sp_offense,sp_defense,sp_st
2019,Ohio State,35.4,44.4,10.6,1.6
2019,LSU,33.1,48.9,17.7,1.9
2019,Alabama,32.4,47.7,14.6,-0.7
2019,Clemson,28.1,43.5,14.6,-0.7
2019,Georgia,26.8,34.2,10.0,2.6
2019,Penn State,24.3,37.5,15.7,2.5
2019,Florida,24.0,37.8,15.5,1.7
2019,Oklahoma,22.9,46.1,24.9,1.7
2019,Auburn,21.0,33.9,14.9,2.0
2019,Michigan,20.7,35.7,16.0,1.0
2019,Wisconsin,20.3,37.7,16.4,-0.9
2019,Utah,19.5,36.5,17.0,-0.1
2019,Minnesota,19.4,39.8,19.6,-0.7
2019,UCF,19.1,37.3,18.1,-0.1
2019,Oregon,19.0,35.6,15.5,-1.1
2019,Washington,18.3,35.3,19.5,2.5
2019,Memphis,18.0,39.5,23.4,1.9
2019,Baylor,17.8,34.7,17.3,0.5
2019,Notre Dame,17.7,35.8,18.5,0.4
2019,Iowa,16.7,30.0,15.2,1.8
2019,Texas A&M,15.0,34.0,19.4,0.5
2019,USC,13.1,39.0,26.7,0.8
2019,Indiana,12.8,35.6,23.8,1.0
2019,Iowa State,12.6,31.8,19.5,0.3
2019,Air Force,12.1,36.2,25.8,1.7
2019,Texas,12.0,38.7,28.5,1.8
2019,App State,11.3,34.3,23.2,0.2
2019,Washington State,11.1,41.7,33.1,2.4
2019,Tennessee,10.8,27.8,17.4,0.3
2019,North Carolina,10.3,35.1,24.6,-0.3
2019,Navy,9.9,36.0,25.5,-0.7
2019,Louisiana,9.6,36.7,28.3,1.1
2019,Miami,9.6,26.0,15.6,-0.9
2019,Kentucky,9.1,30.1,22.2,1.2
2019,Cincinnati,9.1,29.1,21.1,1.1
2019,Oklahoma State,8.7,35.0,26.2,-0.1
2019,Boise State,8.1,32.9,25.0,0.2
2019,Virginia Tech,8.0,29.9,23.3,1.4
2019,Missouri,7.8,24.5,17.1,0.4
2019,Tulane,7.5,33.1,25.9,0.3
2019,Michigan State,7.2,24.4,16.1,-1.1
2019,TCU,6.7,28.8,22.9,0.8
2019,Virginia,6.3,30.4,25.2,1.2
2019,Arizona State,6.3,28.0,23.7,2.0
2019,Kansas State,6.0,28.8,24.8,2.0
2019,South Carolina,4.8,23.4,20.8,2.2
2019,SMU,4.4,34.6,28.3,-1.9
2019,Pittsburgh,4.1,20.4,16.0,-0.3
2019,Ohio,3.7,35.9,33.5,1.2
2019,Mississippi State,3.5,33.1,28.7,-0.9
2019,Temple,3.2,24.6,20.8,-0.6
2019,Ole Miss,2.9,28.6,23.8,-1.9
2019,Texas Tech,2.7,32.5,31.2,1.4
2019,Nebraska,2.6,32.2,27.4,-2.2
2019,Wake Forest,2.0,29.4,28.6,1.1
2019,San Diego State,2.0,16.6,16.6,2.0
2019,Florida State,1.8,30.2,27.1,-1.3
2019,Western Kentucky,1.7,23.6,21.1,-0.7
2019,BYU,1.3,28.6,26.2,-1.2
2019,Illinois,0.6,24.4,25.8,2.0
2019,Louisville,0.2,34.6,33.6,-0.8
2019,Louisiana Tech,0.2,25.3,25.0,0.0
2019,Florida Atlantic,-0.6,28.6,29.5,0.2
2019,Purdue,-0.7,30.8,31.0,-0.4
2019,Oregon State,-0.7,33.8,32.8,-1.7
2019,Wyoming,-1.1,20.5,21.7,0.1
2019,UAB,-1.4,18.3,20.2,0.5
2019,Duke,-1.8,19.7,23.0,1.5
2019,Hawai'i,-1.9,34.7,35.8,-0.9
2019,Marshall,-1.9,23.8,26.6,0.8
2019,Buffalo,-2.0,25.0,24.6,-2.4
2019,Army,-2.1,28.6,30.4,-0.4
2019,Tulsa,-2.5,24.6,25.2,-2.0
2019,Liberty,-2.6,29.3,32.0,0.1
2019,California,-2.6,23.8,24.7,-1.7
2019,Arkansas State,-2.9,30.1,34.2,1.3
2019,Syracuse,-3.0,24.5,29.6,2.1
2019,Colorado State,-3.9,26.1,30.1,0.1
2019,UCLA,-3.9,28.4,32.5,0.2
2019,Fresno State,-4.0,30.6,33.6,-1.1
2019,Colorado,-4.1,30.1,34.7,0.5
2019,Utah State,-4.3,26.2,31.0,0.5
2019,Houston,-4.3,29.6,35.4,1.5
2019,Central Michigan,-4.4,26.0,29.0,-1.4
2019,Troy,-4.4,32.2,35.4,-1.3
2019,Ball State,-4.5,29.5,32.6,-1.4
2019,Georgia Southern,-4.5,22.2,27.4,0.7
2019,Stanford,-4.7,27.2,32.2,0.3
2019,Southern Miss,-4.8,23.6,27.7,-0.7
2019,Western Michigan,-4.9,29.6,32.5,-2.0
2019,Northwestern,-5.5,16.5,20.0,-2.0
2019,Boston College,-5.7,31.3,35.4,-1.6
2019,North Texas,-6.1,25.0,32.6,1.4
2019,Maryland,-6.3,26.3,30.3,-2.4
2019,Charlotte,-6.3,29.9,35.1,-1.1
2019,NC State,-6.3,22.0,29.7,1.4
2019,Florida International,-7.0,22.0,29.4,0.4
2019,West Virginia,-7.0,22.9,29.1,-0.8
2019,San José State,-7.2,29.6,36.7,-0.1
2019,Arizona,-8.0,30.1,36.1,-2.1
2019,Eastern Michigan,-8.6,29.3,37.8,-0.1
2019,Miami (OH),-9.2,19.8,30.0,0.9
2019,Kansas,-9.8,26.2,34.8,-1.2
2019,South Florida,-9.8,20.4,27.4,-2.7
2019,Kent State,-10.2,25.9,37.9,1.8
2019,Vanderbilt,-10.4,21.8,33.6,1.4
2019,Georgia State,-10.5,29.4,38.4,-1.4
2019,Arkansas,-10.6,21.7,32.3,0.0
2019,UL Monroe,-10.7,31.5,40.8,-1.4
2019,Middle Tennessee,-11.3,27.2,37.4,-1.1
2019,Georgia Tech,-12.0,18.8,28.9,-1.9
2019,Nevada,-12.3,19.4,31.9,0.3
2019,Coastal Carolina,-12.8,23.4,35.3,-0.9
2019,Toledo,-13.7,25.6,38.4,-0.8
2019,Northern Illinois,-13.9,20.7,34.2,-0.4
2019,East Carolina,-14.0,24.0,38.1,0.2
2019,Rutgers,-14.6,17.4,31.8,-0.3
2019,Texas State,-16.2,17.6,33.0,-0.9
2019,New Mexico,-17.0,20.6,39.2,1.6
2019,UNLV,-17.4,19.3,36.1,-0.6
2019,Rice,-18.0,15.1,33.2,0.1
2019,South Alabama,-20.3,16.3,34.0,-2.6
2019,New Mexico State,-22.0,19.0,40.3,-0.6
2019,UTSA,-23.7,18.9,41.7,-0.9
2019,UConn,-24.4,16.2,39.7,-1.0
2019,Old Dominion,-24.4,10.6,34.3,-0.7
2019,UTEP,-25.6,18.0,43.5,-0.1
2019,Bowling Green,-27.5,14.9,39.5,-2.9
2019,Akron,-29.8,7.7,35.3,-2.2
2019,Massachusetts,-34.6,15.3,49.3,-0.5
2019,nationalAverages,0.7595419847328244,28.348091603053437,27.599236641221374,0.0053435114503816794
