season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2023,1,Air Force,Robert Morris,0.56,2.15,0.48,0.0
2023,1,Akron,Temple,0.1,0.24,0.0,0.14
2023,1,Alabama,Middle Tennessee,0.49,0.53,0.47,0.09
2023,1,App State,Gardner-Webb,0.38,0.69,0.2,0.0
2023,1,Arizona,Northern Arizona,0.25,0.6,0.07,0.0
2023,1,Arizona State,Southern Utah,0.16,0.43,0.13,0.0
2023,1,Arkansas,Western Carolina,0.56,0.89,0.32,0.0
2023,1,Arkansas State,Oklahoma,-0.1,0.11,-0.35,0.56
2023,1,Army,UL Monroe,0.03,0.75,-0.06,-0.05
2023,1,Auburn,Massachusetts,0.43,0.29,0.5,-0.02
2023,1,Auburn,Massachusetts,0.43,0.29,0.5,0.34
2023,1,Ball State,Kentucky,0.0,0.44,-0.34,0.28
2023,1,Baylor,Texas State,0.23,0.61,-0.18,0.41
2023,1,Boise State,Washington,0.07,-0.01,0.21,0.53
2023,1,Boston College,Northern Illinois,0.0,-0.25,0.4,-0.01
2023,1,Bowling Green,Liberty,0.04,-0.07,0.41,-0.04
2023,1,Buffalo,Wisconsin,-0.01,0.08,-0.12,0.29
2023,1,BYU,Sam Houston,0.01,-0.12,0.13,-0.14
2023,1,California,North Texas,0.43,0.59,0.37,0.0
2023,1,Central Michigan,Michigan State,-0.19,-0.11,-0.14,0.17
2023,1,Charlotte,South Carolina State,0.16,0.17,0.25,0.0
2023,1,Cincinnati,Eastern Kentucky,0.77,1.54,0.28,0.0
2023,1,Clemson,Duke,0.0,-0.06,0.06,0.19
2023,1,Coastal Carolina,UCLA,0.06,0.18,-0.13,0.1
2023,1,Colorado,TCU,0.48,0.77,-0.03,0.29
2023,1,Colorado State,Washington State,0.08,0.28,-0.19,0.29
2023,1,Duke,Clemson,0.19,0.16,0.23,0.0
2023,1,East Carolina,Michigan,0.06,0.22,-0.06,0.46
2023,1,Eastern Michigan,Howard,0.19,0.28,0.2,0.0
2023,1,Florida,Utah,0.07,0.11,-0.04,0.09
2023,1,Florida Atlantic,Monmouth,0.38,0.88,0.0,0.0
2023,1,Florida International,Maine,-0.04,0.12,-0.13,0.0
2023,1,Florida International,Louisiana Tech,0.03,-0.58,0.34,0.1
2023,1,Florida International,Louisiana Tech,0.03,-0.58,0.34,-0.12
2023,1,Florida State,LSU,0.44,0.86,0.06,0.19
2023,1,Fresno State,Purdue,0.31,0.64,-0.09,0.18
2023,1,Georgia,UT Martin,0.44,0.48,0.39,0.0
2023,1,Georgia Southern,The Citadel,0.29,0.23,0.38,0.0
2023,1,Georgia State,Rhode Island,0.42,0.56,0.35,0.0
2023,1,Georgia Tech,Louisville,0.26,0.44,0.19,0.42
2023,1,Hawai'i,Stanford,0.2,0.25,-0.09,0.23
2023,1,Hawai'i,Vanderbilt,0.24,0.66,-0.14,0.3
2023,1,Hawai'i,Vanderbilt,0.24,0.66,-0.14,0.11
2023,1,Houston,UTSA,-0.02,0.21,-0.27,0.18
2023,1,Illinois,Toledo,0.29,0.67,0.12,0.19
2023,1,Indiana,Ohio State,-0.08,-0.01,-0.13,0.22
2023,1,Iowa,Utah State,0.03,0.43,-0.34,0.06
2023,1,Iowa State,Northern Iowa,0.23,0.17,0.28,0.0
2023,1,Jacksonville State,East Tennessee State,0.23,0.24,0.23,0.0
2023,1,Jacksonville State,UTEP,0.03,-0.05,0.07,0.44
2023,1,Jacksonville State,UTEP,0.03,-0.05,0.07,0.06
2023,1,James Madison,Bucknell,0.16,0.17,0.2,0.0
2023,1,Kansas,Missouri State,0.53,0.77,0.36,0.0
2023,1,Kansas State,Southeast Missouri State,0.43,0.64,0.3,0.0
2023,1,Kent State,UCF,-0.04,0.11,-0.15,0.49
2023,1,Kentucky,Ball State,0.28,0.25,0.46,0.0
2023,1,Liberty,Bowling Green,-0.04,0.3,0.03,0.04
2023,1,Louisiana,Northwestern State,0.14,-0.04,0.33,0.0
2023,1,Louisiana Tech,Florida International,0.1,0.47,-0.2,-0.04
2023,1,Louisiana Tech,Florida International,0.1,0.47,-0.2,0.03
2023,1,Louisiana Tech,SMU,-0.12,-0.13,-0.1,0.17
2023,1,Louisville,Georgia Tech,0.42,0.57,0.27,0.26
2023,1,LSU,Florida State,0.19,0.18,0.2,0.44
2023,1,Marshall,UAlbany,0.23,0.23,0.24,0.0
2023,1,Maryland,Towson,0.28,0.22,0.34,0.0
2023,1,Massachusetts,Auburn,-0.02,-0.2,0.2,0.43
2023,1,Massachusetts,New Mexico State,0.34,0.46,0.28,0.71
2023,1,Massachusetts,New Mexico State,0.34,0.46,0.28,0.21
2023,1,Memphis,Bethune-Cookman,0.09,0.19,0.09,0.0
2023,1,Miami,Miami (OH),0.49,0.7,0.37,-0.16
2023,1,Miami (OH),Miami,-0.16,0.05,-0.43,0.49
2023,1,Michigan,East Carolina,0.46,0.76,0.15,0.06
2023,1,Michigan State,Central Michigan,0.17,0.34,-0.04,-0.19
2023,1,Middle Tennessee,Alabama,0.09,0.1,0.18,0.49
2023,1,Minnesota,Nebraska,-0.04,0.05,-0.04,-0.08
2023,1,Mississippi State,SE Louisiana,0.38,0.38,0.38,0.0
2023,1,Missouri,South Dakota,0.35,0.54,0.23,0.0
2023,1,Navy,Notre Dame,0.03,-0.54,0.14,0.62
2023,1,Navy,Notre Dame,0.03,-0.54,0.14,0.53
2023,1,NC State,UConn,0.19,0.23,0.17,0.12
2023,1,Nebraska,Minnesota,-0.08,0.02,0.12,-0.04
2023,1,Nevada,USC,-0.03,0.28,-0.38,0.82
2023,1,Nevada,USC,-0.03,0.28,-0.38,0.52
2023,1,New Mexico,Texas A&M,0.04,0.21,-0.14,0.43
2023,1,New Mexico State,Western Illinois,0.71,1.07,0.51,0.0
2023,1,New Mexico State,Massachusetts,0.21,0.01,0.38,-0.02
2023,1,New Mexico State,Massachusetts,0.21,0.01,0.38,0.34
2023,1,North Carolina,South Carolina,0.28,0.65,-0.06,-0.09
2023,1,Northern Illinois,Boston College,-0.01,0.15,-0.11,0.0
2023,1,North Texas,California,0.0,0.28,-0.15,0.43
2023,1,Northwestern,Rutgers,-0.06,0.02,-0.11,0.1
2023,1,Notre Dame,Tennessee State,0.62,0.92,0.34,0.0
2023,1,Notre Dame,Navy,0.53,0.8,0.31,0.03
2023,1,Ohio,Long Island University,0.12,0.44,0.03,0.0
2023,1,Ohio,San Diego State,0.04,0.31,-0.02,0.17
2023,1,Ohio,San Diego State,0.04,0.31,-0.02,0.2
2023,1,Ohio State,Indiana,0.22,0.35,0.19,-0.08
2023,1,Oklahoma,Arkansas State,0.56,0.83,0.38,-0.1
2023,1,Oklahoma State,Central Arkansas,0.19,0.25,0.18,0.0
2023,1,Old Dominion,Virginia Tech,0.06,0.0,0.22,0.07
2023,1,Ole Miss,Mercer,0.65,0.95,0.26,0.0
2023,1,Oregon,Portland State,0.81,0.73,0.91,0.0
2023,1,Oregon State,San José State,0.53,0.68,0.41,0.03
2023,1,Oregon State,San José State,0.53,0.68,0.41,0.13
2023,1,Penn State,West Virginia,0.36,0.66,0.17,0.22
2023,1,Pittsburgh,Wofford,0.42,0.42,0.42,0.0
2023,1,Purdue,Fresno State,0.18,0.42,-0.05,0.31
2023,1,Rice,Texas,0.06,0.65,-0.41,0.06
2023,1,Rutgers,Northwestern,0.1,0.31,-0.04,-0.06
2023,1,Sam Houston,BYU,-0.14,-0.09,-0.01,0.01
2023,1,San Diego State,Idaho State,0.17,0.06,0.28,0.0
2023,1,San Diego State,Ohio,0.2,0.48,-0.04,0.12
2023,1,San Diego State,Ohio,0.2,0.48,-0.04,0.04
2023,1,San José State,Oregon State,0.03,0.0,0.09,0.53
2023,1,San José State,USC,0.13,-0.06,0.45,0.82
2023,1,San José State,USC,0.13,-0.06,0.45,0.52
2023,1,SMU,Louisiana Tech,0.17,0.32,0.03,0.1
2023,1,SMU,Louisiana Tech,0.17,0.32,0.03,-0.12
2023,1,South Alabama,Tulane,0.09,0.18,0.16,0.36
2023,1,South Carolina,North Carolina,-0.09,0.03,-0.36,0.28
2023,1,Southern Miss,Alcorn State,0.26,0.59,0.08,0.0
2023,1,South Florida,Western Kentucky,0.11,-0.16,0.39,0.32
2023,1,Stanford,Hawai'i,0.23,0.41,0.05,0.2
2023,1,Stanford,Hawai'i,0.23,0.41,0.05,0.24
2023,1,Syracuse,Colgate,0.4,0.95,0.01,0.0
2023,1,TCU,Colorado,0.29,0.36,0.45,0.48
2023,1,Temple,Akron,0.14,0.34,-0.22,0.1
2023,1,Tennessee,Virginia,0.38,0.34,0.4,-0.1
2023,1,Texas,Rice,0.06,0.04,0.09,0.06
2023,1,Texas A&M,New Mexico,0.43,0.6,0.21,0.04
2023,1,Texas State,Baylor,0.41,0.85,0.05,0.23
2023,1,Texas Tech,Wyoming,0.18,0.32,0.04,0.13
2023,1,Toledo,Illinois,0.19,0.08,0.28,0.29
2023,1,Troy,Stephen F. Austin,0.32,0.61,0.19,0.0
2023,1,Tulane,South Alabama,0.36,1.76,-0.14,0.09
2023,1,Tulsa,Arkansas-Pine Bluff,0.44,1.0,0.31,0.0
2023,1,UAB,North Carolina A&T,0.51,0.49,0.53,0.0
2023,1,UCF,Kent State,0.49,0.66,0.57,-0.04
2023,1,UCLA,Coastal Carolina,0.1,0.11,0.09,0.06
2023,1,UConn,NC State,0.12,-0.04,0.42,0.19
2023,1,UL Monroe,Army,-0.05,-0.44,0.35,0.03
2023,1,UNLV,Bryant,0.23,0.32,0.16,0.0
2023,1,USC,Nevada,0.82,0.94,0.6,-0.03
2023,1,USC,San José State,0.52,0.61,0.42,0.03
2023,1,USC,San José State,0.52,0.61,0.42,0.13
2023,1,Utah,Florida,0.09,0.21,0.0,0.07
2023,1,Utah State,Iowa,0.06,0.02,0.17,0.03
2023,1,UTEP,Incarnate Word,0.44,0.55,0.41,0.0
2023,1,UTEP,Jacksonville State,0.06,0.23,0.07,0.23
2023,1,UTEP,Jacksonville State,0.06,0.23,0.07,0.03
2023,1,UTSA,Houston,0.18,0.22,0.32,-0.02
2023,1,Vanderbilt,Alabama A&M,0.3,0.31,0.43,0.0
2023,1,Vanderbilt,Hawai'i,0.11,0.41,-0.31,0.2
2023,1,Vanderbilt,Hawai'i,0.11,0.41,-0.31,0.24
2023,1,Virginia,Tennessee,-0.1,-0.11,-0.1,0.38
2023,1,Virginia Tech,Old Dominion,0.07,0.45,-0.18,0.06
2023,1,Wake Forest,Elon,0.13,0.27,-0.01,0.0
2023,1,Washington,Boise State,0.53,0.64,0.29,0.07
2023,1,Washington State,Colorado State,0.29,0.44,0.05,0.08
2023,1,Western Kentucky,South Florida,0.32,0.33,0.32,0.11
2023,1,Western Michigan,Saint Francis,0.29,0.19,0.39,0.0
2023,1,West Virginia,Penn State,0.22,-0.13,0.47,0.36
2023,1,Wisconsin,Buffalo,0.29,0.23,0.41,-0.01
2023,1,Wyoming,Texas Tech,0.13,0.1,0.16,0.18
2023,2,Air Force,Sam Houston,0.02,-0.13,0.03,-0.17
2023,2,Akron,Morgan State,-0.32,0.06,-0.35,0.0
2023,2,Alabama,Texas,0.21,0.42,-0.02,0.22
2023,2,App State,North Carolina,0.3,0.47,0.24,0.41
2023,2,Arizona,Mississippi State,0.14,0.54,-0.26,0.04
2023,2,Arizona State,Oklahoma State,0.14,0.14,0.18,0.11
2023,2,Arkansas,Kent State,0.31,0.27,0.33,-0.25
2023,2,Arkansas State,Memphis,-0.31,-0.25,-0.3,0.24
2023,2,Army,Delaware State,0.57,1.21,0.35,0.0
2023,2,Auburn,California,0.15,0.33,0.07,-0.08
2023,2,Ball State,Georgia,-0.14,-0.03,-0.28,0.32
2023,2,Baylor,Utah,0.17,0.27,0.08,0.11
2023,2,Boise State,UCF,0.07,0.2,0.09,0.16
2023,2,Boston College,Holy Cross,0.35,0.43,0.32,0.0
2023,2,Bowling Green,Eastern Illinois,0.62,1.08,0.2,0.0
2023,2,Buffalo,Fordham,0.35,0.69,0.01,0.0
2023,2,BYU,Southern Utah,0.4,0.82,-0.08,0.0
2023,2,California,Auburn,-0.08,-0.12,0.04,0.15
2023,2,Central Michigan,New Hampshire,0.36,0.29,0.47,0.0
2023,2,Charlotte,Maryland,0.08,0.32,0.04,0.3
2023,2,Cincinnati,Pittsburgh,0.21,0.3,0.15,-0.06
2023,2,Clemson,Charleston Southern,0.47,0.46,0.49,0.0
2023,2,Coastal Carolina,Jacksonville State,0.13,0.5,-0.15,0.07
2023,2,Colorado,Nebraska,0.23,0.31,0.08,0.09
2023,2,Duke,Lafayette,0.47,0.94,0.24,0.0
2023,2,East Carolina,Marshall,-0.06,0.0,-0.07,0.28
2023,2,Eastern Michigan,Minnesota,-0.07,-0.25,0.15,0.07
2023,2,Florida,McNeese,0.58,0.65,0.55,0.0
2023,2,Florida Atlantic,Ohio,-0.14,-0.02,-0.26,0.0
2023,2,Florida International,North Texas,0.34,0.64,0.27,0.07
2023,2,Florida State,Southern Miss,0.44,0.25,0.62,-0.08
2023,2,Fresno State,Eastern Washington,0.18,0.29,0.04,0.0
2023,2,Georgia,Ball State,0.32,0.47,0.13,-0.14
2023,2,Georgia Southern,UAB,0.3,0.51,0.08,0.4
2023,2,Georgia State,UConn,0.2,0.17,0.21,0.1
2023,2,Georgia Tech,South Carolina State,0.41,0.59,0.27,0.0
2023,2,Hawai'i,UAlbany,0.07,0.15,0.07,0.0
2023,2,Houston,Rice,0.14,0.0,0.51,0.38
2023,2,Illinois,Kansas,0.25,0.14,0.75,0.37
2023,2,Indiana,Indiana State,0.34,0.46,0.23,0.0
2023,2,Iowa,Iowa State,0.07,0.23,-0.05,-0.07
2023,2,Iowa State,Iowa,-0.07,0.05,-0.23,0.07
2023,2,Jacksonville State,Coastal Carolina,0.07,0.0,0.13,0.13
2023,2,James Madison,Virginia,0.38,0.54,0.21,0.43
2023,2,Kansas,Illinois,0.37,0.6,0.32,0.25
2023,2,Kansas State,Troy,0.22,0.51,0.08,0.04
2023,2,Kent State,Arkansas,-0.25,-0.37,-0.15,0.31
2023,2,Kentucky,Eastern Kentucky,0.26,0.4,0.15,0.0
2023,2,Liberty,New Mexico State,0.33,0.72,0.13,0.18
2023,2,Louisiana,Old Dominion,0.28,0.45,0.12,0.28
2023,2,Louisiana Tech,Northwestern State,0.24,-0.04,0.41,0.0
2023,2,Louisville,Murray State,0.53,0.73,0.53,0.0
2023,2,LSU,Grambling,0.57,0.61,0.53,0.0
2023,2,Marshall,East Carolina,0.28,0.54,0.06,-0.06
2023,2,Maryland,Charlotte,0.3,0.23,0.52,0.08
2023,2,Massachusetts,Miami (OH),-0.1,0.23,-0.37,0.25
2023,2,Memphis,Arkansas State,0.24,0.47,0.05,-0.31
2023,2,Miami,Texas A&M,0.48,0.97,-0.19,0.2
