season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2019,1,Air Force,Colgate,0.45,3.75,0.4,0.0
2019,1,Akron,Illinois,-0.16,-0.2,-0.19,0.29
2019,1,Alabama,Duke,0.42,0.84,0.02,-0.24
2019,1,App State,East Tennessee State,0.47,0.6,0.39,0.0
2019,1,Arizona,Hawai'i,0.35,0.44,0.14,0.29
2019,1,Arizona State,Kent State,0.23,0.7,-0.08,-0.14
2019,1,Arkansas,Portland State,0.13,0.08,0.22,0.0
2019,1,Arkansas State,SMU,0.12,0.16,0.04,0.11
2019,1,Army,Rice,0.14,0.39,0.11,0.02
2019,1,Auburn,Oregon,0.05,-0.12,0.19,0.12
2019,1,Ball State,Indiana,0.1,0.19,0.03,0.22
2019,1,Baylor,Stephen F. Austin,0.44,0.46,0.43,0.0
2019,1,Boise State,Florida State,0.15,0.28,0.01,0.23
2019,1,Boston College,Virginia Tech,0.16,0.53,-0.06,0.16
2019,1,Bowling Green,Morgan State,0.26,0.41,0.18,0.0
2019,1,Buffalo,Robert Morris,0.41,0.32,0.4,0.0
2019,1,BYU,Utah,-0.19,-0.3,-0.04,0.24
2019,1,California,UC Davis,0.1,0.41,-0.09,0.0
2019,1,Central Michigan,UAlbany,0.32,0.55,0.11,0.0
2019,1,Charlotte,Gardner-Webb,0.39,0.42,0.38,0.0
2019,1,Cincinnati,UCLA,0.16,0.78,-0.19,0.05
2019,1,Clemson,Georgia Tech,0.43,0.21,0.55,-0.04
2019,1,Coastal Carolina,Eastern Michigan,0.15,0.32,-0.17,0.23
2019,1,Colorado,Colorado State,0.46,0.8,0.29,0.2
2019,1,Colorado State,Colorado,0.2,0.38,-0.11,0.46
2019,1,Duke,Alabama,-0.24,-0.21,-0.24,0.42
2019,1,East Carolina,NC State,-0.11,0.05,-0.44,0.29
2019,1,Eastern Michigan,Coastal Carolina,0.23,0.75,-0.07,0.15
2019,1,Florida,Miami,0.06,0.41,-0.28,-0.04
2019,1,Florida Atlantic,Ohio State,0.0,0.11,-0.11,0.32
2019,1,Florida International,Tulane,0.06,0.15,-0.08,0.42
2019,1,Florida State,Boise State,0.23,0.45,-0.13,0.15
2019,1,Fresno State,USC,0.09,0.09,0.12,0.11
2019,1,Georgia,Vanderbilt,0.23,0.19,0.28,0.03
2019,1,Georgia Southern,LSU,-0.09,0.06,-0.17,0.38
2019,1,Georgia State,Tennessee,0.15,0.15,0.14,0.18
2019,1,Georgia Tech,Clemson,-0.04,-0.17,0.03,0.43
2019,1,Hawai'i,Arizona,0.29,0.45,0.06,0.35
2019,1,Houston,Oklahoma,0.24,0.23,0.26,0.67
2019,1,Illinois,Akron,0.29,0.4,0.23,-0.16
2019,1,Indiana,Ball State,0.22,0.23,0.2,0.1
2019,1,Iowa,Miami (OH),0.32,0.41,0.28,0.08
2019,1,Iowa State,Northern Iowa,0.14,0.31,0.0,0.0
2019,1,Kansas,Indiana State,0.08,0.5,-0.33,0.0
2019,1,Kansas State,Nicholls,0.45,0.84,0.3,0.0
2019,1,Kent State,Arizona State,-0.14,-0.08,-0.17,0.23
2019,1,Kentucky,Toledo,0.2,0.53,0.0,0.17
2019,1,Liberty,Syracuse,-0.27,-0.09,-0.62,0.07
2019,1,Louisiana,Mississippi State,0.16,0.28,0.02,0.39
2019,1,Louisiana Tech,Texas,0.11,0.29,-0.31,0.34
2019,1,Louisville,Notre Dame,0.13,-0.04,0.25,0.25
2019,1,LSU,Georgia Southern,0.38,0.66,0.06,-0.09
2019,1,Marshall,VMI,0.45,0.63,0.3,0.0
2019,1,Maryland,Howard,0.4,0.57,0.3,0.0
2019,1,Massachusetts,Rutgers,0.06,-0.18,0.36,0.3
2019,1,Memphis,Ole Miss,0.07,-0.06,0.15,-0.07
2019,1,Miami,Florida,-0.04,-0.05,-0.03,0.06
2019,1,Miami (OH),Iowa,0.08,0.32,-0.21,0.32
2019,1,Michigan,Middle Tennessee,0.13,0.1,0.18,0.04
2019,1,Michigan State,Tulsa,-0.11,-0.01,-0.28,-0.14
2019,1,Middle Tennessee,Michigan,0.04,0.12,-0.08,0.13
2019,1,Minnesota,South Dakota State,0.2,0.47,0.06,0.0
2019,1,Mississippi State,Louisiana,0.39,0.37,0.41,0.16
2019,1,Missouri,Wyoming,0.17,0.28,0.07,0.26
2019,1,Navy,Holy Cross,0.45,-0.02,0.51,0.0
2019,1,NC State,East Carolina,0.29,0.34,0.28,-0.11
2019,1,Nebraska,South Alabama,-0.02,0.12,-0.1,-0.25
2019,1,Nevada,Purdue,0.24,0.33,0.1,0.26
2019,1,New Mexico,Sam Houston,0.11,0.23,-0.04,0.0
2019,1,New Mexico State,Washington State,0.02,0.04,-0.01,0.45
2019,1,North Carolina,South Carolina,0.16,0.43,0.08,-0.1
2019,1,Northern Illinois,Illinois State,-0.01,0.34,-0.36,0.0
2019,1,North Texas,Abilene Christian,0.32,0.63,0.06,0.0
2019,1,Northwestern,Stanford,-0.08,0.0,-0.15,0.02
2019,1,Notre Dame,Louisville,0.25,0.25,0.25,0.13
2019,1,Ohio,Rhode Island,0.46,0.46,0.45,0.0
2019,1,Ohio State,Florida Atlantic,0.32,0.55,0.15,0.0
2019,1,Oklahoma,Houston,0.67,1.03,0.43,0.24
2019,1,Oklahoma State,Oregon State,0.46,0.62,0.42,0.3
2019,1,Old Dominion,Norfolk State,0.1,0.14,0.09,0.0
2019,1,Ole Miss,Memphis,-0.07,0.03,-0.06,0.07
2019,1,Oregon,Auburn,0.12,0.23,-0.04,0.05
2019,1,Oregon State,Oklahoma State,0.3,0.28,0.35,0.46
2019,1,Penn State,Idaho,0.51,0.43,0.59,0.0
2019,1,Pittsburgh,Virginia,0.02,-0.08,0.17,0.17
2019,1,Purdue,Nevada,0.26,0.47,-0.09,0.24
2019,1,Rice,Army,0.02,-0.29,0.17,0.14
2019,1,Rutgers,Massachusetts,0.3,0.53,0.18,0.06
2019,1,San Diego State,Weber State,-0.2,-0.06,-0.29,0.0
2019,1,San José State,Northern Colorado,0.25,0.45,0.12,0.0
2019,1,SMU,Arkansas State,0.11,0.21,0.09,0.12
2019,1,South Alabama,Nebraska,-0.25,-0.17,-0.16,-0.02
2019,1,South Carolina,North Carolina,-0.1,-0.17,-0.01,0.16
2019,1,Southern Miss,Alcorn State,0.04,0.29,-0.08,0.0
2019,1,South Florida,Wisconsin,-0.27,-0.19,-0.41,0.17
2019,1,Stanford,Northwestern,0.02,0.13,-0.08,-0.08
2019,1,Syracuse,Liberty,0.07,-0.07,0.21,-0.27
2019,1,TCU,Arkansas-Pine Bluff,0.07,0.03,0.25,0.0
2019,1,Temple,Bucknell,0.49,0.61,0.33,0.0
2019,1,Tennessee,Georgia State,0.18,0.24,0.15,0.15
2019,1,Texas,Louisiana Tech,0.34,0.29,0.41,0.11
2019,1,Texas A&M,Texas State,0.17,0.26,0.14,-0.05
2019,1,Texas State,Texas A&M,-0.05,0.03,-0.4,0.17
2019,1,Texas Tech,Montana State,0.32,0.31,0.35,0.0
2019,1,Toledo,Kentucky,0.17,0.0,0.29,0.2
2019,1,Troy,Campbell,0.37,0.55,0.27,0.0
2019,1,Tulane,Florida International,0.42,0.33,0.46,0.06
2019,1,Tulsa,Michigan State,-0.14,0.19,-0.72,-0.11
2019,1,UAB,Alabama State,-0.09,-0.05,-0.13,0.0
2019,1,UCF,Florida A&M,0.45,0.72,0.29,0.0
2019,1,UCLA,Cincinnati,0.05,0.01,0.09,0.16
2019,1,UConn,Wagner,0.03,-0.16,0.12,0.0
2019,1,UL Monroe,Grambling,0.31,0.03,0.48,0.0
2019,1,UNLV,Southern Utah,0.44,0.29,0.54,0.0
2019,1,USC,Fresno State,0.11,0.02,0.21,0.09
2019,1,Utah,BYU,0.24,0.27,0.24,-0.19
2019,1,Utah State,Wake Forest,0.24,0.32,0.11,0.12
2019,1,UTEP,Houston Christian,0.22,0.37,0.27,0.0
2019,1,UTSA,Incarnate Word,0.22,-0.01,0.41,0.0
2019,1,Vanderbilt,Georgia,0.03,-0.16,0.36,0.23
2019,1,Virginia,Pittsburgh,0.17,0.07,0.24,0.02
2019,1,Virginia Tech,Boston College,0.16,0.33,-0.06,0.16
2019,1,Wake Forest,Utah State,0.12,0.51,-0.19,0.24
2019,1,Washington,Eastern Washington,0.83,1.26,0.39,0.0
2019,1,Washington State,New Mexico State,0.45,0.53,0.18,0.02
2019,1,Western Kentucky,Central Arkansas,0.22,0.31,0.11,0.0
2019,1,Western Michigan,Monmouth,0.5,1.27,-0.08,0.0
2019,1,West Virginia,James Madison,0.09,0.34,-0.42,0.0
2019,1,Wisconsin,South Florida,0.17,0.25,0.12,-0.27
2019,1,Wyoming,Missouri,0.26,0.12,0.32,0.17
2019,2,Akron,UAB,0.07,0.21,-0.23,-0.15
