season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2026,1,North Dakota State,Jacksonville State,0.22,0.41,0.11,0.55
2026,1,Northern Illinois,Iowa,-0.33,-0.03,-0.4,0.06
2026,1,North Texas,Indiana,0.13,0.34,0.0,0.65
2026,1,Northwestern,South Dakota State,0.48,0.47,0.52,0.0
2026,1,Ohio,Nebraska,0.13,-0.03,0.22,0.49
2026,1,Ohio State,Ball State,0.67,0.87,0.46,-0.24
2026,1,Oklahoma,UTEP,0.39,0.82,0.16,-0.25
2026,1,Oklahoma State,Tulsa,-0.07,0.15,-0.12,0.19
2026,1,Old Dominion,Norfolk State,0.22,0.55,0.15,0.0
2026,1,Oregon,Boise State,0.28,0.35,0.2,0.11
2026,1,Oregon State,Houston,0.18,0.29,-0.07,0.31
2026,1,Penn State,Marshall,0.42,0.93,0.11,-0.17
2026,1,Pittsburgh,Miami (OH),0.43,0.72,0.06,0.11
2026,1,Purdue,Indiana State,0.37,0.72,0.17,0.0
2026,1,Rice,Houston Christian,0.23,0.14,0.32,0.0
2026,1,Rutgers,Massachusetts,0.2,0.42,-0.34,0.33
2026,1,Sacramento State,Eastern Michigan,-0.08,-0.08,-0.05,-0.03
2026,1,Sacramento State,Eastern Michigan,-0.08,-0.08,-0.05,0.06
2026,1,Sacramento State,Mississippi Valley State,0.34,0.61,0.18,0.0
2026,1,Sam Houston,Troy,0.17,0.31,-0.19,0.16
2026,1,San Diego State,Portland State,0.23,0.29,0.28,0.0
2026,1,San José State,USC,0.22,0.32,0.07,0.33
2026,1,San José State,USC,0.22,0.32,0.07,0.39
2026,1,San José State,Eastern Michigan,0.13,0.4,-0.05,-0.03
2026,1,San José State,Eastern Michigan,0.13,0.4,-0.05,0.06
2026,1,South Alabama,SE Louisiana,0.17,0.2,0.2,0.0
2026,1,South Carolina,Kent State,0.68,0.87,0.5,-0.04
2026,1,Southern Miss,Alcorn State,0.4,0.3,0.46,0.0
2026,1,South Florida,Florida International,-0.06,0.16,-0.1,0.11
2026,1,Stanford,Hawai'i,0.33,0.42,0.22,0.05
2026,1,Stanford,Hawai'i,0.33,0.42,0.22,-0.06
2026,1,Stanford,Miami,0.02,0.09,-0.08,0.46
2026,1,Syracuse,New Hampshire,0.35,0.41,0.33,0.0
2026,1,TCU,North Carolina,-0.05,0.02,-0.03,0.11
2026,1,Temple,Rhode Island,0.17,0.27,0.15,0.0
2026,1,Tennessee,Furman,0.57,0.79,0.44,0.0
2026,1,Texas,Texas State,0.46,0.91,0.14,0.14
2026,1,Texas A&M,Missouri State,0.35,0.38,0.3,-0.24
2026,1,Texas State,Texas,0.14,0.35,-0.04,0.46
2026,1,Texas Tech,Abilene Christian,0.28,0.57,0.16,0.0
2026,1,Toledo,Michigan State,0.28,0.5,0.05,0.02
2026,1,Troy,Sam Houston,0.16,0.29,0.02,0.17
2026,1,Tulane,Duke,0.0,0.11,-0.24,-0.05
2026,1,Tulsa,Oklahoma State,0.19,0.44,0.04,-0.07
2026,1,UAB,Illinois,0.14,0.06,0.23,0.53
2026,1,UCF,Bethune-Cookman,0.55,0.13,0.79,0.0
2026,1,UCLA,California,0.42,0.03,0.75,0.13
2026,1,UConn,Lafayette,0.57,0.74,0.47,0.0
2026,1,UL Monroe,Mississippi State,-0.03,0.08,-0.06,0.64
2026,1,UNLV,Memphis,0.09,0.07,0.19,0.29
2026,1,UNLV,Memphis,0.09,0.07,0.19,0.49
2026,1,UNLV,Hawai'i,0.16,-0.13,0.32,0.05
2026,1,UNLV,Hawai'i,0.16,-0.13,0.32,-0.06
2026,1,USC,Fresno State,0.33,1.28,-0.34,-0.34
2026,1,USC,San José State,0.39,0.39,0.39,0.22
2026,1,USC,San José State,0.39,0.39,0.39,0.13
2026,1,Utah,Idaho,0.51,0.68,0.45,0.0
2026,1,Utah State,Idaho State,0.1,0.12,0.05,0.0
2026,1,UTEP,Oklahoma,-0.25,-0.01,-0.15,0.39
2026,1,UTSA,UT Rio Grande Valley,0.51,0.6,0.42,0.0
2026,1,Vanderbilt,Austin Peay,0.28,0.34,0.26,0.0
2026,1,Virginia,NC State,0.27,0.86,0.19,-0.14
2026,1,Virginia Tech,VMI,0.54,0.62,0.54,0.0
2026,1,Wake Forest,Akron,0.48,0.64,0.31,0.02
2026,1,Western Kentucky,Nevada,0.07,0.2,-0.08,0.56
2026,1,Western Michigan,Michigan,-0.04,-0.17,-0.04,0.24
2026,1,West Virginia,Coastal Carolina,0.13,0.64,0.0,0.22
2026,1,Wyoming,Colorado State,-0.03,0.11,0.08,0.3
