season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2020,1,Arkansas State,Memphis,0.2,0.25,0.14,0.33
2020,1,Army,Middle Tennessee,0.38,0.53,0.37,-0.19
2020,1,BYU,Navy,0.46,0.84,0.29,-0.25
2020,1,Marshall,Eastern Kentucky,0.53,0.78,0.38,0.0
2020,1,Memphis,Arkansas State,0.33,0.71,0.04,0.2
2020,1,Middle Tennessee,Army,-0.19,-0.25,-0.13,0.38
2020,1,Navy,BYU,-0.25,-0.28,-0.24,0.46
2020,1,North Texas,Houston Christian,0.58,0.98,0.32,0.0
2020,1,SMU,Texas State,0.2,0.33,0.09,0.14
2020,1,South Alabama,Southern Miss,0.3,0.52,0.12,0.23
2020,1,Southern Miss,South Alabama,0.23,0.55,-0.09,0.3
2020,1,Texas State,SMU,0.14,-0.05,0.36,0.2
2020,1,UAB,Central Arkansas,0.27,0.52,0.11,0.0
2020,1,UTEP,Stephen F. Austin,0.19,0.47,-0.03,0.0
2020,2,App State,Charlotte,0.33,0.48,0.27,-0.14
2020,2,Arkansas State,Kansas State,0.23,0.38,0.03,0.13
2020,2,Army,UL Monroe,0.38,-0.05,0.41,-0.06
2020,2,Charlotte,App State,-0.14,-0.29,0.02,0.33
2020,2,Clemson,Wake Forest,0.35,0.58,0.14,-0.04
2020,2,Coastal Carolina,Kansas,0.26,0.39,0.21,0.14
2020,2,Duke,Notre Dame,0.02,-0.01,0.06,0.18
2020,2,Florida State,Georgia Tech,0.08,0.0,0.19,0.15
2020,2,Georgia Southern,Campbell,0.22,0.11,0.25,0.0
2020,2,Georgia Tech,Florida State,0.15,0.25,0.05,0.08
2020,2,Iowa State,Louisiana,0.11,-0.14,0.37,0.17
2020,2,Kansas,Coastal Carolina,0.14,0.16,0.12,0.26
2020,2,Kansas State,Arkansas State,0.13,0.43,-0.13,0.23
2020,2,Louisiana,Iowa State,0.17,0.29,0.09,0.11
2020,2,Louisville,Western Kentucky,0.35,0.62,0.11,-0.06
2020,2,Miami,UAB,0.34,0.21,0.41,0.06
2020,2,North Carolina,Syracuse,0.33,0.47,0.17,-0.23
2020,2,Notre Dame,Duke,0.18,0.2,0.16,0.02
2020,2,Oklahoma,Missouri State,0.43,0.83,-0.09,0.0
2020,2,Pittsburgh,Austin Peay,0.46,0.59,0.36,0.0
2020,2,South Alabama,Tulane,0.13,0.35,-0.17,0.08
2020,2,South Florida,The Citadel,0.15,-0.32,0.52,0.0
2020,2,Syracuse,North Carolina,-0.23,-0.25,-0.2,0.33
2020,2,Texas,UTEP,0.48,0.6,0.33,-0.15
2020,2,Texas State,UTSA,0.12,0.04,0.22,0.21
2020,2,Texas Tech,Houston Christian,0.37,0.54,0.16,0.0
2020,2,Tulane,South Alabama,0.08,-0.07,0.2,0.13
2020,2,UAB,Miami,0.06,0.23,-0.19,0.34
2020,2,UL Monroe,Army,-0.06,0.26,-0.53,0.38
2020,2,UTEP,Texas,-0.15,-0.01,-0.34,0.48
2020,2,UTSA,Texas State,0.21,0.2,0.22,0.12
2020,2,Wake Forest,Clemson,-0.04,0.08,-0.23,0.35
2020,2,Western Kentucky,Louisville,-0.06,-0.28,0.1,0.35
2020,2,West Virginia,Eastern Kentucky,0.45,0.43,0.46,0.0
2020,3,App State,Marshall,-0.02,0.06,-0.12,0.08
2020,3,Boston College,Duke,0.34,0.79,-0.21,-0.01
2020,3,Cincinnati,Austin Peay,0.51,0.74,0.35,0.0
2020,3,Clemson,The Citadel,0.27,0.35,0.2,0.0
2020,3,Coastal Carolina,Campbell,0.62,1.24,0.32,0.0
2020,3,Duke,Boston College,-0.01,0.25,-0.27,0.34
2020,3,Georgia State,Louisiana,0.11,-0.01,0.21,0.18
2020,3,Georgia Tech,UCF,0.1,0.3,-0.06,0.34
2020,3,Liberty,Western Kentucky,0.31,0.14,0.37,0.32
2020,3,Louisiana,Georgia State,0.18,0.14,0.22,0.11
2020,3,Louisiana Tech,Southern Miss,0.25,0.23,0.27,0.22
2020,3,Louisville,Miami,0.27,0.27,0.27,0.36
2020,3,Marshall,App State,0.08,-0.08,0.17,-0.02
