id,season,week,season_type,start_date,home_team,away_team,home_conference,away_conference,home_points,away_points,neutral_site,conference_game,venue
400953933,2017,1,regular,2017-08-26 16:00:00,Florida A&M,Texas Southern,MEAC,SWAC,29,7,False,False,Bragg Memorial Stadium
400935282,2017,1,regular,2017-08-26 18:30:00,Colorado State,Oregon State,Mountain West,Pac-12,58,27,False,False,Canvas Stadium
400945031,2017,1,regular,2017-08-26 19:00:00,BYU,Portland State,FBS Independents,Big Sky,20,6,False,False,LaVell Edwards Stadium
400938887,2017,1,regular,2017-08-26 22:00:00,Massachusetts,Hawai'i,FBS Independents,Mountain West,35,38,False,False,Warren McGuirk Alumni Stadium
400951507,2017,1,regular,2017-08-26 22:30:00,Jacksonville State,Chattanooga,OVC,Southern,27,13,True,False,Cramton Bowl
400950566,2017,1,regular,2017-08-26 23:00:00,Cal Poly,Colgate,Big Sky,Patriot,14,20,False,False,Alex G. Spanos Stadium
400941786,2017,1,regular,2017-08-26 23:30:00,San José State,South Florida,Mountain West,American Athletic,22,42,False,False,CEFCU Stadium
400935257,2017,1,regular,2017-08-27 02:00:00,Rice,Stanford,Conference USA,Pac-12,7,62,True,False,Allianz Stadium
400951249,2017,1,regular,2017-08-31 22:00:00,Wagner,Saint Anselm,NEC,Northeast 10,37,7,False,False,Wagner College Stadium
400938591,2017,1,regular,2017-08-31 22:00:00,UCF,Florida International,American Athletic,Conference USA,61,17,False,False,FBC Mortgage Stadium
400952295,2017,1,regular,2017-08-31 22:00:00,Morehead State,Kentucky Christian,Pioneer,,56,14,False,False,Jayne Stadium
400937445,2017,1,regular,2017-08-31 22:30:00,Wake Forest,Presbyterian,ACC,Big South,51,7,False,False,Allegacy Federal Credit Union Stadium
400951381,2017,1,regular,2017-08-31 23:00:00,Mercer,Jacksonville,Southern,Pioneer,48,7,False,False,Five Star Stadium at the Moye Complex
400950922,2017,1,regular,2017-08-31 23:00:00,Samford,Kennesaw State,Southern,Big South,28,23,False,False,Seibert Stadium
400935230,2017,1,regular,2017-08-31 23:00:00,Minnesota,Buffalo,Big Ten,Mid-American,17,7,False,False,Huntington Bank Stadium
400951095,2017,1,regular,2017-08-31 23:00:00,Tennessee Tech,Western Illinois,OVC,MVFC,14,41,False,False,Tucker Stadium
400952263,2017,1,regular,2017-08-31 23:00:00,Campbell,Methodist,Pioneer,USA South,70,0,False,False,Barker-Lane Stadium
400944890,2017,1,regular,2017-08-31 23:00:00,Central Michigan,Rhode Island,Mid-American,CAA,30,27,False,False,Kelly/Shorts Stadium
400953935,2017,1,regular,2017-08-31 23:00:00,Murray State,Kentucky Wesleyan,OVC,Great Midwest Athletic,67,7,False,False,Roy Stewart Stadium
400941787,2017,1,regular,2017-08-31 23:00:00,Cincinnati,Austin Peay,American Athletic,OVC,26,14,False,False,Nippert Stadium
400950977,2017,1,regular,2017-08-31 23:00:00,New Hampshire,Maine,CAA,CAA,24,23,False,True,Wildcat Stadium
400951138,2017,1,regular,2017-08-31 23:00:00,Indiana State,Eastern Illinois,MVFC,OVC,20,22,False,False,Memorial Stadium
400950950,2017,1,regular,2017-08-31 23:00:00,Delaware,Delaware State,CAA,MEAC,22,3,False,False,Delaware Stadium
400944889,2017,1,regular,2017-08-31 23:00:00,Toledo,Elon,Mid-American,CAA,47,13,False,False,Glass Bowl
400944826,2017,1,regular,2017-08-31 23:00:00,Georgia State,Tennessee State,Sun Belt,OVC,10,17,False,False,Center Parc Stadium
400951322,2017,1,regular,2017-08-31 23:00:00,UT Martin,Clarion,OVC,Pennsylvania State Athletic,36,0,False,False,Graham Stadium
400934493,2017,1,regular,2017-08-31 23:30:00,Oklahoma State,Tulsa,Big 12,American Athletic,59,24,False,False,Boone Pickens Stadium
400935248,2017,1,regular,2017-08-31 23:30:00,Utah,North Dakota,Pac-12,Big Sky,37,16,False,False,Rice-Eccles Stadium
400941788,2017,1,regular,2017-08-31 23:30:00,UConn,Holy Cross,American Athletic,Patriot,27,20,False,False,Pratt & Whitney Stadium
400952339,2017,1,regular,2017-09-01 00:00:00,Nicholls,McNeese,Southland,Southland,37,35,False,True,Manning Field at John L. Guidry Stadium
400933828,2017,1,regular,2017-09-01 00:00:00,Arkansas,Florida A&M,SEC,MEAC,49,7,True,False,War Memorial Stadium (AR)
400951086,2017,1,regular,2017-09-01 00:00:00,South Dakota State,Duquesne,MVFC,NEC,51,13,False,False,Dana J. Dykhouse Stadium
