season,week,poll,team,rank
2022,13,Playoff Committee Rankings,Georgia,1
2022,13,Playoff Committee Rankings,Tennessee,10
2022,13,Playoff Committee Rankings,Kansas State,12
2022,13,Playoff Committee Rankings,TCU,4
2022,13,Playoff Committee Rankings,LSU,5
2022,13,Playoff Committee Rankings,Oregon State,21
2022,13,Playoff Committee Rankings,USC,6
2022,13,Playoff Committee Rankings,UCLA,18
2022,13,Playoff Committee Rankings,Alabama,7
2022,13,Playoff Committee Rankings,Ole Miss,20
2022,13,Playoff Committee Rankings,Oregon,9
2022,13,Playoff Committee Rankings,Washington,13
2022,13,Playoff Committee Rankings,Utah,14
2022,13,Playoff Committee Rankings,Ohio State,2
2022,13,Playoff Committee Rankings,Michigan,3
2022,13,Playoff Committee Rankings,Penn State,11
2022,13,Playoff Committee Rankings,Texas,23
2022,13,Playoff Committee Rankings,Notre Dame,15
2022,13,Playoff Committee Rankings,UCF,22
2022,13,Playoff Committee Rankings,Cincinnati,24
2022,13,Playoff Committee Rankings,Tulane,19
2022,13,Playoff Committee Rankings,Florida State,16
2022,13,Playoff Committee Rankings,Clemson,8
2022,13,Playoff Committee Rankings,North Carolina,17
2022,13,Playoff Committee Rankings,Louisville,25
2022,13,AP Top 25,Georgia,1
2022,13,AP Top 25,Tennessee,9
2022,13,AP Top 25,Kansas State,15
2022,13,AP Top 25,TCU,4
2022,13,AP Top 25,LSU,6
2022,13,AP Top 25,Oregon State,22
2022,13,AP Top 25,USC,5
2022,13,AP Top 25,UCLA,17
2022,13,AP Top 25,Coastal Carolina,23
2022,13,AP Top 25,Alabama,8
2022,13,AP Top 25,Ole Miss,20
2022,13,AP Top 25,Oregon,10
2022,13,AP Top 25,Washington,12
2022,13,AP Top 25,Utah,14
2022,13,AP Top 25,Ohio State,2
2022,13,AP Top 25,Michigan,3
2022,13,AP Top 25,Penn State,11
2022,13,AP Top 25,Texas,24
2022,13,AP Top 25,Notre Dame,13
2022,13,AP Top 25,UCF,25
2022,13,AP Top 25,Cincinnati,21
2022,13,AP Top 25,Tulane,19
2022,13,AP Top 25,Florida State,16
2022,13,AP Top 25,Clemson,7
2022,13,AP Top 25,North Carolina,18
2022,11,Playoff Committee Rankings,Georgia,1
2022,11,Playoff Committee Rankings,Tennessee,5
2022,11,Playoff Committee Rankings,Kentucky,24
2022,11,Playoff Committee Rankings,Kansas State,19
2022,11,Playoff Committee Rankings,TCU,4
2022,11,Playoff Committee Rankings,LSU,7
2022,11,Playoff Committee Rankings,USC,8
2022,11,Playoff Committee Rankings,UCLA,12
2022,11,Playoff Committee Rankings,Alabama,9
2022,11,Playoff Committee Rankings,Ole Miss,11
2022,11,Playoff Committee Rankings,Oregon,6
2022,11,Playoff Committee Rankings,Washington,25
2022,11,Playoff Committee Rankings,Utah,13
2022,11,Playoff Committee Rankings,Ohio State,2
2022,11,Playoff Committee Rankings,Michigan,3
2022,11,Playoff Committee Rankings,Penn State,14
2022,11,Playoff Committee Rankings,Illinois,21
2022,11,Playoff Committee Rankings,Texas,18
2022,11,Playoff Committee Rankings,Notre Dame,20
2022,11,Playoff Committee Rankings,UCF,22
2022,11,Playoff Committee Rankings,Tulane,17
2022,11,Playoff Committee Rankings,Florida State,23
2022,11,Playoff Committee Rankings,Clemson,10
2022,11,Playoff Committee Rankings,NC State,16
2022,11,Playoff Committee Rankings,North Carolina,15
2022,11,AP Top 25,Georgia,1
2022,11,AP Top 25,Tennessee,5
2022,11,AP Top 25,Kansas State,23
2022,11,AP Top 25,TCU,4
2022,11,AP Top 25,Liberty,19
2022,11,AP Top 25,LSU,7
2022,11,AP Top 25,USC,8
2022,11,AP Top 25,UCLA,9
2022,11,AP Top 25,Alabama,10
2022,11,AP Top 25,Ole Miss,11
2022,11,AP Top 25,Oregon,6
2022,11,AP Top 25,Washington,24
2022,11,AP Top 25,Utah,13
2022,11,AP Top 25,Ohio State,2
2022,11,AP Top 25,Michigan,3
2022,11,AP Top 25,Penn State,14
2022,11,AP Top 25,Illinois,21
2022,11,AP Top 25,Texas,18
2022,11,AP Top 25,Notre Dame,20
2022,11,AP Top 25,UCF,22
2022,11,AP Top 25,Tulane,16
2022,11,AP Top 25,Florida State,25
2022,11,AP Top 25,Clemson,12
2022,11,AP Top 25,NC State,17
2022,11,AP Top 25,North Carolina,15
2022,10,Playoff Committee Rankings,Georgia,3
2022,10,Playoff Committee Rankings,Tennessee,1
2022,10,Playoff Committee Rankings,Oklahoma State,18
2022,10,Playoff Committee Rankings,Kansas State,13
2022,10,Playoff Committee Rankings,TCU,7
2022,10,Playoff Committee Rankings,LSU,10
2022,10,Playoff Committee Rankings,Oregon State,23
2022,10,Playoff Committee Rankings,USC,9
2022,10,Playoff Committee Rankings,UCLA,12
2022,10,Playoff Committee Rankings,Alabama,6
2022,10,Playoff Committee Rankings,Ole Miss,11
2022,10,Playoff Committee Rankings,Oregon,8
2022,10,Playoff Committee Rankings,Utah,14
2022,10,Playoff Committee Rankings,Ohio State,2
2022,10,Playoff Committee Rankings,Michigan,5
2022,10,Playoff Committee Rankings,Penn State,15
2022,10,Playoff Committee Rankings,Illinois,16
2022,10,Playoff Committee Rankings,Texas,24
2022,10,Playoff Committee Rankings,UCF,25
2022,10,Playoff Committee Rankings,Tulane,19
2022,10,Playoff Committee Rankings,Clemson,4
2022,10,Playoff Committee Rankings,NC State,22
2022,10,Playoff Committee Rankings,Wake Forest,21
2022,10,Playoff Committee Rankings,North Carolina,17
2022,10,Playoff Committee Rankings,Syracuse,20
2022,10,AP Top 25,Georgia,1
2022,10,AP Top 25,Tennessee,2
2022,10,AP Top 25,Oklahoma State,18
2022,10,AP Top 25,Kansas State,13
2022,10,AP Top 25,TCU,7
2022,10,AP Top 25,Liberty,23
2022,10,AP Top 25,LSU,15
2022,10,AP Top 25,Oregon State,24
2022,10,AP Top 25,USC,9
2022,10,AP Top 25,UCLA,10
2022,10,AP Top 25,Alabama,6
2022,10,AP Top 25,Ole Miss,11
2022,10,AP Top 25,Oregon,8
2022,10,AP Top 25,Utah,12
2022,10,AP Top 25,Ohio State,2
2022,10,AP Top 25,Michigan,4
2022,10,AP Top 25,Penn State,16
2022,10,AP Top 25,Illinois,14
2022,10,AP Top 25,UCF,25
2022,10,AP Top 25,Tulane,19
2022,10,AP Top 25,Clemson,5
2022,10,AP Top 25,NC State,21
2022,10,AP Top 25,Wake Forest,20
2022,10,AP Top 25,North Carolina,17
2022,10,AP Top 25,Syracuse,22
2022,9,AP Top 25,Georgia,1
2022,9,AP Top 25,Tennessee,3
2022,9,AP Top 25,South Carolina,25
2022,9,AP Top 25,Kentucky,19
2022,9,AP Top 25,Oklahoma State,9
2022,9,AP Top 25,Kansas State,22
2022,9,AP Top 25,TCU,7
2022,9,AP Top 25,LSU,18
2022,9,AP Top 25,USC,10
2022,9,AP Top 25,UCLA,12
2022,9,AP Top 25,Alabama,6
2022,9,AP Top 25,Ole Miss,15
2022,9,AP Top 25,Oregon,8
2022,9,AP Top 25,Utah,14
2022,9,AP Top 25,Ohio State,2
2022,9,AP Top 25,Michigan,4
2022,9,AP Top 25,Penn State,13
2022,9,AP Top 25,Illinois,17
2022,9,AP Top 25,Cincinnati,20
2022,9,AP Top 25,Tulane,23
2022,9,AP Top 25,Clemson,5
2022,9,AP Top 25,NC State,24
2022,9,AP Top 25,Wake Forest,10
2022,9,AP Top 25,North Carolina,21
2022,9,AP Top 25,Syracuse,16
2022,8,AP Top 25,Georgia,1
2022,8,AP Top 25,Tennessee,3
2022,8,AP Top 25,Kentucky,19
2022,8,AP Top 25,Oklahoma State,11
2022,8,AP Top 25,Kansas State,17
2022,8,AP Top 25,TCU,8
2022,8,AP Top 25,USC,12
2022,8,AP Top 25,UCLA,9
2022,8,AP Top 25,Alabama,6
2022,8,AP Top 25,Ole Miss,7
2022,8,AP Top 25,Mississippi State,24
2022,8,AP Top 25,Oregon,10
2022,8,AP Top 25,Utah,15
2022,8,AP Top 25,Ohio State,2
2022,8,AP Top 25,Michigan,4
2022,8,AP Top 25,Penn State,16
2022,8,AP Top 25,Illinois,18
2022,8,AP Top 25,Texas,20
2022,8,AP Top 25,Cincinnati,21
2022,8,AP Top 25,Tulane,25
2022,8,AP Top 25,Clemson,5
2022,8,AP Top 25,NC State,23
2022,8,AP Top 25,Wake Forest,13
2022,8,AP Top 25,North Carolina,22
2022,8,AP Top 25,Syracuse,14
2022,7,AP Top 25,Georgia,1
2022,7,AP Top 25,Tennessee,6
2022,7,AP Top 25,Kentucky,22
2022,7,AP Top 25,Oklahoma State,8
2022,7,AP Top 25,Kansas State,17
2022,7,AP Top 25,Kansas,19
2022,7,AP Top 25,TCU,13
2022,7,AP Top 25,James Madison,25
2022,7,AP Top 25,USC,7
2022,7,AP Top 25,UCLA,11
2022,7,AP Top 25,Alabama,3
2022,7,AP Top 25,Ole Miss,9
2022,7,AP Top 25,Mississippi State,16
2022,7,AP Top 25,Oregon,12
2022,7,AP Top 25,Utah,20
2022,7,AP Top 25,Ohio State,2
2022,7,AP Top 25,Michigan,5
2022,7,AP Top 25,Penn State,10
2022,7,AP Top 25,Illinois,24
2022,7,AP Top 25,Texas,22
2022,7,AP Top 25,Cincinnati,21
2022,7,AP Top 25,Clemson,4
2022,7,AP Top 25,NC State,15
2022,7,AP Top 25,Wake Forest,14
2022,7,AP Top 25,Syracuse,18
2022,5,AP Top 25,Georgia,1
2022,5,AP Top 25,Tennessee,8
2022,5,AP Top 25,Kentucky,7
2022,5,AP Top 25,Oklahoma State,9
2022,5,AP Top 25,Kansas State,25
2022,5,AP Top 25,Baylor,16
2022,5,AP Top 25,BYU,19
2022,5,AP Top 25,USC,6
2022,5,AP Top 25,Alabama,2
2022,5,AP Top 25,Ole Miss,14
