season,week,poll,team,rank
2022,5,AP Top 25,Arkansas,20
2022,5,AP Top 25,Oregon,13
2022,5,AP Top 25,Washington,15
2022,5,AP Top 25,Utah,12
2022,5,AP Top 25,Texas A&M,17
2022,5,AP Top 25,Ohio State,3
2022,5,AP Top 25,Michigan,4
2022,5,AP Top 25,Penn State,11
2022,5,AP Top 25,Minnesota,21
2022,5,AP Top 25,Oklahoma,18
2022,5,AP Top 25,Florida State,23
2022,5,AP Top 25,Clemson,5
2022,5,AP Top 25,NC State,10
2022,5,AP Top 25,Wake Forest,22
2022,5,AP Top 25,Pittsburgh,24
2022,4,AP Top 25,Georgia,1
2022,4,AP Top 25,Florida,20
2022,4,AP Top 25,Tennessee,11
2022,4,AP Top 25,Kentucky,8
2022,4,AP Top 25,Oklahoma State,9
2022,4,AP Top 25,Baylor,17
2022,4,AP Top 25,BYU,19
2022,4,AP Top 25,USC,7
2022,4,AP Top 25,Alabama,2
2022,4,AP Top 25,Ole Miss,16
2022,4,AP Top 25,Arkansas,10
2022,4,AP Top 25,Oregon,15
2022,4,AP Top 25,Washington,18
2022,4,AP Top 25,Utah,13
2022,4,AP Top 25,Texas A&M,23
2022,4,AP Top 25,Ohio State,3
2022,4,AP Top 25,Michigan,4
2022,4,AP Top 25,Penn State,14
2022,4,AP Top 25,Texas,22
2022,4,AP Top 25,Oklahoma,6
2022,4,AP Top 25,Clemson,5
2022,4,AP Top 25,NC State,12
2022,4,AP Top 25,Wake Forest,21
2022,4,AP Top 25,Miami,25
2022,4,AP Top 25,Pittsburgh,24
2022,3,AP Top 25,Georgia,1
2022,3,AP Top 25,Florida,18
2022,3,AP Top 25,Tennessee,15
2022,3,AP Top 25,Kentucky,9
2022,3,AP Top 25,Oklahoma State,8
2022,3,AP Top 25,Baylor,17
2022,3,AP Top 25,BYU,12
2022,3,AP Top 25,USC,7
2022,3,AP Top 25,Alabama,2
2022,3,AP Top 25,Ole Miss,20
2022,3,AP Top 25,Arkansas,10
2022,3,AP Top 25,Oregon,25
2022,3,AP Top 25,Utah,14
2022,3,AP Top 25,Texas A&M,24
2022,3,AP Top 25,Ohio State,3
2022,3,AP Top 25,Michigan State,11
2022,3,AP Top 25,Michigan,4
2022,3,AP Top 25,Penn State,22
2022,3,AP Top 25,Texas,21
2022,3,AP Top 25,Oklahoma,6
2022,3,AP Top 25,Clemson,5
2022,3,AP Top 25,NC State,16
2022,3,AP Top 25,Wake Forest,19
2022,3,AP Top 25,Miami,13
2022,3,AP Top 25,Pittsburgh,23
2022,15,Playoff Committee Rankings,Georgia,1
2022,15,Playoff Committee Rankings,Tennessee,6
2022,15,Playoff Committee Rankings,South Carolina,19
2022,15,Playoff Committee Rankings,Kansas State,9
2022,15,Playoff Committee Rankings,TCU,3
2022,15,Playoff Committee Rankings,LSU,17
2022,15,Playoff Committee Rankings,Oregon State,14
2022,15,Playoff Committee Rankings,UTSA,25
2022,15,Playoff Committee Rankings,USC,10
2022,15,Playoff Committee Rankings,UCLA,18
2022,15,Playoff Committee Rankings,Troy,24
2022,15,Playoff Committee Rankings,Alabama,5
2022,15,Playoff Committee Rankings,Mississippi State,22
2022,15,Playoff Committee Rankings,Oregon,15
2022,15,Playoff Committee Rankings,Washington,12
2022,15,Playoff Committee Rankings,Utah,8
2022,15,Playoff Committee Rankings,Ohio State,4
2022,15,Playoff Committee Rankings,Michigan,2
2022,15,Playoff Committee Rankings,Penn State,11
2022,15,Playoff Committee Rankings,Texas,20
2022,15,Playoff Committee Rankings,Notre Dame,21
2022,15,Playoff Committee Rankings,Tulane,16
2022,15,Playoff Committee Rankings,Florida State,13
2022,15,Playoff Committee Rankings,Clemson,7
2022,15,Playoff Committee Rankings,NC State,23
2022,15,AP Top 25,Georgia,1
2022,15,AP Top 25,Tennessee,6
2022,15,AP Top 25,South Carolina,20
2022,15,AP Top 25,Kansas State,11
2022,15,AP Top 25,TCU,3
2022,15,AP Top 25,LSU,16
2022,15,AP Top 25,Oregon State,17
2022,15,AP Top 25,UTSA,22
2022,15,AP Top 25,USC,8
2022,15,AP Top 25,UCLA,18
2022,15,AP Top 25,Troy,23
2022,15,AP Top 25,Alabama,5
2022,15,AP Top 25,Mississippi State,24
2022,15,AP Top 25,Oregon,15
2022,15,AP Top 25,Washington,12
2022,15,AP Top 25,Utah,7
2022,15,AP Top 25,Ohio State,4
2022,15,AP Top 25,Michigan,2
2022,15,AP Top 25,Penn State,9
2022,15,AP Top 25,Texas,21
2022,15,AP Top 25,Notre Dame,19
2022,15,AP Top 25,Tulane,14
2022,15,AP Top 25,Florida State,13
2022,15,AP Top 25,Clemson,10
2022,15,AP Top 25,NC State,25
2022,14,Playoff Committee Rankings,Georgia,1
2022,14,Playoff Committee Rankings,Tennessee,7
2022,14,Playoff Committee Rankings,South Carolina,19
2022,14,Playoff Committee Rankings,Kansas State,10
2022,14,Playoff Committee Rankings,TCU,3
2022,14,Playoff Committee Rankings,LSU,14
2022,14,Playoff Committee Rankings,Oregon State,15
2022,14,Playoff Committee Rankings,USC,4
2022,14,Playoff Committee Rankings,UCLA,17
2022,14,Playoff Committee Rankings,Alabama,6
2022,14,Playoff Committee Rankings,Mississippi State,24
2022,14,Playoff Committee Rankings,Oregon,16
2022,14,Playoff Committee Rankings,Washington,12
2022,14,Playoff Committee Rankings,Utah,11
2022,14,Playoff Committee Rankings,Ohio State,5
2022,14,Playoff Committee Rankings,Michigan,2
2022,14,Playoff Committee Rankings,Penn State,8
2022,14,Playoff Committee Rankings,Texas,20
2022,14,Playoff Committee Rankings,Notre Dame,21
2022,14,Playoff Committee Rankings,UCF,22
2022,14,Playoff Committee Rankings,Tulane,18
2022,14,Playoff Committee Rankings,Florida State,13
2022,14,Playoff Committee Rankings,Clemson,9
2022,14,Playoff Committee Rankings,NC State,25
2022,14,Playoff Committee Rankings,North Carolina,23
2022,14,AP Top 25,Georgia,1
2022,14,AP Top 25,Tennessee,7
2022,14,AP Top 25,South Carolina,20
2022,14,AP Top 25,Kansas State,13
2022,14,AP Top 25,TCU,3
2022,14,AP Top 25,LSU,11
2022,14,AP Top 25,Oregon State,16
2022,14,AP Top 25,UTSA,23
2022,14,AP Top 25,USC,4
2022,14,AP Top 25,UCLA,17
2022,14,AP Top 25,Alabama,6
2022,14,AP Top 25,Mississippi State,25
2022,14,AP Top 25,Oregon,15
2022,14,AP Top 25,Washington,9
2022,14,AP Top 25,Utah,12
2022,14,AP Top 25,Ohio State,5
2022,14,AP Top 25,Michigan,2
2022,14,AP Top 25,Penn State,8
2022,14,AP Top 25,Texas,21
2022,14,AP Top 25,Notre Dame,19
2022,14,AP Top 25,UCF,22
2022,14,AP Top 25,Tulane,18
2022,14,AP Top 25,Florida State,14
2022,14,AP Top 25,Clemson,10
2022,14,AP Top 25,North Carolina,24
2022,12,Playoff Committee Rankings,Georgia,1
2022,12,Playoff Committee Rankings,Tennessee,5
2022,12,Playoff Committee Rankings,Oklahoma State,22
2022,12,Playoff Committee Rankings,Kansas State,15
2022,12,Playoff Committee Rankings,TCU,4
2022,12,Playoff Committee Rankings,LSU,6
2022,12,Playoff Committee Rankings,Oregon State,23
2022,12,Playoff Committee Rankings,USC,7
2022,12,Playoff Committee Rankings,UCLA,16
2022,12,Playoff Committee Rankings,Alabama,8
2022,12,Playoff Committee Rankings,Ole Miss,14
2022,12,Playoff Committee Rankings,Oregon,12
2022,12,Playoff Committee Rankings,Washington,17
2022,12,Playoff Committee Rankings,Utah,10
2022,12,Playoff Committee Rankings,Ohio State,2
2022,12,Playoff Committee Rankings,Michigan,3
2022,12,Playoff Committee Rankings,Penn State,11
2022,12,Playoff Committee Rankings,Notre Dame,18
2022,12,Playoff Committee Rankings,UCF,20
2022,12,Playoff Committee Rankings,Cincinnati,25
2022,12,Playoff Committee Rankings,Tulane,21
2022,12,Playoff Committee Rankings,Florida State,19
2022,12,Playoff Committee Rankings,Clemson,9
2022,12,Playoff Committee Rankings,NC State,24
2022,12,Playoff Committee Rankings,North Carolina,13
2022,12,AP Top 25,Georgia,1
2022,12,AP Top 25,Tennessee,5
2022,12,AP Top 25,Oklahoma State,24
2022,12,AP Top 25,Kansas State,19
2022,12,AP Top 25,TCU,4
2022,12,AP Top 25,LSU,6
2022,12,AP Top 25,Oregon State,25
2022,12,AP Top 25,USC,7
2022,12,AP Top 25,UCLA,16
2022,12,AP Top 25,Coastal Carolina,23
2022,12,AP Top 25,Alabama,8
2022,12,AP Top 25,Ole Miss,14
2022,12,AP Top 25,Oregon,12
2022,12,AP Top 25,Washington,15
2022,12,AP Top 25,Utah,10
2022,12,AP Top 25,Ohio State,2
2022,12,AP Top 25,Michigan,3
2022,12,AP Top 25,Penn State,11
2022,12,AP Top 25,Notre Dame,18
2022,12,AP Top 25,UCF,17
2022,12,AP Top 25,Cincinnati,22
2022,12,AP Top 25,Tulane,21
2022,12,AP Top 25,Florida State,20
2022,12,AP Top 25,Clemson,9
2022,12,AP Top 25,North Carolina,13
2022,6,AP Top 25,Georgia,2
2022,6,AP Top 25,Tennessee,8
2022,6,AP Top 25,Kentucky,13
2022,6,AP Top 25,Oklahoma State,7
2022,6,AP Top 25,Kansas State,20
2022,6,AP Top 25,Kansas,19
2022,6,AP Top 25,TCU,17
2022,6,AP Top 25,BYU,16
2022,6,AP Top 25,LSU,25
2022,6,AP Top 25,USC,6
2022,6,AP Top 25,UCLA,18
2022,6,AP Top 25,Alabama,1
2022,6,AP Top 25,Ole Miss,9
2022,6,AP Top 25,Mississippi State,23
2022,6,AP Top 25,Oregon,12
2022,6,AP Top 25,Washington,21
2022,6,AP Top 25,Utah,11
2022,6,AP Top 25,Ohio State,3
2022,6,AP Top 25,Michigan,4
2022,6,AP Top 25,Penn State,10
2022,6,AP Top 25,Cincinnati,24
2022,6,AP Top 25,Clemson,5
2022,6,AP Top 25,NC State,14
2022,6,AP Top 25,Wake Forest,15
2022,6,AP Top 25,Syracuse,22
2022,2,AP Top 25,Georgia,2
2022,2,AP Top 25,Florida,12
2022,2,AP Top 25,Tennessee,24
2022,2,AP Top 25,Kentucky,20
2022,2,AP Top 25,Oklahoma State,11
2022,2,AP Top 25,Baylor,9
2022,2,AP Top 25,BYU,21
2022,2,AP Top 25,USC,10
2022,2,AP Top 25,Alabama,1
2022,2,AP Top 25,Ole Miss,22
2022,2,AP Top 25,Arkansas,16
2022,2,AP Top 25,Utah,13
2022,2,AP Top 25,Texas A&M,6
2022,2,AP Top 25,Ohio State,3
2022,2,AP Top 25,Michigan State,14
2022,2,AP Top 25,Michigan,4
2022,2,AP Top 25,Wisconsin,19
2022,2,AP Top 25,Oklahoma,7
2022,2,AP Top 25,Notre Dame,8
2022,2,AP Top 25,Houston,25
2022,2,AP Top 25,Clemson,5
2022,2,AP Top 25,NC State,18
2022,2,AP Top 25,Wake Forest,23
2022,2,AP Top 25,Miami,15
2022,2,AP Top 25,Pittsburgh,17
2022,1,AP Top 25,Georgia,3
2022,1,AP Top 25,Kentucky,20
2022,1,AP Top 25,Oklahoma State,12
2022,1,AP Top 25,Baylor,10
2022,1,AP Top 25,BYU,25
2022,1,AP Top 25,USC,14
2022,1,AP Top 25,Alabama,1
2022,1,AP Top 25,Ole Miss,21
2022,1,AP Top 25,Arkansas,19
2022,1,AP Top 25,Oregon,11
2022,1,AP Top 25,Utah,7
2022,1,AP Top 25,Texas A&M,6
2022,1,AP Top 25,Ohio State,2
2022,1,AP Top 25,Michigan State,15
2022,1,AP Top 25,Michigan,8
2022,1,AP Top 25,Wisconsin,18
2022,1,AP Top 25,Oklahoma,9
2022,1,AP Top 25,Notre Dame,5
2022,1,AP Top 25,Houston,24
2022,1,AP Top 25,Cincinnati,23
2022,1,AP Top 25,Clemson,4
2022,1,AP Top 25,NC State,13
2022,1,AP Top 25,Wake Forest,22
2022,1,AP Top 25,Miami,16
2022,1,AP Top 25,Pittsburgh,17
