season,week,team,opponent,cfb_off_epa_per_play,cfb_off_pass_epa,cfb_off_rush_epa,cfb_def_epa_per_play
2022,1,Air Force,Northern Iowa,0.64,1.17,0.59,0.0
2022,1,Akron,Saint Francis,0.2,0.18,0.23,0.0
2022,1,Alabama,Utah State,0.46,0.55,0.35,0.21
2022,1,Alabama,Utah State,0.46,0.55,0.35,-0.23
2022,1,App State,North Carolina,0.39,0.35,0.41,0.54
2022,1,App State,North Carolina,0.39,0.35,0.41,0.51
2022,1,Arizona,San Diego State,0.21,0.63,-0.15,-0.13
2022,1,Arizona State,Northern Arizona,0.32,0.22,0.37,0.0
2022,1,Arkansas,Cincinnati,0.22,0.43,0.09,0.24
2022,1,Arkansas State,Grambling,0.33,0.76,0.13,0.0
2022,1,Army,Coastal Carolina,0.45,1.12,0.31,0.38
2022,1,Auburn,Mercer,0.44,0.65,0.43,0.0
2022,1,Ball State,Tennessee,0.07,0.22,-0.17,0.42
2022,1,Baylor,UAlbany,0.63,0.71,0.57,0.0
2022,1,Boise State,Oregon State,0.11,0.01,0.24,0.27
2022,1,Boston College,Rutgers,0.12,0.44,-0.23,0.13
2022,1,Bowling Green,UCLA,-0.16,-0.05,-0.34,0.23
2022,1,Buffalo,Maryland,-0.07,-0.25,0.13,0.29
2022,1,BYU,South Florida,0.38,0.29,0.47,-0.02
2022,1,California,UC Davis,0.34,0.57,0.12,0.0
2022,1,Central Michigan,Oklahoma State,0.29,0.55,-0.01,0.31
2022,1,Charlotte,Florida Atlantic,-0.1,0.0,-0.26,0.39
2022,1,Charlotte,Florida Atlantic,-0.1,0.0,-0.26,0.38
2022,1,Charlotte,William & Mary,0.13,0.15,0.11,0.0
2022,1,Cincinnati,Arkansas,0.24,0.3,0.16,0.22
2022,1,Clemson,Georgia Tech,0.2,0.3,0.09,-0.04
2022,1,Coastal Carolina,Army,0.38,0.94,0.2,0.45
2022,1,Colorado,TCU,0.0,0.16,0.01,0.51
2022,1,Colorado State,Michigan,-0.13,0.0,-0.24,0.38
2022,1,Duke,Temple,0.37,0.61,0.15,-0.14
2022,1,East Carolina,NC State,0.19,0.27,0.06,0.12
2022,1,Eastern Michigan,Eastern Kentucky,0.32,0.46,0.31,0.0
2022,1,Florida,Utah,0.41,0.48,0.37,0.22
2022,1,Florida Atlantic,Ohio,0.39,0.53,0.17,0.34
2022,1,Florida Atlantic,Charlotte,0.38,0.83,0.13,-0.1
2022,1,Florida Atlantic,Charlotte,0.38,0.83,0.13,0.13
2022,1,Florida International,Bryant,0.29,0.48,-0.1,0.0
2022,1,Florida State,Duquesne,0.54,0.17,0.69,0.0
2022,1,Florida State,LSU,0.35,0.68,0.04,0.52
2022,1,Fresno State,Cal Poly,0.46,0.5,0.39,0.0
2022,1,Georgia,Oregon,0.77,0.85,0.62,0.01
2022,1,Georgia Southern,Morgan State,0.38,0.54,0.21,0.0
2022,1,Georgia State,South Carolina,-0.24,-0.3,0.15,0.09
2022,1,Georgia Tech,Clemson,-0.04,0.0,-0.09,0.2
