season,team,sp_overall,sp_offense,sp_defense,sp_st
2021,Georgia,32.0,41.4,10.3,0.0
2021,Ohio State,29.3,47.2,20.6,0.0
2021,Alabama,26.0,40.9,15.6,0.0
2021,Michigan,23.4,36.5,15.8,0.0
2021,Cincinnati,21.2,37.5,15.9,0.0
2021,Texas A&M,21.1,33.6,14.9,0.0
2021,Wisconsin,20.1,29.8,10.8,0.0
2021,Clemson,18.7,28.3,11.6,0.0
2021,Pittsburgh,17.6,38.2,21.4,0.0
2021,Tennessee,17.5,39.4,23.8,0.0
2021,Notre Dame,17.4,36.2,18.9,0.0
2021,Oklahoma State,17.2,30.6,14.3,0.0
2021,Oklahoma,16.8,41.1,25.6,0.0
2021,NC State,16.1,33.1,17.7,0.0
2021,Baylor,15.6,33.1,17.1,0.0
2021,Utah,15.2,37.2,20.7,0.0
2021,Ole Miss,14.8,36.8,22.4,0.0
2021,Minnesota,14.4,29.3,15.4,0.0
2021,Penn State,14.3,28.0,14.6,0.0
2021,Iowa State,14.3,33.8,20.2,0.0
2021,Kansas State,14.2,33.5,19.0,0.0
2021,Arkansas,13.8,34.3,21.3,0.0
2021,Kentucky,13.4,35.1,22.3,0.0
2021,Western Kentucky,13.3,40.5,28.8,0.0
2021,Coastal Carolina,13.2,39.5,26.1,0.0
2021,Arizona State,11.8,33.5,20.9,0.0
2021,Iowa,11.4,23.6,14.4,0.0
2021,Michigan State,11.2,34.3,21.7,0.0
2021,Auburn,11.0,30.2,19.8,0.0
2021,Florida,11.0,35.0,23.2,0.0
2021,Houston,10.9,31.5,20.0,0.0
2021,Fresno State,10.8,34.7,24.2,0.0
2021,Miami,10.8,34.8,25.0,0.0
2021,Mississippi State,10.5,34.6,22.0,0.0
2021,Purdue,10.3,32.6,21.1,0.0
2021,App State,10.3,32.0,23.5,0.0
2021,Nebraska,10.3,34.1,21.3,0.0
2021,Oregon,10.2,35.0,26.0,0.0
2021,Wake Forest,10.1,38.0,29.2,0.0
2021,Texas Tech,9.8,34.6,27.1,0.0
2021,UCLA,9.4,37.7,27.8,0.0
2021,Boise State,9.4,28.4,20.8,0.0
2021,UAB,9.1,32.1,21.7,0.0
2021,BYU,8.9,37.2,27.9,0.0
2021,Oregon State,8.9,36.9,28.5,0.0
2021,SMU,8.9,36.7,27.1,0.0
2021,Louisiana,8.7,30.3,21.2,0.0
2021,Texas,8.5,34.6,28.4,0.0
2021,Liberty,8.4,32.1,23.1,0.0
2021,San Diego State,8.3,23.7,17.1,0.0
2021,Marshall,8.0,32.8,23.5,0.0
2021,Louisville,7.8,34.9,26.6,0.0
2021,Florida State,7.6,29.8,23.0,0.0
2021,Air Force,7.4,30.0,22.0,0.0
2021,Virginia,7.2,39.3,31.5,0.0
2021,Toledo,6.9,29.0,20.7,0.0
2021,Washington State,6.7,32.0,26.0,0.0
2021,UTSA,6.5,33.0,27.8,0.0
2021,North Carolina,6.4,37.8,31.7,0.0
2021,Maryland,6.2,34.8,27.4,0.0
2021,Tulsa,5.8,28.7,24.0,0.0
2021,UCF,4.8,29.6,23.4,0.0
2021,Army,4.7,28.8,23.5,0.0
2021,Illinois,4.3,23.2,21.8,0.0
2021,LSU,4.1,28.0,25.6,0.0
2021,South Carolina,3.9,26.0,24.2,0.0
2021,Nevada,3.6,30.3,26.9,0.0
2021,California,3.4,27.5,25.0,0.0
2021,Missouri,3.1,31.1,29.9,0.0
2021,Virginia Tech,2.4,26.7,25.2,0.0
2021,Georgia State,1.8,27.5,26.7,0.0
2021,West Virginia,1.8,27.7,25.0,0.0
2021,Miami (OH),1.5,29.3,26.8,0.0
2021,Memphis,1.0,29.6,27.9,0.0
2021,Boston College,0.9,27.0,26.5,0.0
2021,Western Michigan,0.6,33.1,29.0,0.0
2021,Wyoming,0.6,26.0,23.5,0.0
2021,East Carolina,0.5,27.4,28.3,0.0
2021,Syracuse,0.3,27.1,25.2,0.0
2021,Utah State,0.1,28.4,27.9,0.0
2021,USC,-0.6,32.3,33.4,0.0
2021,TCU,-0.6,33.2,33.9,0.0
2021,Washington,-0.7,22.8,23.6,0.0
2021,Central Michigan,-1.0,28.5,29.3,0.0
2021,San José State,-1.9,22.6,25.2,0.0
