season,team,sp_overall,sp_offense,sp_defense,sp_st
2023,Michigan,31.3,36.6,7.2,1.8
2023,Georgia,31.2,41.5,12.2,1.9
2023,Oregon,26.2,45.0,18.2,-0.5
2023,Ohio State,25.2,31.5,7.8,1.5
2023,Penn State,23.5,32.7,10.5,1.3
2023,Texas,23.2,39.3,17.7,1.6
2023,Alabama,23.1,36.8,15.6,2.0
2023,Notre Dame,20.1,36.3,16.7,0.5
2023,Florida State,19.4,34.1,16.5,1.8
2023,Missouri,19.3,36.5,18.0,0.8
2023,LSU,19.1,44.6,25.0,-0.5
2023,Ole Miss,18.4,36.3,19.2,1.3
2023,Washington,16.4,40.3,24.7,0.8
2023,Tennessee,16.2,34.9,19.2,0.6
2023,Kansas State,16.2,38.9,21.8,-0.8
2023,Texas A&M,15.6,34.5,18.8,-0.1
2023,Oklahoma,15.0,38.5,22.6,-1.0
2023,Arizona,14.1,37.3,23.1,-0.2
2023,Oregon State,12.6,33.2,22.3,1.7
2023,James Madison,11.8,34.6,23.7,1.0
2023,Maryland,11.0,28.3,17.6,0.4
2023,Kentucky,10.5,31.6,22.2,1.1
2023,Clemson,10.5,29.3,19.0,0.2
2023,SMU,10.1,34.1,23.0,-1.1
2023,Kansas,9.9,35.6,26.1,0.4
2023,Troy,9.8,30.7,20.1,-0.8
2023,UCLA,9.7,29.6,18.4,-1.5
2023,Miami,9.6,30.7,23.1,1.9
2023,Duke,9.4,27.3,19.5,1.5
2023,USC,9.4,43.3,32.8,-1.2
2023,Wisconsin,9.4,22.2,14.1,1.3
2023,Utah,8.5,26.7,19.4,1.2
2023,Liberty,8.0,36.2,26.3,-1.9
2023,Louisville,8.0,30.1,22.3,0.2
2023,TCU,7.9,33.5,25.3,-0.3
2023,Auburn,7.6,26.4,20.1,1.3
2023,Iowa State,7.5,26.4,20.1,1.1
2023,West Virginia,7.5,31.5,24.6,0.5
2023,North Carolina,7.4,34.4,27.8,0.8
2023,NC State,7.4,25.5,19.7,1.6
2023,Florida,6.8,31.1,26.0,1.7
2023,Oklahoma State,6.7,32.8,27.1,1.0
2023,Texas Tech,6.1,29.6,24.7,1.2
2023,Air Force,5.9,25.6,20.9,1.2
2023,Boise State,5.9,32.7,28.2,1.4
2023,Virginia Tech,5.8,27.5,23.3,1.7
2023,Iowa,5.8,13.8,9.3,1.3
2023,UTSA,5.4,31.3,27.3,1.4
2023,South Alabama,5.1,30.6,26.0,0.5
2023,Washington State,4.9,31.0,27.4,1.4
2023,South Carolina,4.3,28.2,25.6,1.7
2023,App State,3.8,33.5,30.7,0.9
2023,Toledo,3.7,25.5,21.7,-0.1
2023,Rutgers,3.5,21.0,18.7,1.2
2023,Memphis,3.5,37.1,33.8,0.3
2023,Arkansas,3.5,28.3,26.6,1.8
2023,UCF,3.4,30.3,25.2,-1.7
2023,Tulane,2.8,26.5,24.4,0.8
2023,Miami (OH),2.8,18.5,17.7,2.0
2023,Fresno State,2.5,28.9,27.9,1.5
2023,UNLV,1.4,32.1,32.7,1.9
2023,Mississippi State,0.5,24.7,24.9,0.7
2023,Louisiana,0.4,32.4,33.1,1.1
2023,Minnesota,0.4,20.0,21.1,1.5
2023,Georgia Tech,0.3,29.4,29.1,0.1
2023,Nebraska,0.3,15.6,13.9,-1.4
2023,California,-0.1,30.6,28.7,-2.0
2023,Coastal Carolina,-1.2,27.6,27.2,-1.6
2023,Northwestern,-1.3,18.5,18.5,-1.3
2023,Jacksonville State,-1.6,24.8,25.9,-0.6
2023,Ohio,-1.6,18.5,18.1,-2.0
2023,Texas State,-1.6,31.2,33.8,0.9
2023,New Mexico State,-1.8,23.3,25.8,0.7
2023,Western Kentucky,-2.0,28.7,30.1,-0.7
2023,Illinois,-2.5,21.6,24.1,-0.1
2023,BYU,-3.3,25.3,30.3,1.7
2023,San José State,-3.4,28.1,29.5,-2.0
2023,Wyoming,-3.6,23.5,26.1,-1.0
2023,Army,-4.0,18.4,22.5,0.1
2023,Syracuse,-4.4,22.2,26.1,-0.5
2023,Colorado,-4.9,29.6,34.4,-0.1
2023,Georgia Southern,-5.2,30.8,36.5,0.5
2023,Boston College,-5.9,22.2,27.6,-0.5
2023,Arkansas State,-6.3,25.8,32.8,0.7
2023,South Florida,-6.6,28.4,34.5,-0.4
2023,North Texas,-6.7,32.9,41.3,1.7
2023,Michigan State,-6.8,15.7,24.0,1.6
2023,Cincinnati,-6.8,21.3,28.3,0.2
2023,Georgia State,-6.8,28.2,33.3,-1.7
2023,Purdue,-7.3,21.8,27.1,-2.0
2023,Pittsburgh,-7.3,19.3,26.0,-0.6
2023,Indiana,-7.4,19.6,27.2,0.3
2023,Northern Illinois,-7.5,18.3,24.2,-1.7
2023,Houston,-7.8,25.6,32.2,-1.2
2023,Bowling Green,-7.8,21.5,27.4,-1.8
2023,Wake Forest,-7.9,20.2,26.9,-1.2
2023,Baylor,-8.3,24.5,32.6,-0.2
2023,Colorado State,-8.9,21.9,32.0,1.2
2023,Marshall,-9.0,24.4,31.5,-1.8
2023,Florida Atlantic,-9.4,19.8,27.9,-1.2
2023,Middle Tennessee,-9.5,21.5,30.0,-1.0
2023,Old Dominion,-10.1,23.1,31.3,-1.9
2023,Rice,-10.2,26.0,34.4,-1.8
2023,San Diego State,-10.3,19.4,30.2,0.5
2023,Virginia,-10.8,21.0,31.7,-0.1
2023,Utah State,-10.9,28.6,38.6,-0.9
2023,Arizona State,-11.3,20.2,29.9,-1.6
2023,Stanford,-11.9,21.4,34.5,1.1
2023,Eastern Michigan,-12.3,13.0,26.8,1.5
2023,Vanderbilt,-12.7,23.6,36.3,-0.1
2023,East Carolina,-12.8,15.4,28.1,-0.1
2023,Louisiana Tech,-12.9,22.1,36.0,1.0
2023,Navy,-13.7,15.0,27.2,-1.5
2023,Tulsa,-13.7,20.9,34.7,0.1
2023,Sam Houston,-13.8,16.0,28.8,-1.1
2023,Southern Miss,-14.4,23.5,36.4,-1.5
2023,UAB,-14.7,26.9,39.6,-2.1
2023,Ball State,-14.9,12.6,26.3,-1.1
2023,Buffalo,-15.2,15.3,29.5,-1.0
2023,UConn,-15.6,17.0,31.0,-1.6
2023,Western Michigan,-15.9,19.1,33.2,-1.9
2023,UTEP,-16.2,16.9,32.0,-1.2
2023,Hawai'i,-16.4,19.4,35.7,-0.1
2023,New Mexico,-16.5,22.5,37.2,-1.8
2023,Massachusetts,-17.5,20.8,36.2,-2.1
2023,Central Michigan,-19.1,16.8,34.0,-1.9
2023,Temple,-21.0,18.6,37.8,-1.9
2023,Florida International,-21.2,16.0,35.6,-1.6
2023,Charlotte,-21.4,14.8,34.4,-1.8
2023,UL Monroe,-21.6,17.6,37.5,-1.7
2023,Akron,-21.6,10.5,30.1,-2.0
2023,Nevada,-22.0,14.6,37.0,0.4
2023,Kent State,-26.3,8.2,34.8,0.3
2023,nationalAverages,-0.09699248120300752,26.369924812030074,26.47218045112782,0.0015037593984962407
