player_name,team,season,week,completions,attempts,passing_yards,passing_tds,interceptions,passing_epa,qb_epa_per_att,qb_comp_pct,qb_ypa,qb_td_int_ratio,qb_epa_per_att_4w,qb_comp_pct_4w,qb_ypa_4w,qb_td_int_ratio_4w,qb_epa_per_att_8w,qb_comp_pct_8w,qb_ypa_8w,qb_td_int_ratio_8w
J.Dobbs,ARI,2023,1,21,30,132.0,0,0.0,-9.239668,-0.30798892974853515,0.7,4.4,1.0,,,,,,,,
J.Dobbs,ARI,2023,2,21,31,228.0,1,0.0,7.4308853,0.2397059779013357,0.6774193548387096,7.354838709677419,2.0,,,,,,,,
J.Dobbs,ARI,2023,3,17,21,189.0,1,0.0,4.5606313,0.21717291786557152,0.8095238095238095,9.0,2.0,-0.03414147592359973,0.6887096774193548,5.877419354838709,1.5,-0.03414147592359973,0.6887096774193548,5.877419354838709,1.5
J.Dobbs,ARI,2023,4,28,41,265.0,2,0.0,3.898311,0.09508075365206091,0.6829268292682927,6.463414634146342,3.0,0.04962998867279069,0.7289810547875063,6.918279569892473,1.6666666666666667,0.04962998867279069,0.7289810547875063,6.918279569892473,1.6666666666666667
J.Dobbs,ARI,2023,5,15,32,166.0,2,2.0,-15.651534,-0.48911044001579285,0.46875,5.1875,1.0,0.06099267991760825,0.717467498407703,6.80456333595594,2.0,0.06099267991760825,0.717467498407703,6.80456333595594,2.0
J.Dobbs,ARI,2023,6,21,41,235.0,0,1.0,-17.462166,-0.42590648371998857,0.5121951219512195,5.7317073170731705,0.5,0.015712302350793822,0.6596549984077029,7.001438335955941,2.0,-0.049027944069071974,0.6677239987261624,6.481150668764752,1.8
J.Dobbs,ARI,2023,7,19,33,146.0,0,0.0,-12.358148,-0.3744893218531753,0.5757575757575758,4.424242424242424,1.0,-0.15069081305453724,0.6183489401858304,6.595655487804878,1.625,-0.1118410340108914,0.6418025192636719,6.356243443482822,1.5833333333333333
J.Dobbs,ARI,2023,8,25,37,208.0,2,2.0,-8.7447195,-0.23634377041378538,0.6756756756756757,5.621621621621622,1.0,-0.29860637298422393,0.559907381744272,5.451716093865484,1.375,-0.14936221798836052,0.6323675273342296,6.080243297877051,1.5
C.Tune,ARI,2023,9,11,20,58.0,0,2.0,-32.76908,-1.638454055786133,0.55,2.9,0.3333333333333333,-0.38146250400068554,0.5580945933461178,5.241267840734304,0.875,-0.16023491204153864,0.6377810458769103,6.022915588345122,1.4375
K.Murray,ARI,2023,10,19,32,249.0,0,1.0,-5.5103035,-0.17219698429107666,0.59375,7.78125,0.5,-0.6687984079432705,0.5784070933461177,4.669392840734304,0.7083333333333334,-0.32654305279623835,0.6190310458769104,5.835415588345122,1.3541666666666667
K.Murray,ARI,2023,11,20,30,214.0,1,1.0,-6.8267093,-0.2275569756825765,0.6666666666666666,7.133333333333334,1.0,-0.6053710330860425,0.5987958128583128,5.181778511466011,0.7083333333333334,-0.3780309230702899,0.6085723765220717,5.888716999635444,1.1666666666666667
K.Murray,ARI,2023,12,27,45,256.0,1,0.0,-13.31704,-0.2959342320760091,0.6,5.688888888888889,2.0,-0.568637946543393,0.6215230855855856,5.859051238738738,0.7083333333333333,-0.4336221597638084,0.5907152336649287,5.655383666302112,1.0416666666666667
K.Murray,ARI,2023,13,13,23,145.0,1,0.0,1.1446906,0.04976915794870128,0.5652173913043478,6.304347826086956,2.0,-0.5835355619589488,0.6026041666666666,5.875868055555555,0.9583333333333333,-0.4824990329798171,0.5803493800063922,5.55856794814493,0.9166666666666666
K.Murray,ARI,2023,15,26,39,211.0,1,2.0,-6.408165,-0.16431192251352164,0.6666666666666666,5.410256410256411,0.6666666666666666,-0.16147975852524024,0.6064085144927536,6.726955012077295,1.375,-0.41513908323425536,0.5924078039194357,5.698173926405799,1.0416666666666665
K.Murray,ARI,2023,16,24,38,230.0,2,0.0,-5.7748675,-0.15197019827993294,0.631578947368421,6.052631578947368,3.0,-0.1595084930808515,0.6246376811594203,6.134206614641397,1.4166666666666665,-0.382439763083447,0.6117167470088665,5.657992563053704,1.0625
K.Murray,ARI,2023,17,25,31,232.0,3,1.0,9.116396,0.29407728871991556,0.8064516129032258,7.483870967741935,2.0,-0.1406117987301906,0.6158657513348589,5.864031176044906,1.9166666666666665,-0.3546248726367917,0.6186944184602222,5.861541207391822,1.3125
K.Murray,ARI,2023,18,22,30,262.0,1,0.0,14.697531,0.4899176915486654,0.7333333333333333,8.733333333333333,2.0,0.006891081468790555,0.6674786545606652,6.312776695758167,1.9166666666666665,-0.28832224024507913,0.635041410613666,6.094322375656861,1.4375
K.Murray,ARI,2024,1,21,31,162.0,1,0.0,-1.1848497,-0.03822095932499055,0.6774193548387096,5.225806451612903,2.0,0.11692821486878158,0.7095076400679117,6.920023072569761,1.9166666666666665,-0.022275771828229332,0.6579580772803326,6.823489042323528,1.6458333333333333
K.Murray,ARI,2024,2,17,21,266.0,3,0.0,18.10109,0.8619566417875744,0.8095238095238095,12.666666666666666,4.0,0.14845095566591435,0.7121958121109224,6.873910582908885,2.25,-0.005528768707468568,0.6684167466351713,6.504058598775141,1.8333333333333333
K.Murray,ARI,2024,3,21,34,207.0,1,1.0,-5.6319046,-0.16564425300149357,0.6176470588235294,6.088235294117647,1.0,0.4019326656827912,0.7566820276497696,8.52741935483871,2.5,0.1306604334763003,0.6862738894923143,7.195725265441808,2.208333333333333
K.Murray,ARI,2024,4,16,22,142.0,1,0.0,-0.43325263,-0.01969330148263411,0.7272727272727273,6.454545454545454,2.0,0.28700228025243885,0.7094808891298455,8.178510436432637,2.25,0.14694668086061471,0.6884797718452553,7.245643566095402,2.083333333333333
K.Murray,ARI,2024,5,19,30,195.0,1,1.0,-1.8273485,-0.06091161568959554,0.6333333333333333,6.5,1.0,0.159599531994614,0.707965737614694,7.6088134667356675,2.25,0.13826387343169783,0.7087366888413028,7.264418269652714,2.083333333333333
K.Murray,ARI,2024,6,22,32,214.0,1,0.0,7.70893,0.2409040629863739,0.6875,6.6875,2.0,0.15392686790346274,0.6969442322383499,7.9273618538324415,2.0,0.15118891178468857,0.7045700221746362,7.400636218370662,2.125
K.Murray,ARI,2024,7,14,26,145.0,1,1.0,-0.3420845,-0.013157096046667833,0.5384615384615384,5.576923076923077,1.0,-0.0013362767968373573,0.6664382798573975,6.432570187165775,1.5,0.20029819444297692,0.7115601537535835,7.479994771002242,2.0
K.Murray,ARI,2024,8,26,36,307.0,2,0.0,18.33354,0.5092649989657931,0.7222222222222222,8.527777777777779,3.0,0.036785512441869075,0.6466418997668997,6.3047421328671325,1.5,0.161893896347154,0.6780613944483727,7.241626284649885,1.875
K.Murray,ARI,2024,9,13,20,154.0,0,0.0,-1.3238325,-0.06619162559509277,0.65,7.7,1.0,0.16902508755397588,0.6453792735042735,6.823050213675214,1.75,0.16431230977429498,0.6766725055594837,7.215931840205441,2.0
K.Murray,ARI,2024,10,22,24,266.0,1,0.0,17.980556,0.7491898536682129,0.9166666666666666,11.083333333333334,2.0,0.1677050850776016,0.6495459401709403,7.123050213675214,1.75,0.1608159764905322,0.6732450862046451,7.525206033753828,1.875
K.Murray,ARI,2024,12,24,37,285.0,0,1.0,-5.31244,-0.14357945725724502,0.6486486486486487,7.702702702702703,0.5,0.29477653274806137,0.7068376068376069,8.222008547008548,1.75,0.146720127975612,0.6866379433475022,7.327289367087161,1.625
