season,week,team,off_epa_per_play,off_pass_epa_per_play,off_rush_epa_per_play,def_epa_per_play,off_epa_per_play_4w,def_epa_per_play_4w,off_pass_epa_per_play_4w,off_rush_epa_per_play_4w,off_epa_per_play_8w,def_epa_per_play_8w,off_pass_epa_per_play_8w,off_rush_epa_per_play_8w
2023,1,ARI,-0.34826744,-0.2814401,-0.44717187,-0.22242066,,,,,,,,
2023,2,ARI,0.19183429,0.32016897,0.03694758,0.20046811,,,,,,,,
2023,3,ARI,0.21959724,0.16602229,0.2750196,0.05591427,-0.07821657508611679,-0.01097627729177475,0.019364431500434875,-0.20511214435100555,-0.07821657508611679,-0.01097627729177475,0.019364431500434875,-0.20511214435100555
2023,4,ARI,0.14176394,0.18319377,0.053500377,0.52044,0.021054695049921673,0.011320572346448898,0.06825038293997447,-0.04506823420524597,0.021054695049921673,0.011320572346448898,0.06825038293997447,-0.04506823420524597
2023,5,ARI,-0.2948153,-0.44718665,-0.05240631,-0.0053590345,0.05123200640082359,0.13860042486339808,0.09698623046278954,-0.020426081493496895,0.05123200640082359,0.13860042486339808,0.09698623046278954,-0.020426081493496895
2023,6,ARI,-0.2704334,-0.25818846,-0.2922022,0.10772641,0.0645950399339199,0.19286583189386874,0.05554959550499916,0.07826530747115612,-0.017977455258369447,0.10980853298678994,-0.011848345398902893,-0.026822127401828766
2023,7,ARI,-0.21915579,-0.33849636,-0.005337288,0.006653245,-0.05097188055515289,0.16968040738720447,-0.08903976157307625,-0.0040221381932497025,-0.060053445398807526,0.10946151249421139,-0.05290503054857254,-0.07105214024583499
2023,8,ARI,-0.13444419,-0.11621358,-0.16031992,0.094863705,-0.16066013649106026,0.15736515074968338,-0.21516942232847214,-0.07411135674919933,-0.08278235154492515,0.09477461714829717,-0.09370379149913788,-0.06166430423036218
2023,9,ARI,-0.7667745,-1.0087581,-0.28280732,-0.07469072,-0.22971216961741447,0.05097108148038387,-0.2900212612003088,-0.12756643199827522,-0.08924008160829544,0.09478575317189097,-0.09651751536875963,-0.07399625674588606
2023,10,ARI,-0.02299415,-0.1341217,0.16221844,0.022794222,-0.3477019630372524,0.03363815962802619,-0.43041411601006985,-0.1851666843285784,-0.14155346155166626,0.11325199576094747,-0.18743226025253534,-0.053450688428711146
2023,11,ARI,-0.07059194,-0.10174333,-0.0153690195,-0.05287955,-0.2858421513810754,0.012405112734995782,-0.3993974272161722,-0.07156152406241745,-0.16840701596811414,0.09104276006110013,-0.24421859439462423,-0.037791831127833575
2023,12,ARI,-0.105728745,-0.19265832,0.15506,0.3103447,-0.24870118964463472,-0.0024780859239399433,-0.3402091711759567,-0.07406945689581335,-0.2046806630678475,0.07744353241287172,-0.27768929675221443,-0.07409040682250634
2023,13,ARI,0.07582144,0.249724,-0.07762203,-0.08734067,-0.2415223279967904,0.05139216175302863,-0.359320355579257,0.004775522509589791,-0.23561724880710244,0.05118162161670625,-0.3246708083897829,-0.061395454744342715
2023,15,ARI,0.01217334,-0.113585226,0.23108637,0.43429983,-0.030873349867761135,0.0482296752743423,-0.044699838384985924,0.05607184418477118,-0.18928765645250678,0.04093391745118424,-0.23755697719752789,-0.06454742007190362
2023,16,ARI,-0.11311582,-0.11641866,-0.105225705,0.1171819,-0.02208147756755352,0.15110607631504536,-0.03956571966409683,0.07328882836736739,-0.15396181447431445,0.08175559452502057,-0.21948157344013453,0.0008636521524749696
2023,17,ARI,0.2823392,0.3667144,0.20229091,0.23130909,-0.03271244652569294,0.1936214379966259,-0.04323455132544041,0.05082465708255768,-0.14070681808516383,0.09557167603634298,-0.19172186125069857,-0.011622399906627834
2023,18,ARI,0.2139316,0.52767193,-0.050270803,0.11981156,0.0643045362085104,0.1738625355064869,0.09660862572491169,0.06263238564133644,-0.08860889589414,0.11262734862975776,-0.13135586492717266,0.033703954075463116
2024,1,ARI,0.063334994,0.15898131,-0.10187228,0.21148859,0.09883207827806473,0.22565059177577496,0.16609560884535313,0.06947019323706627,0.033979364205151796,0.13694013352505863,0.0606978852301836,0.06277101871091872
2024,2,ARI,0.32803273,0.8420861,-0.027850347,-0.2630421,0.11162249185144901,0.16994778253138065,0.23423724249005318,-0.013769470155239105,0.044770507141947746,0.160526929423213,0.09733576141297817,0.02975967910606414
2024,3,ARI,-0.16681069,-0.0030766646,-0.5713301,0.04477957,0.2219096291810274,0.07489178515970707,0.4738634265959263,0.005574369337409735,0.09459859132766724,0.13425661157816648,0.21531443763524294,0.028199513209983706
2024,4,ARI,-0.10272615,-0.26243564,0.041527595,0.4178601,0.1096221599727869,0.028259405866265297,0.3814156634034589,-0.18783087516203523,0.08696334809064865,0.1010609706863761,0.2390121445641853,-0.06259924476034939
2024,5,ARI,0.123573415,-0.005806988,0.3092062,-0.07083729,0.030457722023129463,0.10277153924107552,0.18388876889366657,-0.1648812755011022,0.0646449001505971,0.16421106550842524,0.17499218886950985,-0.04770554113201797
