date,home_team,away_team,home_score,away_score
2020-12-23,BROOKLYN NETS,GOLDEN STATE WARRIORS,125,99
2020-12-23,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,109,116
2020-12-24,CLEVELAND CAVALIERS,CHARLOTTE HORNETS,121,114
2020-12-24,INDIANA PACERS,NEW YORK KNICKS,121,107
2020-12-24,ORLANDO MAGIC,MIAMI HEAT,113,107
2020-12-24,PHILADELPHIA 76ERS,WASHINGTON WIZARDS,113,107
2020-12-24,TORONTO RAPTORS,NEW ORLEANS PELICANS,99,113
2020-12-24,BOSTON CELTICS,MILWAUKEE BUCKS,122,121
2020-12-24,CHICAGO BULLS,ATLANTA HAWKS,104,124
2020-12-24,MEMPHIS GRIZZLIES,SAN ANTONIO SPURS,119,131
2020-12-24,MINNESOTA TIMBERWOLVES,DETROIT PISTONS,111,101
2020-12-24,DENVER NUGGETS,SACRAMENTO KINGS,122,124
2020-12-24,PORTLAND TRAIL BLAZERS,UTAH JAZZ,100,120
2020-12-24,PHOENIX SUNS,DALLAS MAVERICKS,106,102
2020-12-25,MIAMI HEAT,NEW ORLEANS PELICANS,111,98
2020-12-25,MILWAUKEE BUCKS,GOLDEN STATE WARRIORS,138,99
2020-12-25,BOSTON CELTICS,BROOKLYN NETS,95,123
2020-12-26,LOS ANGELES LAKERS,DALLAS MAVERICKS,138,115
2020-12-26,DENVER NUGGETS,LOS ANGELES CLIPPERS,108,121
2020-12-26,MEMPHIS GRIZZLIES,ATLANTA HAWKS,112,122
2020-12-27,CHARLOTTE HORNETS,OKLAHOMA CITY THUNDER,107,109
2020-12-27,DETROIT PISTONS,CLEVELAND CAVALIERS,119,128
2020-12-27,WASHINGTON WIZARDS,ORLANDO MAGIC,120,130
2020-12-27,NEW YORK KNICKS,PHILADELPHIA 76ERS,89,109
2020-12-27,CHICAGO BULLS,INDIANA PACERS,106,125
2020-12-27,SAN ANTONIO SPURS,TORONTO RAPTORS,119,114
2020-12-27,UTAH JAZZ,MINNESOTA TIMBERWOLVES,111,116
2020-12-27,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,128,126
2020-12-27,SACRAMENTO KINGS,PHOENIX SUNS,106,103
2020-12-27,LOS ANGELES CLIPPERS,DALLAS MAVERICKS,73,124
2020-12-28,NEW ORLEANS PELICANS,SAN ANTONIO SPURS,98,95
2020-12-28,WASHINGTON WIZARDS,ORLANDO MAGIC,113,120
2020-12-28,CHARLOTTE HORNETS,BROOKLYN NETS,106,104
2020-12-28,CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,118,94
2020-12-28,NEW YORK KNICKS,MILWAUKEE BUCKS,130,110
2020-12-28,INDIANA PACERS,BOSTON CELTICS,108,107
2020-12-28,CHICAGO BULLS,GOLDEN STATE WARRIORS,128,129
2020-12-28,SACRAMENTO KINGS,PHOENIX SUNS,100,116
