date,home_team,away_team,home_score,away_score
2019-10-23,TORONTO RAPTORS,NEW ORLEANS PELICANS,130,122
2019-10-23,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,112,102
2019-10-23,CHARLOTTE HORNETS,CHICAGO BULLS,126,125
2019-10-23,INDIANA PACERS,DETROIT PISTONS,110,119
2019-10-23,ORLANDO MAGIC,CLEVELAND CAVALIERS,94,85
2019-10-23,BROOKLYN NETS,MINNESOTA TIMBERWOLVES,126,127
2019-10-23,MIAMI HEAT,MEMPHIS GRIZZLIES,120,101
2019-10-23,PHILADELPHIA 76ERS,BOSTON CELTICS,107,93
2019-10-24,DALLAS MAVERICKS,WASHINGTON WIZARDS,108,100
2019-10-24,SAN ANTONIO SPURS,NEW YORK KNICKS,120,111
2019-10-24,UTAH JAZZ,OKLAHOMA CITY THUNDER,100,95
2019-10-24,PHOENIX SUNS,SACRAMENTO KINGS,124,95
2019-10-24,PORTLAND TRAIL BLAZERS,DENVER NUGGETS,100,108
2019-10-24,DETROIT PISTONS,ATLANTA HAWKS,100,117
2019-10-25,HOUSTON ROCKETS,MILWAUKEE BUCKS,111,117
2019-10-25,GOLDEN STATE WARRIORS,LOS ANGELES CLIPPERS,122,141
2019-10-25,BOSTON CELTICS,TORONTO RAPTORS,112,106
2019-10-25,CHARLOTTE HORNETS,MINNESOTA TIMBERWOLVES,99,121
2019-10-25,BROOKLYN NETS,NEW YORK KNICKS,113,109
2019-10-26,MEMPHIS GRIZZLIES,CHICAGO BULLS,102,110
2019-10-26,NEW ORLEANS PELICANS,DALLAS MAVERICKS,116,123
2019-10-26,OKLAHOMA CITY THUNDER,WASHINGTON WIZARDS,85,97
2019-10-26,DENVER NUGGETS,PHOENIX SUNS,108,107
2019-10-26,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,112,122
2019-10-26,LOS ANGELES LAKERS,UTAH JAZZ,95,86
2019-10-26,MILWAUKEE BUCKS,MIAMI HEAT,126,131
2019-10-26,DETROIT PISTONS,PHILADELPHIA 76ERS,111,117
2019-10-26,ATLANTA HAWKS,ORLANDO MAGIC,103,99
2019-10-26,NEW YORK KNICKS,BOSTON CELTICS,95,118
2019-10-27,CHICAGO BULLS,TORONTO RAPTORS,84,108
2019-10-27,CLEVELAND CAVALIERS,INDIANA PACERS,110,99
2019-10-27,HOUSTON ROCKETS,NEW ORLEANS PELICANS,126,123
2019-10-27,SAN ANTONIO SPURS,WASHINGTON WIZARDS,124,122
2019-10-27,UTAH JAZZ,SACRAMENTO KINGS,113,81
2019-10-27,PHOENIX SUNS,LOS ANGELES CLIPPERS,130,122
2019-10-27,OKLAHOMA CITY THUNDER,GOLDEN STATE WARRIORS,120,92
2019-10-27,MEMPHIS GRIZZLIES,BROOKLYN NETS,134,133
2019-10-27,DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,119,121
2019-10-27,MINNESOTA TIMBERWOLVES,MIAMI HEAT,116,109
2019-10-28,LOS ANGELES LAKERS,CHARLOTTE HORNETS,120,101
2019-10-28,NEW YORK KNICKS,CHICAGO BULLS,105,98
2019-10-28,DETROIT PISTONS,INDIANA PACERS,96,94
2019-10-28,TORONTO RAPTORS,ORLANDO MAGIC,104,95
2019-10-28,ATLANTA HAWKS,PHILADELPHIA 76ERS,103,105
2019-10-29,HOUSTON ROCKETS,OKLAHOMA CITY THUNDER,116,112
2019-10-29,MILWAUKEE BUCKS,CLEVELAND CAVALIERS,129,112
2019-10-29,NEW ORLEANS PELICANS,GOLDEN STATE WARRIORS,123,134
2019-10-29,SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS,113,110
2019-10-29,PHOENIX SUNS,UTAH JAZZ,95,96
2019-10-29,SACRAMENTO KINGS,DENVER NUGGETS,94,101
2019-10-29,LOS ANGELES CLIPPERS,CHARLOTTE HORNETS,111,96
2019-10-29,MIAMI HEAT,ATLANTA HAWKS,112,97
2019-10-30,DENVER NUGGETS,DALLAS MAVERICKS,106,109
2019-10-30,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,120,91
2019-10-30,CLEVELAND CAVALIERS,CHICAGO BULLS,117,111
2019-10-30,ORLANDO MAGIC,NEW YORK KNICKS,95,83
2019-10-30,PHILADELPHIA 76ERS,MINNESOTA TIMBERWOLVES,117,95
2019-10-30,BOSTON CELTICS,MILWAUKEE BUCKS,116,105
2019-10-30,BROOKLYN NETS,INDIANA PACERS,108,118
2019-10-30,TORONTO RAPTORS,DETROIT PISTONS,125,113
2019-10-31,OKLAHOMA CITY THUNDER,PORTLAND TRAIL BLAZERS,99,102
2019-10-31,WASHINGTON WIZARDS,HOUSTON ROCKETS,158,159
2019-10-31,SACRAMENTO KINGS,CHARLOTTE HORNETS,111,118
2019-10-31,UTAH JAZZ,LOS ANGELES CLIPPERS,110,96
2019-10-31,GOLDEN STATE WARRIORS,PHOENIX SUNS,110,121
2019-10-31,ATLANTA HAWKS,MIAMI HEAT,97,106
2019-11-01,NEW ORLEANS PELICANS,DENVER NUGGETS,122,107
2019-11-01,LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,103,97
2019-11-01,BROOKLYN NETS,HOUSTON ROCKETS,123,116
2019-11-01,INDIANA PACERS,CLEVELAND CAVALIERS,102,95
2019-11-01,ORLANDO MAGIC,MILWAUKEE BUCKS,91,123
2019-11-01,BOSTON CELTICS,NEW YORK KNICKS,104,102
2019-11-02,CHICAGO BULLS,DETROIT PISTONS,112,106
2019-11-02,DALLAS MAVERICKS,LOS ANGELES LAKERS,110,119
2019-11-02,SACRAMENTO KINGS,UTAH JAZZ,102,101
2019-11-02,GOLDEN STATE WARRIORS,SAN ANTONIO SPURS,110,127
2019-11-02,OKLAHOMA CITY THUNDER,NEW ORLEANS PELICANS,115,104
2019-11-02,DETROIT PISTONS,BROOKLYN NETS,113,109
2019-11-02,ORLANDO MAGIC,DENVER NUGGETS,87,91
2019-11-03,MEMPHIS GRIZZLIES,PHOENIX SUNS,105,114
2019-11-03,MILWAUKEE BUCKS,TORONTO RAPTORS,115,105
2019-11-03,WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES,109,131
2019-11-03,GOLDEN STATE WARRIORS,CHARLOTTE HORNETS,87,93
2019-11-03,PORTLAND TRAIL BLAZERS,PHILADELPHIA 76ERS,128,129
2019-11-03,INDIANA PACERS,CHICAGO BULLS,108,95
2019-11-03,MIAMI HEAT,HOUSTON ROCKETS,129,100
2019-11-03,NEW YORK KNICKS,SACRAMENTO KINGS,92,113
2019-11-04,SAN ANTONIO SPURS,LOS ANGELES LAKERS,96,103
2019-11-04,CLEVELAND CAVALIERS,DALLAS MAVERICKS,111,131
2019-11-04,LOS ANGELES CLIPPERS,UTAH JAZZ,105,94
2019-11-05,WASHINGTON WIZARDS,DETROIT PISTONS,115,99
2019-11-05,BROOKLYN NETS,NEW ORLEANS PELICANS,135,125
2019-11-05,MEMPHIS GRIZZLIES,HOUSTON ROCKETS,100,107
2019-11-05,MINNESOTA TIMBERWOLVES,MILWAUKEE BUCKS,106,134
2019-11-05,PHOENIX SUNS,PHILADELPHIA 76ERS,114,109
2019-11-05,GOLDEN STATE WARRIORS,PORTLAND TRAIL BLAZERS,127,118
2019-11-06,CHARLOTTE HORNETS,INDIANA PACERS,122,120
2019-11-06,CLEVELAND CAVALIERS,BOSTON CELTICS,113,119
2019-11-06,ATLANTA HAWKS,SAN ANTONIO SPURS,108,100
2019-11-06,CHICAGO BULLS,LOS ANGELES LAKERS,112,118
2019-11-06,OKLAHOMA CITY THUNDER,ORLANDO MAGIC,102,94
2019-11-06,DENVER NUGGETS,MIAMI HEAT,109,89
2019-11-07,DETROIT PISTONS,NEW YORK KNICKS,122,102
2019-11-07,INDIANA PACERS,WASHINGTON WIZARDS,121,106
2019-11-07,ATLANTA HAWKS,CHICAGO BULLS,93,113
2019-11-07,HOUSTON ROCKETS,GOLDEN STATE WARRIORS,129,112
2019-11-07,TORONTO RAPTORS,SACRAMENTO KINGS,124,120
2019-11-07,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,137,121
2019-11-07,DALLAS MAVERICKS,ORLANDO MAGIC,107,106
2019-11-07,UTAH JAZZ,PHILADELPHIA 76ERS,106,104
2019-11-07,LOS ANGELES CLIPPERS,MILWAUKEE BUCKS,124,129
2019-11-08,CHARLOTTE HORNETS,BOSTON CELTICS,87,108
2019-11-08,SAN ANTONIO SPURS,OKLAHOMA CITY THUNDER,121,112
2019-11-08,PHOENIX SUNS,MIAMI HEAT,108,124
2019-11-08,LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,107,101
2019-11-09,INDIANA PACERS,DETROIT PISTONS,112,106
2019-11-09,ORLANDO MAGIC,MEMPHIS GRIZZLIES,118,86
2019-11-09,WASHINGTON WIZARDS,CLEVELAND CAVALIERS,100,113
2019-11-09,ATLANTA HAWKS,SACRAMENTO KINGS,109,121
2019-11-09,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS,125,119
2019-11-09,NEW ORLEANS PELICANS,TORONTO RAPTORS,104,122
2019-11-09,DALLAS MAVERICKS,NEW YORK KNICKS,102,106
2019-11-09,DENVER NUGGETS,PHILADELPHIA 76ERS,100,97
2019-11-09,UTAH JAZZ,MILWAUKEE BUCKS,103,100
2019-11-09,PORTLAND TRAIL BLAZERS,BROOKLYN NETS,115,119
2019-11-09,LOS ANGELES LAKERS,MIAMI HEAT,95,80
2019-11-09,SAN ANTONIO SPURS,BOSTON CELTICS,115,135
2019-11-10,CHARLOTTE HORNETS,NEW ORLEANS PELICANS,110,115
2019-11-10,CHICAGO BULLS,HOUSTON ROCKETS,94,117
2019-11-10,MEMPHIS GRIZZLIES,DALLAS MAVERICKS,122,138
2019-11-10,OKLAHOMA CITY THUNDER,GOLDEN STATE WARRIORS,114,108
2019-11-10,MINNESOTA TIMBERWOLVES,DENVER NUGGETS,98,100
2019-11-10,ORLANDO MAGIC,INDIANA PACERS,102,109
2019-11-10,PHILADELPHIA 76ERS,CHARLOTTE HORNETS,114,106
2019-11-11,OKLAHOMA CITY THUNDER,MILWAUKEE BUCKS,119,121
2019-11-11,NEW YORK KNICKS,CLEVELAND CAVALIERS,87,108
2019-11-11,PHOENIX SUNS,BROOKLYN NETS,138,112
2019-11-11,PORTLAND TRAIL BLAZERS,ATLANTA HAWKS,124,113
2019-11-11,LOS ANGELES LAKERS,TORONTO RAPTORS,104,113
2019-11-12,DETROIT PISTONS,MINNESOTA TIMBERWOLVES,114,120
2019-11-12,BOSTON CELTICS,DALLAS MAVERICKS,116,106
2019-11-12,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,109,113
2019-11-12,NEW ORLEANS PELICANS,HOUSTON ROCKETS,116,122
2019-11-12,GOLDEN STATE WARRIORS,UTAH JAZZ,108,122
2019-11-12,LOS ANGELES CLIPPERS,TORONTO RAPTORS,98,88
2019-11-13,INDIANA PACERS,OKLAHOMA CITY THUNDER,111,85
2019-11-13,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS,98,97
2019-11-13,MIAMI HEAT,DETROIT PISTONS,117,108
2019-11-13,CHICAGO BULLS,NEW YORK KNICKS,120,102
2019-11-13,DENVER NUGGETS,ATLANTA HAWKS,121,125
2019-11-13,PHOENIX SUNS,LOS ANGELES LAKERS,115,123
2019-11-13,UTAH JAZZ,BROOKLYN NETS,119,114
2019-11-13,SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,107,99
